year (AD),age (BP),CCA1 (missing),cal_age_range_young (BP),cal_age_range_old (BP),CCA2 (missing)
1999.649,-49.649,0.229,-51.841,-47.701,0.245
1998.051,-48.051,0.32,-50.261,-45.381,0.356
1996.61,-46.61,0.167,-48.923,-44.183,0.211
1995.167,-45.167,0.182,-47.452,-42.522,0.392
1993.528,-43.528,0.443,-46.184,-40.514,0.065
1991.093,-41.093,0.479,-44.015,-38.055,0.209
1987.952,-37.952,0.389,-41.433,-34.533,0.396
1983.494,-33.494,0.352,-36.776,-30.036,0.572
1978.254,-28.254,0.218,-31.943,-25.043,0.421
1973.874,-23.874,0.036,-27.957,-19.597,0.017
1969.769,-19.769,0.272,-24.478,-15.138,0.207
1965.214,-15.214,0.321,-19.987,-10.097,-0.066
1960.564,-10.564,0.309,-16.406,-5.216,0.11
1954.867,-4.867,0.425,-11.04,1.6,-0.02
1949.087,0.913,0.363,-6.144,8.466,0.285
1942.054,7.946,0.198,-0.545,16.605,0.014
1933.054,16.946,0.498,6.525,27.225,0.27
1923.404,26.596,0.201,13.394,40.064,0.039
1912.035,37.965,0.275,19.174,55.544,0.227
1900.922,49.078,0.417,29.025,70.685,0.259
1882.995,67.005,0.314,41.532,94.562,0.2
1859.904,90.096,0.485,48.204,141.694,0.31
1839.551,110.449,0.274,54.04,181.27,0.21
1819.485,130.515,0.488,60.365,217.415,0.242
1799.698,150.302,0.397,68.277,250.477,0.216
1780.177,169.823,0.197,78.116,280.616,0.027
1760.912,189.088,0.529,90.052,307.892,0.259
1741.891,208.109,0.337,103.756,332.586,0.086
1723.104,226.896,0.361,118.588,355.228,0.379
1704.54,245.46,0.452,134.572,375.872,0.027
1686.187,263.813,0.436,152.177,394.287,0.277
1668.033,281.967,0.619,170.671,411.021,0.276
1650.069,299.931,0.589,190.02,426.2,0.1
1632.282,317.718,0.473,210.172,439.872,0.203
1614.662,335.338,0.502,231.154,452.094,0.235
1597.197,352.803,0.277,252.656,463.166,0.241
1579.878,370.122,0.53,274.477,473.367,0.477
1562.692,387.308,0.314,296.541,483.021,0.269
1545.628,404.372,0.402,318.785,492.555,0.341
1528.674,421.326,0.482,341.069,502.429,0.291
1461.751,488.249,0.595,424.146,551.056,0.34
1297.078,652.922,0.534,587.634,718.594,0.328
1135.078,814.922,0.569,746.719,883.199,0.177
976.391,973.609,0.44,904.073,1044.193,0.108
820.89,1129.11,0.538,1052.239,1203.319,0.051
668.45,1281.55,0.599,1193.786,1361.416,0.19
518.94,1431.06,0.469,1332.479,1521.629,0.323
372.235,1577.765,0.408,1468.374,1681.004,0.263
228.206,1721.794,0.721,1603.182,1833.632,0.221
86.796,1863.204,0.452,1741.013,1977.733,0.169
-45.078,1995.078,0.503,1877.249,2106.099,0.241
-166.019,2116.019,0.34,2007.447,2223.787,0.011
-280.715,2230.715,0.436,2130.951,2338.261,-0.053
-393.85,2343.85,0.522,2242.219,2455.449,-0.027
-510.112,2460.112,0.5,2347.959,2578.269,0.038
-634.184,2584.184,0.569,2458.26,2709.72,-0.042
-770.754,2720.754,0.262,2588.492,2862.642,0.381
-892.16,2842.16,0.47,2707.736,2994.346,0.423
