depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
1,-57.817,7.187,9.487,4.887,Y
5,-52.963,8.078,10.378,5.778,Y
11,-31.318,7.218,9.518,4.918,Y
15,-7.567,8.101,10.401,5.801,Y
21,11.605,7.366,9.666,5.066,Y
25,31.394,7.463,9.763,5.163,Y
31,161,8.377,10.677,6.077,Y
35,204,7.841,10.141,5.541,Y
41,268,8.127,10.427,5.827,Y
45,311,7.815,10.115,5.515,Y
51,376,8.293,10.593,5.993,Y
55,419,8.073,10.373,5.773,Y
61,485,6.985,9.285,4.685,Y
65,528,7.758,10.058,5.458,Y
71,594,7.928,10.228,5.628,Y
75,637,7.259,9.559,4.959,Y
81,703,7.366,9.666,5.066,Y
85,747,7.814,10.114,5.514,Y
91,813,7.04,9.34,4.74,Y
95,858,7.435,9.735,5.135,Y
101,924,7.644,9.944,5.344,Y
105,969,6.984,9.284,4.684,Y
111,1036,8.235,10.535,5.935,Y
115,1080,7.873,10.173,5.573,Y
121,1148,7.504,9.804,5.204,Y
125,1193,8.049,10.349,5.749,Y
131,1260,7.62,9.92,5.32,Y
135,1306,7.422,9.722,5.122,Y
141,1374,7.16,9.46,4.86,Y
145,1419,7.494,9.794,5.194,Y
151,1488,8.193,10.493,5.893,Y
155,1534,7.494,9.794,5.194,Y
161,1602,8.049,10.349,5.749,Y
165,1648,7.708,10.008,5.408,Y
171,1718,7.234,9.534,4.934,Y
175,1764,8.509,10.809,6.209,Y
180,1822,7.972,10.272,5.672,Y
184,1868,7.512,9.812,5.212,Y
188,1915,8.218,10.518,5.918,Y
192,1962,8.635,10.935,6.335,Y
196,2008,7.534,9.834,5.234,Y
200,2055,7.707,10.007,5.407,Y
204,2102,7.694,9.994,5.394,Y
208,2149,7.851,10.151,5.551,Y
212,2196,7.938,10.238,5.638,Y
216,2244,8.486,10.786,6.186,Y
220,2291,7.547,9.847,5.247,Y
224,2339,8.07,10.37,5.77,Y
228,2386,8.233,10.533,5.933,Y
232,2434,8.272,10.572,5.972,Y
236,2482,8.034,10.334,5.734,Y
240,2530,7.626,9.926,5.326,Y
244,2578,8.29,10.59,5.99,Y
248,2626,7.549,9.849,5.249,Y
252,2674,8.238,10.538,5.938,Y
256,2722,7.95,10.25,5.65,Y
260,2770,7.725,10.025,5.425,Y
264,2819,7.736,10.036,5.436,Y
268,2867,7.257,9.557,4.957,Y
272,2916,7.113,9.413,4.813,Y
276,2965,8.07,10.37,5.77,Y
280,3014,7.771,10.071,5.471,Y
284,3063,7.702,10.002,5.402,Y
288,3112,8.463,10.763,6.163,Y
292,3161,7.386,9.686,5.086,Y
296,3210,7.584,9.884,5.284,Y
300,3260,8.257,10.557,5.957,Y
304,3309,7.748,10.048,5.448,Y
308,3359,8.858,11.158,6.558,Y
312,3408,6.667,8.967,4.367,Y
316,3458,8.001,10.301,5.701,Y
320,3508,6.768,9.068,4.468,Y
324,3558,7.814,10.114,5.514,Y
328,3608,7.72,10.02,5.42,Y
332,3658,8.034,10.334,5.734,Y
336,3709,8.117,10.417,5.817,Y
340,3759,7.922,10.222,5.622,Y
344,3809,7.757,10.057,5.457,Y
348,3860,8.036,10.336,5.736,Y
352,3911,7.97,10.27,5.67,Y
356,3961,8.119,10.419,5.819,Y
360,4012,7.679,9.979,5.379,Y
364,4063,7.443,9.743,5.143,Y
368,4114,7.869,10.169,5.569,Y
372,4165,8.514,10.814,6.214,Y
376,4217,7.596,9.896,5.296,Y
380,4268,8.08,10.38,5.78,Y
384,4320,7.118,9.418,4.818,Y
388,4371,7.601,9.901,5.301,Y
392,4423,7.75,10.05,5.45,Y
396,4475,7.403,9.703,5.103,Y
400,4526,8.151,10.451,5.851,Y
404,4578,8.166,10.466,5.866,Y
408,4630,8.008,10.308,5.708,Y
412,4683,8.292,10.592,5.992,Y
416,4735,7.606,9.906,5.306,Y
420,4787,8.212,10.512,5.912,Y
424,4840,8.157,10.457,5.857,Y
428,4892,7.744,10.044,5.444,Y
432,4945,8.811,11.111,6.511,Y
436,4998,8.163,10.463,5.863,Y
440,5051,8.071,10.371,5.771,Y
