depth (cm),age (BP),temperature (degC)
1,49.043,4.084
2,145.058,3.925
3,241.027,4.11
4,336.927,5.264
5,432.734,4.059
6,528.427,4.361
7,623.981,4.142
8,719.375,3.469
9,814.584,3.412
10,909.586,3.466
11,1004.358,3.369
12,1098.877,4.308
13,1193.119,6.301
14,1287.062,3.431
15,1380.683,4.141
16,1473.958,2.487
17,1566.866,3.426
18,1659.382,3.402
19,1751.483,4.943
20,1843.147,3.838
21,1934.351,3.91
22,2025.072,4.564
23,2115.289,5.281
24,2204.995,4.376
25,2294.187,6.107
26,2382.859,4.358
27,2471.008,4.864
28,2558.63,4.492
29,2645.72,5.173
30,2732.274,4.68
31,2818.287,5.124
32,2903.757,3.664
33,2988.677,5.603
34,3073.045,5.882
35,3156.856,4.803
36,3240.105,4.928
37,3322.789,4.87
38,3404.903,4.269
39,3486.443,4.562
40,3567.411,4.195
41,3647.811,5.236
42,3727.651,4.95
43,3806.937,4.949
44,3885.674,4.954
45,3963.868,5.734
46,4041.527,4.747
47,4118.656,4.328
48,4195.261,4.771
49,4271.348,4.569
50,4346.924,5.251
51,4421.995,5.443
52,4496.566,4.635
53,4570.644,6.336
54,4644.236,5.085
55,4717.347,5.829
56,4789.983,6.349
57,4862.151,5.405
58,4933.856,5.357
59,5005.106,5.838
60,5075.905,4.542
61,5146.261,5.703
62,5216.18,4.954
63,5285.666,5.675
64,5354.728,4.944
65,5423.37,6.165
66,5491.6,6.038
67,5559.427,4.76
68,5626.858,5.325
69,5693.902,5.761
70,5760.568,3.825
71,5826.862,6.193
72,5892.794,6.112
73,5958.373,6.814
74,6023.605,4.967
75,6088.5,5.942
76,6153.065,4.898
77,6217.31,6.483
78,6281.241,5.464
79,6344.869,6.021
80,6408.199,5.858
81,6471.243,6.401
82,6534.006,5.09
83,6596.498,6.9
84,6658.726,5.763
85,6720.7,4.73
86,6782.428,4.537
87,6843.916,4.75
88,6905.175,5.046
89,6966.212,5.253
90,7027.035,5.984
91,7087.654,6.116
92,7148.084,5.056
93,7208.35,5.738
94,7268.477,4.725
95,7328.49,6.402
96,7388.414,5.099
97,7448.273,5.932
98,7508.093,6.024
99,7567.898,5.786
100,7627.713,5.439
101,7687.563,6.535
102,7747.473,3.518
103,7807.468,5.592
104,7867.572,6.263
105,7927.811,5.437
106,7988.209,4.111
107,8048.791,5.141
108,8109.582,4.509
109,8170.607,5.144
110,8231.891,3.053
111,8293.458,3.116
112,8355.334,4.229
113,8417.544,4.811
114,8480.111,4.019
115,8543.061,2.862
116,8606.42,4.938
117,8670.21,4.342
118,8734.436,4.263
119,8799.081,3.592
120,8864.129,4.038
121,8929.562,3.625
122,8995.364,3.209
