depth (cm),age (BP),OM (percent)
106.8,3117,19.6
107.2,3133,21.5
107.5,3148,23.8
107.9,3163,30.6
108.3,3178,31.4
108.6,3193,28.5
109,3208,27.1
109.4,3223,27.3
109.7,3239,24.4
110.1,3254,21.7
110.5,3269,22.6
110.8,3284,22.5
111.2,3299,21
111.6,3314,22.8
111.9,3330,23.8
112.3,3345,26.7
112.7,3360,27.6
113,3375,27.8
113.4,3390,27.6
113.8,3405,24.5
114.1,3420,23.6
114.5,3436,21.6
114.9,3451,20.5
115.2,3466,21.9
115.6,3481,22.6
116,3496,22.7
116.3,3511,19.7
116.7,3527,21
117.1,3542,22.4
117.4,3557,23.9
117.8,3572,23.9
118.2,3587,21.3
118.5,3602,20.1
118.9,3618,21
119.3,3633,21.1
119.6,3648,19.4
120,3663,19.5
120.4,3678,23.2
120.7,3693,23.8
121.1,3708,25.4
121.5,3724,26.5
121.8,3739,29.8
122.2,3754,31
122.6,3769,22.9
122.9,3784,22.7
123.3,3799,20.7
123.7,3815,19.6
124,3830,20.1
124.4,3845,22.5
124.8,3860,22.4
125.1,3875,21.4
125.5,3890,21.3
125.9,3905,20
126.2,3921,20
126.6,3936,20.2
127,3951,19.2
127.3,3966,19.8
127.7,3981,21.1
128.1,3996,20.4
128.4,4012,20.2
128.8,4027,19.9
129.2,4042,20.5
129.5,4057,21.8
129.9,4072,22.1
130.3,4087,23.3
130.6,4102,23.2
131,4118,23.2
131.4,4133,23.8
131.7,4148,22.8
132.1,4163,23.3
132.5,4178,22.8
132.8,4193,23.8
133.2,4209,22.4
133.6,4224,18.6
133.9,4239,18.4
134.3,4254,22.4
134.7,4269,22.2
135,4284,22.1
135.4,4300,20.4
135.8,4315,18.9
136.1,4330,18.6
136.5,4345,19.3
136.9,4360,20.1
137.2,4375,20.3
137.6,4390,18.2
138,4406,21
138.3,4421,21.7
138.7,4436,22.6
139.1,4451,23.4
139.4,4466,19.2
139.8,4481,18.7
140.2,4497,16.7
140.5,4512,18.2
140.9,4527,18.4
141.3,4542,18.5
141.6,4557,19
142,4572,20.6
142.4,4587,18
142.7,4603,18
143.1,4618,17.3
143.5,4633,17.9
143.8,4648,15.3
144.2,4663,17.5
144.6,4678,21.3
144.9,4694,19.3
145.3,4709,17.9
145.7,4724,15
146,4739,12.3
146.4,4754,14.9
146.8,4769,16.6
147.1,4784,17.3
147.5,4800,18
147.9,4815,16.1
148.2,4830,15.9
148.6,4845,19
149,4860,21.7
149.3,4875,20.6
149.7,4891,20.1
150.1,4906,20
150.4,4921,22.3
150.8,4936,22.2
151.2,4951,22.8
151.5,4966,21.6
151.9,4982,20.1
152.3,4997,19.9
152.6,5012,22.1
153,5027,21.7
153.4,5042,22.3
153.7,5057,19.8
154.1,5072,19
154.5,5088,18.9
154.8,5102,22.1
155.2,5117,18.7
155.6,5132,16
155.9,5147,17.2
156.3,5161,18.4
156.7,5176,16.1
157,5190,14.3
157.4,5205,14.1
157.8,5219,17.5
158.1,5234,17
158.5,5249,17.5
158.9,5263,15.7
159.2,5278,17.7
159.6,5292,18.4
160,5307,18.3
160.3,5321,17.6
160.7,5336,19.3
161.1,5350,18.2
161.4,5365,16.6
161.8,5379,16.2
162.2,5394,13.7
162.5,5408,13.5
162.9,5423,13.2
163.3,5438,15.6
163.6,5452,14.1
164,5467,19.8
164.4,5481,19.4
164.7,5496,20.3
165.1,5510,19.9
165.5,5525,20.4
165.8,5539,20.2
166.2,5554,20.8
166.6,5568,21
166.9,5583,21.2
167.3,5597,21.4
167.7,5612,18.4
168,5627,18.9
168.4,5641,20.9
168.8,5656,22.7
169.1,5670,20.2
169.5,5685,23.4
169.9,5699,27.2
170.2,5714,24.5
170.6,5728,20.3
171,5743,23.2
172.4,5801,23.3
172.8,5816,21.1
173.2,5830,15.4
174.6,5888,12.3
175,5903,16
175.4,5917,21
175.7,5932,21.2
176.1,5946,17.5
176.5,5961,16.5
176.8,5975,13.3
177.2,5990,16.5
177.6,6005,17.6
177.9,6019,18.8
178.3,6034,19
178.7,6048,17.7
179,6063,16.5
179.4,6077,17.7
179.8,6092,18.5
180.1,6106,18.3
180.5,6121,18.4
180.9,6135,19.3
181.2,6150,20.8
181.6,6164,19
182,6179,18
182.3,6194,16.5
182.7,6208,16.3
183.1,6223,15.4
183.4,6237,19.8
183.8,6252,20.4
184.2,6266,16.2
184.5,6281,15.8
184.9,6295,17
185.3,6310,18.9
185.6,6324,17.1
186,6339,16.4
186.4,6353,17.5
186.7,6368,19.3
187.1,6383,19
187.5,6397,17.4
187.8,6412,16.6
188.2,6426,18
188.6,6441,18.5
188.9,6455,18.4
189.3,6470,18.5
189.7,6484,17.9
190,6499,18.4
190.4,6513,17.4
190.8,6528,17.4
191.1,6542,17.3
191.5,6557,16.8
191.9,6572,17.1
192.2,6586,18.5
192.6,6601,19.6
193,6615,19
193.3,6630,20.1
193.7,6644,18.5
194.1,6659,16.4
194.4,6673,17.1
194.8,6688,16.8
195.2,6702,19.6
195.5,6717,19.1
195.9,6731,19
196.3,6746,20.4
196.6,6761,21.4
197,6775,20.9
197.4,6790,20
197.7,6804,19.1
198.1,6819,18.3
198.5,6833,17.9
198.8,6848,17.6
199.2,6862,20.1
199.5,6875,18.9
199.8,6888,20.7
200.2,6902,20.2
200.5,6915,21.9
200.8,6928,20.9
201.2,6941,23.9
201.5,6954,20.5
201.8,6967,21.5
202.2,6980,20.6
202.5,6993,18.3
202.8,7006,18.8
203.1,7019,16.1
203.5,7032,17.8
203.8,7046,20.5
204.1,7059,21.9
204.5,7072,21.1
204.8,7085,21.1
205.1,7098,23.9
205.5,7111,24.7
205.8,7124,24.4
206.1,7137,24
206.4,7150,22.4
206.8,7163,21.8
207.1,7176,21.9
207.4,7189,21.6
207.8,7203,19.5
208.1,7216,20.9
208.4,7229,22.1
208.8,7242,20.1
209.1,7255,21.1
209.4,7268,20.2
209.7,7281,18.5
210,7293,18.3
210.3,7305,18.1
210.6,7317,16.6
210.9,7329,18.1
211.2,7341,17
211.5,7352,16.9
211.8,7364,16.8
212.1,7376,18.4
212.4,7388,17.3
212.7,7400,20.2
