year (AD),age (BP),d18O (permilvspdb)
1894.578,55.422,-9.64
1802.209,147.791,-8.58
1709.839,240.161,-8.7
1594.378,355.622,-9.42
1201.807,748.193,-9.76
984.739,965.261,-8.71
855.422,1094.578,-9.02
699.392,1250.608,-9.6
523.328,1426.672,-8.71
347.264,1602.736,-8.01
171.2,1778.8,-8.29
14,1936,-8.28
-175.6,2125.6,-8.16
-341.5,2291.5,-8.24
-495.55,2445.55,-7.93
-657.5,2607.5,-7.62
-815.5,2765.5,-7.58
-973.5,2923.5,-7.57
-1131.5,3081.5,-7.61
-1273,3223,-8.52
-1390,3340,-9.02
-1534,3484,-8.88
-1722,3672,-8.22
-1975,3925,-8.21
-2093,4043,-7.47
-2184,4134,-6.41
-2242,4192,-6.76
-2282,4232,-6.96
-2323,4273,-6.58
-2366,4316,-7.43
-2418,4368,-7.62
-2514,4464,-3.85
-2525,4475,-6.01
-2530,4480,-5.66
-2557,4507,-5.93
-2563,4513,-6.59
-2574,4524,-6.32
-2606,4556,-6.55
-2638,4588,-6.91
-2648,4598,-6.79
-2729.875,4679.875,-6.59
-2801.875,4751.875,-6.63
-2906.5,4856.5,-7.09
-3005,4955,-7.06
-3192.778,5142.778,-6.6
-3258.228,5208.228,-6.56
-3288.797,5238.797,-6.93
-3381.962,5331.962,-6.55
-3469.304,5419.304,-6.55
-3556.646,5506.646,-7.1
-3643.987,5593.987,-6.73
-3680.38,5630.38,-6.6
-3712.405,5662.405,-6.85
-3744.43,5694.43,-6.76
-3777.911,5727.911,-6.93
-3818.671,5768.671,-6.88
-3862.342,5812.342,-7
-3906.013,5856.013,-6.8
-3949.684,5899.684,-7.22
-3993.354,5943.354,-7.17
-4044.304,5994.304,-7.27
-4102.532,6052.532,-7.08
-4153.481,6103.481,-7.13
-4192.785,6142.785,-7.55
-4227.722,6177.722,-7.28
-4261.203,6211.203,-6.9
-4287.405,6237.405,-7.13
-4304.873,6254.873,-7.02
-4331.076,6281.076,-7.07
-4372.059,6322.059,-6.73
-4419.118,6369.118,-6.61
-4451.471,6401.471,-6.77
-4477.941,6427.941,-7.21
-4519.118,6469.118,-7.17
-4563.235,6513.235,-7.11
-4602.941,6552.941,-7.19
-4647.059,6597.059,-7.69
-4688.235,6638.235,-6.93
-4725,6675,-8.2
-4769.118,6719.118,-6.83
-4813.235,6763.235,-7.13
-4852.857,6802.857,-7.02
-4910,6860,-7.22
-4959.524,6909.524,-7.04
-4988.095,6938.095,-6.66
-5045.238,6995.238,-6.8
-5102.381,7052.381,-6.32
-5159.524,7109.524,-6.45
-5245.238,7195.238,-6.85
-5403.125,7353.125,-6.73
-5481.875,7431.875,-6.54
-5560.625,7510.625,-6.49
-5613.5,7563.5,-6.51
-5640.5,7590.5,-7.09
-5694.5,7644.5,-6.5
-5748.5,7698.5,-7
-5775.5,7725.5,-6.92
-5825,7775,-6.59
-5868.2,7818.2,-6.66
-5903.3,7853.3,-6.92
-5928.5,7878.5,-6.93
-5982.5,7932.5,-7.5
-6028.4,7978.4,-6.91
-6069.333,8019.333,-8.52
-6125.333,8075.333,-8.99
-6159.333,8109.333,-8.77
-6190,8140,-9.02
-6222.667,8172.667,-9.04
-6260,8210,-9.71
-6300.714,8250.714,-9.16
-6320,8270,-8.93
-6355.714,8305.714,-8.14
-6396.429,8346.429,-7.8
-6608.333,8558.333,-8.135
-6785.638,8735.638,-8.35
-7079.255,9029.255,-8.53
-7372.872,9322.872,-9.54
-7678.723,9628.723,-10.38
-7997.368,9947.368,-10.4
-8302.632,10252.632,-10.34
-8650,10600,-10.63
-8800,10750,-11.37
-8925.765,10875.765,-10.84
-9101.403,11051.403,-10.87
-9222.832,11172.832,-11.67
-9354,11304,-10.9
-9506.897,11456.897,-11.69
-9541.379,11491.379,-11.34
