age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (),lab_id (),material_dated (),note ()
-51,0,0,0,NA,NA,NA,NA,0,2,NA,NA,1
NA,34.5,340,350,235,45,141,444,10,1,4,1,NA
NA,82.5,820,830,1530,30,1348,1472,10,1,8,1,NA
NA,130.5,1300,1310,2830,40,2888,2984,10,1,6,1,NA
NA,178.5,1780,1790,4590,45,5238,5380,10,1,5,1,NA
NA,201.5,2010,2020,5930,50,6658,6832,10,1,7,1,NA
NA,217.5,2170,2180,6880,50,7622,7740,10,1,2,1,NA
NA,227.5,2270,2280,7630,55,8386,8428,10,1,3,1,NA
NA,241.5,2410,2420,7990,55,8741,9025,10,1,9,1,2
NA,302.5,3020,3030,10070,50,11323,11885,10,1,11,1,NA
NA,332.5,3320,3330,10730,60,12720,13008,10,1,10,1,NA
NA,355,3540,3560,11170,60,13068,13228,20,1,1,1,NA
