depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),thickness (mm),age_type (),material_dated ()
0,0,0,NA,NA,0,2,NA
815.75,8155,8160,2210,40,5,1,1
854.75,8545,8550,2985,45,5,1,1
916,9155,9165,3800,45,10,1,1
984,9835,9845,6025,50,10,1,1
1028,10275,10285,7830,80,10,1,1
1044,10435,10445,8970,90,10,1,1
1060,10595,10605,9860,90,10,1,1
1072,10715,10725,10350,90,10,1,1
