year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
866,1084,587.282,26.62,4.06,206.384
790,1160,1167.379,26.83,4.14,42.656
714,1236,1240.855,26.45,4,106.117
638,1312,1313.191,26.22,3.92,139.13
562,1388,1385.308,27.9,4.55,161.611
486,1464,1457.297,26.64,4.07,177.602
410,1540,1529.193,26.5,4.02,188.755
334,1616,1601.012,26.89,4.16,195.894
258,1692,1672.762,26.89,4.16,199.446
182,1768,1744.449,26.75,4.11,199.598
106,1844,1816.07,25.66,3.73,196.354
30,1920,1887.624,25.17,3.57,189.532
-46,1996,1959.1,26.78,4.12,178.713
-122,2072,2030.484,26.25,3.93,163.09
-198,2148,2101.739,26.05,3.86,141.046
-274,2224,2172.775,27,4.2,108.655
-350,2300,2242.671,26.42,3.99,46.526
-500,2450,2398.256,27.08,4.23,151.624
-650,2600,2552.26,27.42,4.36,202.025
-800,2750,2705.965,26.59,4.05,236.371
-950,2900,2859.496,26.5,4.02,261.123
-1100,3050,3012.901,25.96,3.83,278.869
-1250,3200,3166.204,27.21,4.28,290.902
-1400,3350,3319.418,25.96,3.83,297.924
-1550,3500,3472.55,25.48,3.67,300.288
-1700,3650,3625.6,26.39,3.98,298.111
-1850,3800,3778.568,25.66,3.73,291.293
-2000,3950,3931.446,26.53,4.03,279.497
-2150,4100,4084.223,26.22,3.92,262.052
-2300,4250,4236.874,25.51,3.68,237.718
-2450,4400,4389.351,26.02,3.85,204.045
-2600,4550,4541.528,26.45,4,155.047
-2750,4700,4692.125,26.39,3.98,60.446
-2900,4850,4853.396,26.34,3.96,157.256
-3050,5000,5013.031,26.7,4.09,206.705
-3200,5150,5172.352,26.25,3.93,240.248
-3350,5300,5331.49,27,4.2,264.033
-3500,5450,5490.494,25.72,3.75,280.557
-3650,5600,5649.388,26.75,4.11,291.061
-3800,5750,5808.184,26.08,3.87,296.188
-3950,5900,5966.887,26.45,4,296.216
-4100,6050,6125.498,26.34,3.96,291.148
-4250,6200,6284.011,25.26,3.6,280.705
-4400,6350,6442.414,25.3,3.61,264.251
-4550,6500,6600.683,25.57,3.7,240.55
-4700,6650,6758.768,26.05,3.86,207.122
-4850,6800,6916.54,26.94,4.18,157.877
-5000,6950,7072.676,26.89,4.16,62.076
-5150,7100,7196.802,25.01,3.52,139.529
-5273,7223,7319.543,25.3,3.61,179.709
-5397,7347,7442.01,25.51,3.68,205.943
-5520,7470,7564.31,25.39,3.64,223.232
-5643,7593,7686.485,25.93,3.82,233.59
-5767,7717,7808.552,27.08,4.23,237.936
-5890,7840,7930.517,27.44,4.37,236.613
-6013,7963,8052.378,25.84,3.79,229.537
-6137,8087,8174.124,25.69,3.74,216.161
-6260,8210,8295.729,26.16,3.9,195.22
-6383,8333,8417.128,25.51,3.68,163.893
-6507,8457,8538.103,26.56,4.04,114.132
-6630,8580,8631.617,26.59,4.05,96.223
-6706,8656,8698.08,25.81,3.78,127.918
-6783,8733,8764.199,27.1,4.24,148.578
-6859,8809,8830.152,26.48,4.01,162.365
-6935,8885,8895.988,26.53,4.03,170.918
-7012,8962,8961.729,26.28,3.94,174.99
-7088,9038,9027.383,26.83,4.14,174.885
-7165,9115,9092.949,27.65,4.45,170.587
-7241,9191,9158.419,27.18,4.27,161.76
-7317,9267,9223.773,26.62,4.06,147.592
-7394,9344,9288.96,26.83,4.14,126.301
-7470,9420,9353.804,25.42,3.65,93.176
-7581,9531,9447.632,26.16,3.9,112.337
-7691,9641,9569.936,26.75,4.11,164.829
-7802,9752,9691.805,25.33,3.62,198.697
-7913,9863,9813.47,25.45,3.66,222.578
-8023,9973,9934.999,26.19,3.91,239.468
-8134,10084,10056.421,26.64,4.07,250.777
-8244,10194,10177.753,26.67,4.08,257.239
-8355,10305,10299.001,27.36,4.34,259.214
-8466,10416,10420.168,27.6,4.43,256.802
-8576,10526,10541.251,25.57,3.7,249.873
-8687,10637,10662.244,25.57,3.7,238.031
-8798,10748,10783.13,24.88,3.48,220.482
-8908,10858,10903.88,26.31,3.95,195.688
-9019,10969,11024.427,25.75,3.76,160.313
