age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (years),cal_age_error (2s),thickness (mm),age_type (),lab_id (),material_dated (),note ()
-37,0,0,0,NA,NA,3,0,2,15,NA,1
NA,27.5,250,300,1480,90,NA,50,1,1,1,NA
NA,57.5,550,600,2100,100,NA,50,1,6,1,NA
NA,97.5,950,1000,2770,90,NA,50,1,7,1,NA
NA,127.5,1250,1300,3710,90,NA,50,1,8,1,NA
NA,142.5,1400,1450,4370,100,NA,50,1,2,1,NA
NA,162.5,1600,1650,6000,100,NA,50,1,9,1,NA
NA,192.5,1900,1950,7000,140,NA,50,1,10,1,NA
NA,237.5,2350,2400,7870,130,NA,50,1,11,1,NA
NA,255,2525,2575,8300,130,NA,50,1,3,1,NA
NA,272.5,2700,2750,9160,120,NA,50,1,12,1,NA
NA,292.5,2900,2950,9080,130,NA,50,1,4,1,NA
NA,316.5,3130,3200,9300,150,NA,70,1,13,1,NA
NA,342.5,3400,3450,10070,130,NA,50,1,5,1,NA
NA,374,3700,3780,10690,210,NA,80,1,14,1,NA
