depth (cm),age (Calibrated),temperature (degC),uncertaintyHigh (missing),uncertaintyLow (missing),ReliabIeYN1 (missing)
0.5,95,8.535,10.124,6.947,Y
4,1180,8.839,10.453,7.226,Y
8,1352,9.258,10.781,7.735,Y
12,1714.5,8.918,10.387,7.45,Y
16,2270.67,9.018,10.519,7.516,Y
20,2830,8.434,9.939,6.929,Y
24,3315,8.088,9.585,6.59,Y
28,3720,8.264,9.91,6.617,Y
32,4121,8.855,10.354,7.356,Y
36,4520,8.594,10.077,7.11,Y
40,4930,8.204,9.774,6.634,Y
44,5630,8.943,10.467,7.42,Y
48,6620,8.256,9.767,6.744,Y
52,7613.33,8.869,10.363,7.375,Y
56,8605,8.97,10.538,7.401,Y
60,9200,9.578,11.026,8.129,Y
64,9400,10.674,12.026,9.322,Y
68,9605,10.493,11.802,9.185,Y
72,9808.33,9.905,11.233,8.577,Y
76,10010,10.044,11.354,8.735,Y
80,10210,11.593,12.942,10.244,Y
