age (yr bp),depthtop (cm),error (yr),type (unitless),depthbottom (cm)
195,33,30,AMS14C,43
1220,153,30,AMS14C,158
1970,258,50,AMS14C,268
3460,403,40,AMS14C,408
4390,503,40,AMS14C,513
4830,633,60,AMS14C,638
6170,753,80,AMS14C,758
