depth (cm) [1-1],age (BP) [1-1],core (unitless) [1-1],error (yr) [1-1],type (NA) [1-1],depth (cm) [2-1],age (BP) [2-1],core (unitless) [2-1],error (yr) [2-1],type (NA) [2-1]
112,400,HCCM,30,AMS14C,48.5,2030,TM,30,AMS14C
171,645,HCCM,35,AMS14C,73,2810,TM,45,AMS14C
202.5,8990,HCCM,55,AMS14C,95,4580,TM,50,AMS14C
222,9800,HCCM,240,AMS14C,157.5,4610,TM,40,AMS14C
225,9860,HCCM,100,AMS14C,183,6030,TM,95,AMS14C
251.5,9680,HCCM,65,AMS14C,205,7480,TM,50,AMS14C
252.5,9300,HCCM,220,AMS14C,212,7380,TM,40,AMS14C
NA,NA,NA,NA,NA,243,8040,TM,60,AMS14C
