year (AD) [1-1],age (BP) [1-1],temperature (degC) [1-1],Mg/Ca (mmol/mol) [1-1],age (BP) [2-1],year (AD) [2-1],age (BP) [2-1],ageUncertainty (yr) [2-1]
1950,0,14,2.11,283.431,1950,0,181.279
1884,66,14.2,2.17,335.4,1884,66,191.291
1753,197,13.9,2.1,439.449,1753,197,204.839
1687,263,13.8,2.08,491.522,1687,263,208.808
1621,329,12.6,1.82,543.624,1621,329,211.069
1555,395,13.6,2.03,595.755,1555,395,211.682
1489,461,13.2,1.95,647.917,1489,461,210.665
1423,527,13,1.91,700.108,1423,527,207.998
1358,592,12.5,1.81,752.332,1358,592,203.621
1292,658,14.4,2.21,804.591,1292,658,197.427
1226,724,12.4,1.79,856.892,1226,724,189.244
1094,856,13,1.91,961.655,1094,856,165.716
1029,921,13.3,1.96,1014.164,1029,921,149.293
963,987,12.9,1.89,1066.859,963,987,128.375
744,1206,13.9,2.1,1252.277,744,1206,160.677
590,1360,14,2.13,1385.094,590,1360,198.432
437,1513,13.4,1.99,1518.144,437,1513,222.152
283,1667,12.5,1.81,1651.331,283,1667,236.129
130,1820,13.4,1.98,1784.626,130,1820,241.985
-24,1974,13.8,2.07,1918.021,-24,1974,240.213
-177,2127,14.1,2.14,2051.524,-177,2127,230.484
-331,2281,13.5,2,2185.164,-331,2281,211.429
-484,2434,14,2.13,2319.037,-484,2434,179.27
-638,2588,13.1,1.92,2460.158,-638,2588,164.252
-791,2741,13.4,1.99,2615.95,-791,2741,196.345
-945,2895,14.2,2.16,2779.561,-945,2895,241.786
-1098,3048,14.1,2.14,2943.526,-1098,3048,273.501
-1251,3201,13.2,1.95,3107.677,-1251,3201,296.529
-1405,3355,14.4,2.22,3271.959,-1405,3355,312.98
-1558,3508,14.8,2.32,3436.347,-1558,3508,323.944
-1712,3662,14.3,2.19,3600.827,-1712,3662,330.023
-1865,3815,14.4,2.22,3765.392,-1865,3815,331.523
-2019,3969,14.2,2.17,3930.04,-2019,3969,328.535
-2172,4122,13.8,2.07,4094.773,-2172,4122,320.958
-2326,4276,13.9,2.1,4259.598,-2326,4276,308.475
