depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],age (BP) [1-2],temperature (degC) [1-2],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1]
0,-9.54,10.373,9850.153,1.304,0,-9.54,9.15
2,67.23,9.857,9586.938,1.004,6,242.71,9.27
4,154.97,9.88,9323.722,1.609,12,505.93,9.5
6,242.71,9.627,9060.507,1.704,18,769.15,9.38
8,330.45,9.899,8797.292,1.007,24,1032.36,8.81
10,418.19,9.991,8534.077,0.755,30,1295.58,8.79
12,505.93,10.192,8270.862,0.083,33,1427.19,8.67
14,593.67,9.642,8007.648,0.661,36,1558.8,8.96
16,681.41,10.601,7744.432,0.742,42,1822.02,8.97
18,769.15,10.244,7481.217,0.919,48,2085.23,8.63
20,856.89,10.566,7218.002,1.003,51,2216.84,9.47
22,944.63,10.382,6954.788,0.891,54,2348.45,10.05
24,1032.36,10.712,6691.573,0.444,60,2611.67,9.92
26,1120.1,10.664,6428.358,0.314,66,2874.89,9.84
28,1207.84,10.538,6165.143,0.114,72,3138.11,9.58
30,1295.58,10.595,5901.928,0.404,75,3269.71,9.34
32,1383.32,10.425,5638.713,0.061,78,3401.32,9.93
34,1471.06,11.132,5375.498,-0.126,84,3664.54,10.13
36,1558.8,11.271,5112.283,-0.349,90,3927.76,9.76
38,1646.54,10.881,4849.068,0.097,96,4190.98,9.14
40,1734.28,10.628,4585.853,0.092,102,4454.19,10.32
42,1822.02,11.128,4322.638,-0.113,108,4717.41,10.11
44,1909.76,11.101,4059.423,-0.557,114,4980.63,9.98
46,1997.5,10.741,3796.208,-0.207,120,5243.84,9.79
48,2085.23,11.047,3532.993,-0.077,126,5507.06,9.34
50,2172.97,10.528,3269.778,-0.424,132,5770.28,9.78
52,2260.71,11.153,3006.563,-0.397,138,6033.5,10.1
54,2348.45,11.308,2743.348,-0.227,144,6296.71,10.03
56,2436.19,11.65,2480.133,-0.052,147,6428.32,10.99
60,2611.67,11.679,2216.918,-0.467,150,6559.93,11.16
64,2787.15,11.396,1953.703,-1.048,156,6823.15,10.89
68,2962.63,11.097,1690.488,-0.92,162,7086.37,11.84
72,3138.11,11.534,1427.273,-0.966,168,7349.58,11.29
76,3313.58,11.207,1164.058,-1.15,174,7612.8,11.8
80,3489.06,11.362,900.843,-1.163,180,7876.02,11.63
84,3664.54,11.447,637.628,-1.074,183,8007.63,11.92
88,3840.02,11.516,374.413,-1.081,184,8051.51,12.15
92,4015.5,11.572,NA,NA,185,8095.37,11.65
96,4190.98,11.299,NA,NA,186,8139.24,10.26
100,4366.45,11.144,NA,NA,189,8270.85,10.26
104,4541.93,12.441,NA,NA,190,8314.71,10.56
108,4717.41,11.086,NA,NA,191,8358.58,11.34
112,4892.89,11.903,NA,NA,192,8402.45,11.34
116,5068.37,11.609,NA,NA,198,8665.67,11.97
120,5243.84,10.795,NA,NA,204,8928.89,12.15
124,5419.32,12.097,NA,NA,210,9192.11,12.03
128,5594.8,12.14,NA,NA,213,9323.71,11.73
132,5770.28,11.921,NA,NA,216,9455.32,12.14
136,5945.76,12.397,NA,NA,222,9718.54,11.33
140,6121.24,12.023,NA,NA,228,9981.76,11.63
144,6296.71,11.753,NA,NA,234,10244.98,12.48
148,6472.19,11.243,NA,NA,240,10508.19,12.34
152,6647.67,11.411,NA,NA,250,10948.19,11.51
156,6823.15,11.966,NA,NA,NA,NA,NA
160,6998.63,11.631,NA,NA,NA,NA,NA
164,7174.11,12.22,NA,NA,NA,NA,NA
168,7349.58,12.593,NA,NA,NA,NA,NA
172,7525.06,11.727,NA,NA,NA,NA,NA
176,7700.54,11.513,NA,NA,NA,NA,NA
180,7876.02,11.575,NA,NA,NA,NA,NA
184,8051.5,11.516,NA,NA,NA,NA,NA
188,8226.98,10.861,NA,NA,NA,NA,NA
192,8402.45,11.102,NA,NA,NA,NA,NA
196,8577.93,11.23,NA,NA,NA,NA,NA
200,8753.41,11.768,NA,NA,NA,NA,NA
204,8928.89,11.339,NA,NA,NA,NA,NA
