year (AD),age (BP),IP25_flux (g/cm2/ka)
1930,20,0.44
1900,50,NA
1880,70,NA
1860,90,NA
1840,110,0.384
1810,140,NA
1790,160,NA
1770,180,NA
1750,200,NA
1720,230,0.325
1700,250,NA
1680,270,NA
1660,290,NA
1630,320,NA
1610,340,0.313
1590,360,NA
1570,380,NA
1540,410,NA
1520,430,NA
1500,450,NA
1490,460,NA
1480,470,NA
1470,480,NA
1470,480,NA
1460,490,0.49
1450,500,NA
1440,510,NA
1430,520,NA
1420,530,NA
1420,530,NA
1410,540,NA
1400,550,NA
1390,560,NA
1380,570,NA
1370,580,0.578
1360,590,NA
1360,590,NA
1350,600,NA
1340,610,NA
1330,620,NA
1320,630,NA
1310,640,NA
1310,640,NA
1290,660,NA
1270,680,0.289
1240,710,NA
1220,730,NA
1200,750,NA
1180,770,NA
1160,790,NA
1140,810,NA
1120,830,NA
1100,850,NA
1080,870,NA
1060,890,0.26
1040,910,NA
1020,930,NA
1000,950,NA
980,970,NA
960,990,NA
940,1010,NA
920,1030,NA
900,1050,NA
880,1070,NA
860,1090,0.149
840,1110,NA
820,1130,NA
790,1160,NA
770,1180,NA
750,1200,NA
730,1220,NA
710,1240,NA
690,1260,NA
670,1280,NA
650,1300,0.179
630,1320,NA
610,1340,NA
590,1360,NA
570,1380,NA
550,1400,NA
530,1420,NA
510,1440,NA
490,1460,NA
470,1480,NA
450,1500,0.141
430,1520,NA
410,1540,NA
390,1560,NA
370,1580,NA
350,1600,NA
320,1630,NA
300,1650,NA
280,1670,NA
260,1690,NA
240,1710,0.122
220,1730,NA
200,1750,NA
180,1770,NA
160,1790,NA
140,1810,NA
120,1830,NA
100,1850,NA
80,1870,NA
60,1890,NA
40,1910,0.191
20,1930,NA
0,1950,NA
-20,1970,NA
-40,1990,NA
-60,2010,NA
-80,2030,NA
-100,2050,NA
-130,2080,NA
-150,2100,NA
-170,2120,0.24
-190,2140,NA
-210,2160,NA
-230,2180,NA
-250,2200,NA
-270,2220,NA
-290,2240,NA
-310,2260,NA
-330,2280,NA
-350,2300,NA
-370,2320,0.152
-390,2340,NA
-410,2360,NA
-430,2380,NA
-450,2400,NA
-470,2420,NA
-500,2450,NA
-520,2470,NA
-540,2490,NA
-560,2510,NA
-580,2530,0.085
-600,2550,NA
-620,2570,NA
-640,2590,NA
-660,2610,NA
-680,2630,NA
-710,2660,NA
-730,2680,NA
-750,2700,NA
-770,2720,NA
-790,2740,0.121
-810,2760,NA
-830,2780,NA
-850,2800,NA
-870,2820,NA
