age (BP),temperature (degC),depth_merged (m),Uk37 (missing),C37.concentration (microg_g),age (BP),depth_merged (m),IRD (no_g),depth_merged (m),d18O (permil),age (BP),temperature (degC),depth_merged (m),Mg/Ca (mmol_mol)
1000,3.99,0,0.213,NA,1110,0.02,0.17,0.01,3.04,1018.5,3.93,0.01,1.2
1110,7.53,0.02,0.319,NA,1140,0.03,0,0.05,3.12,1104,3.15,0.04,1.13
1230,8.88,0.05,0.359,2.78,1170,0.04,0,0.1,3.08,1383.5,2.42,0.08,1.07
1790,6.89,0.08,0.3,2.65,1230,0.05,0,0.11,3.15,1801.4,4.79,0.12,1.28
2100,5.31,0.1,0.252,NA,1790,0.08,0,0.12,3.25,2290.8,3.63,0.16,1.18
2460,6.95,0.13,0.301,NA,1960,0.09,0,0.14,3.12,2882.4,3.3,0.21,1.15
3300,8.6,0.2,0.351,0.32,2100,0.1,0,0.15,3.2,3278.9,3.69,0.24,1.18
4080,7.5,0.27,0.318,4.44,2240,0.11,0,0.16,3.03,4332.9,2.78,0.28,1.1
4330,6.79,0.29,0.297,NA,2360,0.12,0,0.2,3.09,4617.1,4.2,0.32,1.23
4510,6.43,0.3,0.286,NA,2460,0.13,0,0.21,3.18,5145.9,3.1,0.34,1.13
4810,6.81,0.32,0.297,1.59,2720,0.15,0,0.22,3.33,5547.5,3.51,0.38,1.16
5820,6.49,0.4,0.288,NA,2830,0.16,0,0.23,3.29,5692.2,2,0.41,1.03
6150,6.81,0.42,0.297,2.01,2940,0.17,0.05,0.24,3.15,5982.5,4.7,0.42,1.27
6800,10.16,0.47,0.398,NA,3040,0.18,0,0.25,3.3,6254.1,3.18,0.44,1.13
6940,6.99,0.48,0.303,0.41,3170,0.19,0,0.27,3.27,6514.6,3.08,0.46,1.13
7350,6.755,0.5,0.278,1.98,3300,0.2,0,0.29,2.87,7835.7,2.78,0.48,1.1
7840,8.47,0.52,0.347,0.44,3390,0.21,0.05,0.3,3.15,8259,1.41,0.52,0.97
8080,9.36,0.53,0.374,0.68,3520,0.22,0.04,0.32,3.12,8581,1.39,0.54,0.97
8330,9.32,0.54,0.373,0.66,3630,0.23,0,0.33,2.95,9660.5,0.56,0.56,0.89
8570,5.39,0.55,0.255,0.48,3750,0.24,0,0.34,3.2,10432.1,-0.13,0.58,0.83
8810,8.81,0.56,0.357,0.85,3860,0.25,0.06,0.35,3.15,11180.9,0.12,0.62,0.85
9510,8.31,0.59,0.342,0.92,4080,0.27,0.04,0.36,2.92,11912.5,1.25,0.64,0.96
9690,5.64,0.6,0.262,0.34,4200,0.28,0.04,0.37,3.46,12748.9,0.33,0.66,0.87
10180,6.24,0.61,0.28,0.45,4330,0.29,0.04,0.38,2.27,12854.3,0.65,0.68,0.9
11000,6.05,0.62,0.274,0.36,4510,0.3,0,0.39,3.21,12933.9,-0.27,0.72,0.82
11440,5.19,0.63,0.249,NA,4810,0.32,0,0.4,3.16,12982.9,0.25,0.74,0.87
11890,2.44,0.64,0.166,1.44,4930,0.33,0,0.41,2.82,13051,0.06,0.76,0.85
12750,5.85,0.66,0.269,NA,5050,0.34,0.14,0.42,3.23,13070.5,0,0.78,0.84
12840,1.7,0.67,0.144,NA,5170,0.35,0,0.43,3.18,13109.4,-0.27,0.81,0.82
12900,3,0.68,0.183,1.27,5310,0.36,0.05,0.44,3.23,13153.3,0.28,0.82,0.87
12950,1.89,0.69,0.15,3.38,5440,0.37,0.08,0.45,3.27,13204.1,-0.62,0.84,0.79
13010,4.47,0.7,0.239,0.42,5570,0.38,0.07,0.46,3.32,13318.3,0.07,0.86,0.85
13160,3.75,0.74,0.205,1.93,5690,0.39,0.08,0.47,3.11,13380.7,1.15,0.88,0.95
13290,5.81,0.8,0.267,NA,5820,0.4,0.17,0.48,3.06,13440.8,0.14,0.92,0.86
13340,4.27,0.82,0.221,0.77,5990,0.41,0.27,0.5,3.13,13498.7,0.51,0.94,0.89
13570,5.64,0.9,0.262,0.32,6150,0.42,0.35,0.52,3.44,13591.8,0.55,0.96,0.89
13630,3.12,0.92,0.186,1.69,6270,0.43,0.04,0.53,3.32,13626.8,1.01,0.98,0.94
13830,5.41,0.99,0.255,1.78,6400,0.44,0,0.54,3.7,13661.7,-0.21,1.02,0.82
13850,3.02,1,0.184,0.47,6540,0.45,0.05,0.55,3.32,13695.8,-0.19,1.04,0.83
14010,3.94,1.1,0.211,0.25,6670,0.46,0.08,0.56,3.59,13756.4,0.66,1.06,0.9
14340,3.95,1.14,0.211,0.36,6800,0.47,0.16,0.57,3.3,13841.3,-0.64,1.08,0.79
14550,1.29,1.17,0.132,0.38,6940,0.48,0.32,0.58,3.6,13919.4,-1.62,1.11,0.7
14900,2.42,1.2,0.166,NA,7350,0.5,0.04,0.59,4.06,14021.8,-1.71,1.14,0.69
15530,6.15,1.24,0.278,1,7840,0.52,1.23,0.6,4.22,14532.1,-0.81,1.16,0.77
15750,3.82,1.29,0.208,NA,8080,0.53,0.77,0.63,3.85,14698.6,-1.33,1.18,0.72
15790,5.11,1.3,0.246,0.08,8330,0.54,0.89,0.64,4.34,14832.4,-0.64,1.24,0.78
16040,2.28,1.38,0.161,0.73,8570,0.55,0.4,0.65,4.35,15027.4,-1.6,1.26,0.7
16230,4.62,1.4,0.231,0.11,8810,0.56,0.54,0.66,4.23,15213.3,-0.68,1.28,0.78
16450,3.92,1.41,0.211,0.11,9040,0.57,0.93,0.67,3.94,15336.8,-1.45,1.31,0.71
16660,3.39,1.42,0.195,0.08,9300,0.58,1.02,0.68,4.4,15461.6,1.49,1.34,0.98
16870,4.07,1.43,0.215,0.09,9510,0.59,0.33,0.69,4.23,15659.7,-0.52,1.36,0.8
17290,3.78,1.45,0.206,NA,9690,0.6,0.48,0.7,3.98,15731.9,2.08,1.38,1.03
17500,4.74,1.46,0.235,0.09,11440,0.63,0.51,0.72,4.24,15875.7,-0.54,1.41,0.79
17710,3.29,1.47,0.192,0.11,11890,0.64,0.23,0.73,4.29,16020.5,-0.96,1.42,0.76
18180,5.89,1.5,0.312,0.07,12350,0.65,0.55,0.74,4.25,16171.7,-1.4,1.44,0.72
18370,5.015,1.6,0.233,0.9,12750,0.66,0.63,0.75,4.33,16408.7,-2.74,1.46,0.59
18500,4.89,1.68,0.24,0.47,12840,0.67,1.18,0.76,4.52,16496.1,-2.02,1.48,0.66
18600,11.29,1.74,0.432,0.23,12900,0.68,1.43,0.77,4.37,16578.5,-2.23,1.52,0.64
18700,8.37,1.8,0.344,0.05,12950,0.69,0.86,0.78,4.31,16655.6,-1.87,1.54,0.67
18710,6.69,1.81,0.294,NA,13010,0.7,5.76,0.79,4.37,16769.1,-0.9,1.56,0.76
18810,6.88,1.87,0.299,NA,13110,0.72,4.73,0.8,4.25,16806.4,-1.21,1.58,0.73
18930,12.62,1.94,0.472,1.15,13140,0.73,2.17,0.81,4.41,16882.2,-2.37,1.61,0.63
19070,10.53,2,0.409,0.17,13160,0.74,2.51,0.82,4.26,17034.1,-1.99,1.62,0.66
19100,7.87,2.02,0.329,NA,13180,0.75,2.75,0.83,4.16,17149.2,-1.73,1.64,0.69
19160,9.78,2.1,0.386,0.11,13190,0.76,5.79,0.84,4.23,17263.4,-0.43,1.68,0.8
19230,10.28,2.2,0.402,NA,13210,0.77,5.29,0.85,4.23,17339.1,-1.69,1.71,0.69
19370,6.02,2.3,0.274,0.07,13240,0.78,6.31,0.86,4.29,17527.7,-2.04,1.74,0.66
19430,8.35,2.32,0.344,0.19,13260,0.79,9.78,0.87,4.26,17566.9,-1.9,1.76,0.67
19560,7.89,2.4,0.33,0.09,13290,0.8,6.76,0.88,4.34,17644.8,-1.97,1.81,0.66
19720,6.007,2.5,0.243,NA,13310,0.81,5.14,0.89,4.12,17721.6,-2.13,1.82,0.65
19890,6.83,2.6,0.298,0.09,13340,0.82,3.09,0.9,4.22,18182.9,-2.06,1.84,0.65
20050,7.98,2.7,0.332,0.08,13370,0.83,2.4,0.92,4.4,18312.5,-1.44,1.86,0.71
20120,5.65,2.74,0.262,NA,13390,0.84,0.67,0.93,4.38,18554.9,-1.91,1.98,0.67
20230,1.11,2.8,0.126,NA,13420,0.85,0.8,0.94,4.35,18827.1,-1.97,2.02,0.66
20340,3.66,2.86,0.203,0.9,13440,0.86,1.36,0.95,4.38,19111.7,-1.48,2.12,0.71
20530,6.03,2.9,0.274,0.12,13470,0.87,1.65,0.96,3.94,19413.3,-1.71,2.24,0.69
21020,2.39,3,0.165,NA,13500,0.88,3.8,0.97,3.18,19696.5,-0.79,2.36,0.77
21110,3.92,3.02,0.211,0.69,13540,0.89,4.04,0.98,4.44,20026.1,-1.87,2.48,0.67
21470,6.11,3.1,0.276,0.06,13570,0.9,1.11,0.99,4.81,20335.6,-1.52,2.59,0.7
21620,6.97,3.14,0.302,0.47,13630,0.92,7.18,1,4.33,20438.6,-1.97,2.72,0.66
21900,5.01,3.2,0.243,0.47,13660,0.93,5.36,1.01,3.99,20580.5,-1.02,2.84,0.75
22030,7.51,3.23,0.318,0.14,13690,0.94,9.99,1.02,4.51,20681.9,-1.75,2.88,0.68
22120,3.07,3.25,0.163,NA,13710,0.95,4.91,1.03,4.35,20809.1,-0.93,2.93,0.76
22540,11.86,3.35,0.449,NA,13740,0.96,7.07,1.04,4.38,21020.9,-0.88,2.96,0.76
22950,1.33,3.45,0.133,0.07,13770,0.97,11.6,1.05,4.31,21189.8,-1.72,2.99,0.69
24090,2.53,3.55,0.169,NA,13810,0.98,11.81,1.06,4.48,21403,-0.88,3.04,0.76
25440,3.33,3.65,0.193,NA,13830,0.99,7.67,1.07,4.5,21529.2,-1.51,3.08,0.71
NA,NA,NA,NA,NA,13850,1,5.67,1.08,4.84,21737,-1.91,3.13,0.67
NA,NA,NA,NA,NA,13860,1.01,9.09,1.09,4.16,21861,-0.92,3.16,0.76
NA,NA,NA,NA,NA,13870,1.02,5.83,1.1,4.27,22025.6,-0.8,3.21,0.77
