depth (cm),age (yrBP),core (NA),error (yr),type (NA),material (NA)
53.5,1735,1A,20,AMS14C,bulk sediment
59.5,2270,1A,20,AMS14C,bulk sediment
69.5,3040,1A,20,AMS14C,bulk sediment
91.5,4430,1A,20,AMS14C,bulk sediment
105.5,5160,1A,20,AMS14C,bulk sediment
126.5,6640,1A,25,AMS14C,bulk sediment
172.5,8785,1A,25,AMS14C,bulk sediment
195,9235,1A,45,AMS14C,bulk sediment
240.5,9700,1A,35,AMS14C,bulk sediment
330,14200,1A,33,AMS14C,bulk sediment
13,1345,5A,45,AMS14C,bulk sediment
34,3545,5A,35,AMS14C,bulk sediment
60,4885,5A,25,AMS14C,bulk sediment
62,4955,5A,40,AMS14C,bulk sediment
119,7130,5A,160,AMS14C,bulk sediment
30.5,4110,3A,50,AMS14C,bulk sediment
37.5,4480,3A,40,AMS14C,bulk sediment
79.5,9460,3A,30,AMS14C,bulk sediment
