depth (m),age (BP),temperature (degC),temperature (degC),d18O (permil),planktic.d18O (permil),planktic.MgCa (mmol_mol),planktic.MgCa (mmol_mol),planktic.d18O (permil)
0.11,3390,NA,NA,2.61,-2.41,NA,NA,NA
0.2,3610,NA,NA,2.77,-2.56,NA,NA,NA
0.3,3860,NA,21.5,2.65,-2.68,NA,2.28,NA
0.4,4140,27.39,22.74,2.91,-2.46,4.47,2.53,-1.44
0.5,4440,NA,22.01,2.8,-2.04,NA,2.38,-1.42
0.6,4810,27.93,23.57,2.51,-2.56,4.69,2.74,-1.21
0.7,5390,27.78,22.22,2.65,-2.59,4.63,2.42,-1.42
0.8,6090,29.39,24.08,2.6,-2.52,5.35,2.87,-1.41
0.9,6850,27.49,22.88,2.64,-2.71,4.51,2.57,-1
1,7540,28.64,22.72,2.61,-2.44,5,2.53,-1.32
1.1,8190,28.11,22.65,2.54,-2.33,4.77,2.52,-1.37
1.12,8310,NA,23.01,2.51,-2.37,NA,2.6,-1.15
1.14,8430,28.34,23.51,2.85,-2.34,4.87,2.72,-1.26
1.16,8550,28.32,21.91,2.65,-2.36,4.86,2.36,-1.39
1.18,8670,28.71,21.95,2.69,-2.37,5.04,2.37,-1.3
1.2,8790,29.14,22.24,2.7,-2.26,5.38,2.43,-1.32
1.22,8900,28.48,23.47,2.71,-2.31,4.93,2.71,-1.15
1.24,9010,28.69,23.97,NA,NA,5.02,2.84,-1.11
1.26,9120,28.65,23.53,NA,-2.16,5.01,2.73,-1.28
1.28,9230,28.63,22.68,2.77,-2.26,5,2.52,-1.04
1.3,9340,28.56,23.32,2.86,-2.38,4.97,2.68,-1.19
1.32,9440,29.01,22.99,2.77,-2.36,5.17,2.6,-0.9
1.34,9550,29.4,23.11,NA,-2.55,5.36,2.62,-1.05
1.36,9660,28.9,23.18,2.75,-2.21,5.12,2.64,-1.26
1.38,9770,27.78,24.73,2.93,-2.17,4.63,3.04,-0.71
1.4,9880,28.84,22.71,2.94,-2.37,5.09,2.53,-0.86
1.42,9980,28.93,25.22,NA,-2.37,5.13,3.17,-1.06
1.44,10090,28.52,23.92,3.02,-2.06,4.95,2.82,-0.81
1.46,10200,27.8,23.12,2.88,-2.19,4.64,2.63,-1.12
1.48,10310,29.94,22.47,2.89,-2.33,5.62,2.48,-0.77
1.5,10410,28.37,24.42,3.04,-2.16,4.57,2.95,-0.81
1.52,10530,28.5,25.66,2.96,-2.36,4.94,3.3,-0.83
1.54,10660,28.96,24.9,NA,-2.21,5.15,3.09,NA
1.56,10790,28.63,25.32,2.98,-2.32,5,3.2,-1.26
1.58,10920,28.24,24.74,NA,-2.3,4.82,3.04,-0.81
1.6,11050,27.91,24.14,3.04,-2.05,4.68,2.88,-0.45
1.62,11180,27.86,24.55,3.05,-1.74,4.67,2.99,-0.42
1.64,11310,28.62,23.03,3.22,NA,4.99,2.61,-0.61
1.66,11440,28.55,22.4,3,-2.17,4.96,2.46,-0.28
1.68,11610,27.75,23.45,3.11,-1.93,4.62,2.71,-0.48
1.7,11780,28.1,23.23,3.09,-1.96,4.77,2.65,NA
1.72,11960,28.09,22.56,3.09,-1.71,4.76,2.5,-0.57
1.74,12140,27.75,23.6,3.06,NA,4.62,2.74,-0.58
1.76,12310,27.6,22.97,3.56,-1.64,4.56,2.59,-0.36
1.78,12490,28.53,23.11,3.33,-1.57,4.95,2.63,-0.8
1.8,12670,27.85,22.63,3.43,-1.8,4.66,2.52,-0.58
1.82,12840,27.48,21.99,3.14,-2.12,4.51,2.37,-0.67
1.84,13030,27.3,22.95,NA,-1.77,4.43,2.59,-0.29
1.86,13220,29.03,22.66,3.31,-1.88,5.18,2.52,-0.48
1.88,13410,27.41,22.31,3.36,-2.19,4.48,2.44,-0.36
1.9,13600,28.21,22.29,3.53,-1.77,4.81,2.44,-0.33
1.92,13790,28.48,23.64,3.42,-1.72,4.93,2.75,-0.57
1.94,13980,27.91,NA,3.4,-1.68,4.68,NA,NA
1.96,14160,28.44,NA,3.27,-1.93,4.91,NA,NA
1.98,14340,27.64,NA,3.59,-1.71,4.57,NA,NA
2,14490,28.17,21.57,3.49,-1.75,4.8,2.29,-0.34
2.1,15200,27.86,21.97,3.54,-1.7,4.66,2.37,-0.16
2.2,15760,26.77,22.79,3.71,-1.57,4.23,2.55,0.09
2.23,15910,26.89,NA,NA,-1.42,4.28,NA,NA
2.25,16010,26.58,NA,3.77,-1.4,4.16,NA,NA
2.27,16110,27.03,NA,4.21,-1.46,4.33,NA,NA
2.29,16210,27.19,NA,3.98,-1.47,4.39,NA,NA
2.3,16260,26.43,21.57,3.93,-1.44,4.1,2.29,-0.35
2.31,16300,26.71,NA,3.93,-1.42,4.21,NA,NA
2.33,16400,26.39,NA,NA,-1.37,4.09,NA,NA
2.35,16500,26.63,NA,3.84,-1.55,4.18,NA,NA
2.37,16590,26.76,NA,4.06,-1.36,4.22,NA,NA
2.39,16690,27.3,NA,4.11,-1.2,4.44,NA,NA
2.4,16740,26.51,21.48,3.93,-1.35,4.13,2.27,0.04
2.41,16790,26.49,NA,4.09,-1.38,4.12,NA,NA
2.43,16880,26.19,NA,4.06,-1.45,4.01,NA,NA
2.45,16980,26.07,NA,4.02,-1.05,3.97,NA,NA
2.47,17090,26.39,NA,4.04,-1.23,4.09,NA,NA
2.49,17200,26.48,NA,4.05,-1.43,4.12,NA,NA
2.5,17250,26.13,20.68,4.14,-1.26,3.99,2.11,0.27
2.51,17310,26.16,NA,4.15,-1.18,4,NA,NA
2.53,17420,27.2,NA,4.22,-1.13,4.4,NA,NA
2.55,17520,26.92,NA,4.18,-1.26,4.29,NA,NA
2.57,17630,25.53,NA,4.15,-1.06,3.78,NA,NA
2.59,17740,25.3,NA,4.21,-1.33,3.7,NA,NA
2.6,17800,26.31,21.38,4.04,-1.17,4.06,2.25,0.13
2.61,17860,NA,NA,4.11,-1.14,NA,NA,NA
2.62,17920,25.8,NA,NA,NA,3.87,NA,NA
2.63,17980,NA,NA,4.17,-1.35,NA,NA,NA
2.64,18040,26.5,NA,NA,NA,4.12,NA,NA
2.65,18110,NA,NA,4.17,-1.26,NA,NA,NA
2.66,18170,25.97,NA,NA,NA,3.93,NA,NA
2.67,18230,NA,NA,NA,-1.3,NA,NA,NA
2.68,18290,26.19,NA,NA,NA,4.01,NA,NA
2.69,18350,NA,NA,3.86,-1.19,NA,NA,NA
2.7,18420,26.44,21.71,4.1,-0.96,4.1,2.31,-0.04
2.71,18480,NA,NA,3.98,-1.08,NA,NA,NA
2.715,18510,NA,21.27,NA,NA,NA,2.22,0.04
2.72,18540,26.19,NA,NA,NA,4.01,NA,NA
2.73,18600,NA,NA,4.03,-0.97,NA,NA,NA
2.735,18630,NA,21.4,NA,NA,NA,2.25,0.12
2.74,18660,25.55,NA,NA,NA,3.79,NA,NA
2.75,18730,NA,NA,4.14,-1.16,NA,NA,NA
2.755,18760,NA,23.91,NA,NA,NA,2.82,-0.35
2.76,18790,25.83,NA,NA,NA,3.88,NA,NA
2.77,18870,NA,23.77,4.15,-1.13,NA,2.79,NA
2.78,18940,25.74,NA,NA,NA,3.85,NA,NA
2.785,18970,26.39,22.05,NA,NA,4.09,2.39,-0.28
2.79,19010,NA,NA,4.14,-1.08,NA,NA,NA
2.8,19080,26.54,NA,4.08,-1.2,4.14,NA,NA
2.81,19150,NA,22.23,4.12,-0.98,NA,2.43,-0.33
2.815,19190,26.49,22.81,NA,NA,4.13,2.55,-0.01
2.82,19220,26.14,NA,NA,NA,4,NA,NA
2.83,19290,NA,NA,4.09,-1.16,NA,NA,NA
