depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
1296,-32,21.429,-14.429,4.855,493.714
1304,-16,21.686,-13.757,5.218,523.714
1312,1,21.686,-13.9,5.186,518.714
1320,18,21.543,-13.743,5.1,506.714
1324,26,21.643,-13.8,5.173,518.429
1328,35,21.3,-14.029,4.836,486
1332,43,21.629,-13.971,5.058,497.429
1336,51,21.414,-14.471,4.717,478.429
1340,60,21.486,-14.314,4.854,490.571
1344,78,21.286,-14.786,4.594,475.286
1348,97,21.229,-14.771,4.546,477.857
1352,116,20.871,-15.571,4.121,455.714
1356,134,21.129,-15,4.46,475
1360,153,21.057,-14.971,4.355,484
1368,190,20.886,-14.757,4.261,445
1376,227,20.671,-15.757,3.877,469.857
1384,265,20.971,-15.271,4.221,454.429
1392,302,21.071,-14.457,4.489,463
1400,339,20.8,-15.529,4.037,466.714
1408,376,20.857,-15.571,4.06,462.143
1416,413,21.143,-14.986,4.468,475.286
1424.3,452,20.986,-15.029,4.286,459.286
1432.8,491,20.743,-15.586,4.089,475.143
1441.3,519,20.8,-15.529,4.037,466.714
1449.8,547,21.171,-14.571,4.536,466.857
1458.3,575,21.1,-14.9,4.43,476.286
1466.8,603,21.257,-14.6,4.623,473.571
1475.3,631,20.871,-15.186,4.181,456.714
1483.8,659,20.671,-14.414,4.21,436.857
1492.3,687,20.871,-15.186,4.181,456.714
1500.8,716,20.814,-15.543,4.027,465.143
1509.4,744,20.686,-14.986,4.081,460.714
1517.9,775,20.457,-15.729,3.711,455.857
1520,785,20.229,-16.029,3.489,450
1528,824,20.457,-15.729,3.711,455.857
1536,863,20.871,-15.243,4.135,461.286
1544,901,20.786,-14.7,4.242,453
1552,940,20.7,-15.743,3.896,470.571
1560,979,20.886,-14.971,4.22,467
1568,1045,21.071,-14.771,4.423,462.714
1576,1147,20.743,-15.714,3.95,460.571
1584,1249,21.043,-14.9,4.412,490.286
1592,1350,20.914,-14.714,4.317,456.857
1600,1452,21.2,-14.714,4.523,478.143
1608,1554,20.329,-15.6,3.66,443.286
1616,1656,21.4,-14.271,4.777,480
1624.2,1760,21.171,-14.571,4.536,466.857
1632.5,1866,21.229,-14.771,4.546,477.857
