depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
350,Carbon-14,110378,70,2840,bulk sediment,Date Beta-48606 (27480Â±640) rejected as too young (see Worona and Whitlock 1995).
550,Carbon-14,110379,70,4260,bulk sediment,NA
880,Carbon-14,110380,80,8270,bulk sediment,NA
1040,Carbon-14,110381,80,10790,bulk sediment,NA
1170,Carbon-14,110382,140,12720,bulk sediment,NA
1240,Carbon-14,110383,390,13640,bulk sediment,NA
1330,Carbon-14,110384,230,15920,bulk sediment,NA
1430,Carbon-14,110385,280,18750,bulk sediment,NA
1540,Carbon-14,110386,640,22280,bulk sediment,NA
1645,Carbon-14,110387,470,28090,bulk sediment,NA
1747,Carbon-14,110388,750,36300,bulk sediment,NA
1763,Carbon-14,110389,NA,39670,wood,NA
1813,Carbon-14,110390,640,27480,bulk sediment,NA
