age (BP),depth (cm),temperature (degC),salinity (psu),Sea_Ice_months (months/year),Sea_Ice_conc (0-10),productivity (gcm2),C (missing),age (BP),temperature (degC)
1968.1,0,10.714,33.882,0.553,0.436,236.697,1,1968.1,7.597
2072.4,4,6.705,33.855,1.884,1.472,166.829,NA,2072.4,5.156
2176.7,10,7.718,33.586,0.883,0.776,198.552,1,2176.7,5.162
2643,13,13.028,31.013,2.152,1.707,270.242,2,2643,6.666
2746.2,15,6.229,34.496,0.299,0.359,163.115,2,2746.2,4.541
2848.9,17,5.419,34.067,0.604,0.569,197.318,2,2848.9,3.349
2951.5,19,7.708,34.497,0.163,0.125,195.005,2,2951.5,5.623
3002.8,20,7.876,34.759,0.152,0.163,188.598,2,3002.8,6.013
3053.9,21,3.992,32.911,3.559,2.847,164.676,2,3053.9,2.516
3156,23,4.344,33.814,2.015,1.77,187.531,2,3156,2.911
3258,25,6.954,34.049,0.867,0.755,209.942,2,3258,4.854
3511.8,30,7.072,34.429,0.167,0.192,189.804,2,3511.8,4.987
3562.4,31,9.357,33.811,0.59,0.519,214.026,2,3562.4,5.852
3764.2,35,4.431,33.07,4.212,3.296,149.425,2,3764.2,2.476
4015.3,40,9.263,34.931,0.081,0.118,207.778,2,4015.3,7.444
4065.3,41,7.639,34.47,0.169,0.129,193.961,2,4065.3,5.551
4264.9,45,7.501,34.545,0.134,0.159,196.271,2,4264.9,5.735
4513.2,50,7.387,34.381,0.261,0.2,180.671,2,4513.2,5.541
4562.7,51,8.751,33.92,0.668,0.647,192.112,2,4562.7,6.178
4760,55,6.184,34.208,1.641,1.366,161.962,2,4760,4.96
5005.5,60,6.486,34.339,0.318,0.293,167.454,2,5005.5,4.868
5249.6,65,6.974,33.932,1.795,1.408,170.741,2,5249.6,4.704
5492.3,70,6.222,34.116,0.476,0.433,179.663,2,5492.3,4.531
5781.8,76,6.864,34.156,1.338,1.124,194.466,2,5781.8,4.946
5973.6,80,8.51,34.839,0.14,0.159,208.263,2,5973.6,6.808
6259.7,86,5.761,34.406,0.61,0.683,203.059,2,6259.7,4.352
6449.3,90,8.077,34.504,0.577,0.448,197.547,2,6449.3,5.932
6637.9,94,6.351,34.295,0.266,0.268,178.486,2,6637.9,4.598
6919.4,100,12.571,33.55,0.609,0.481,241.683,2,6919.4,8.733
6966.2,101,5.351,31.935,5.715,4.561,119.269,2,6966.2,2.611
7105.8,110,19.898,33.415,0.018,0.018,310.151,2,7105.8,14.033
7291.4,104,10.647,32.277,1.579,1.253,233.195,2,7291.4,5.478
7384,108,15.463,30.619,2.161,1.711,315.845,2,7384,8.533
7522.2,113,4.437,34.085,3.138,2.497,171.008,2,7522.2,2.869
7705.9,117,4.426,32.144,5.32,4.241,116.463,2,7705.9,1.98
7843,120,14.607,32.888,0.414,0.324,271.91,2,7843,9.61
7888.7,121,4.743,33.727,0.739,0.797,220.836,2,7888.7,2.775
7979.6,123,8.014,31.164,2.724,2.16,233.051,3,7979.6,3.749
8070.4,125,5.928,34.148,0.629,0.649,221.271,2,8070.4,3.888
8115.8,126,4.874,32.872,4.774,3.857,141.745,3,8115.8,2.087
8296.5,130,16.478,31.984,1.789,1.403,274.161,2,8296.5,10.727
NA,131,3.998,33.207,2.741,2.34,187.156,2,NA,NA
NA,134,6.26,33.975,0.704,0.602,207.702,3,NA,NA
NA,140,6.347,33.847,1.368,1.136,185.53,2,NA,NA
NA,145,9.321,31.619,2.156,1.814,281.448,3,NA,NA
NA,150,7.274,32.973,2.429,1.932,172.768,2,NA,NA
NA,154,6.347,34.259,0.404,0.38,211.052,2,NA,NA
NA,160,9.445,31.234,3.332,2.62,223.998,3,NA,NA
NA,162,5.156,34.15,0.659,0.693,225.256,2,NA,NA
NA,164,6.313,34.142,1.128,0.89,174.285,2,NA,NA
NA,170,9.096,33.37,2.055,1.61,181.167,2,NA,NA
NA,174,6.094,34.239,0.57,0.611,235.849,2,NA,NA
NA,180,7.946,31.215,3.082,2.45,236.002,2,NA,NA
NA,181,5.947,34.038,0.649,0.671,188.813,2,NA,NA
NA,190,14.82,31.855,0.831,0.652,268.052,2,NA,NA
NA,193,9.344,33.859,0.932,0.807,201.936,2,NA,NA
NA,200,7.331,32.709,2.437,1.931,170.685,2,NA,NA
NA,210,11.69,32.11,2.226,1.743,220.886,2,NA,NA
NA,228,7.769,31.884,2.93,2.327,204.666,3,NA,NA
NA,255,1.66,31.943,8.216,6.508,106.693,2,NA,NA
NA,280,2.194,31.559,8.034,6.19,106.34,2,NA,NA
NA,298,0.567,32.814,9.733,7.67,89.179,2,NA,NA
NA,310,0.289,31.534,10.151,8.084,84.99,2,NA,NA
NA,340,-0.566,31.276,11.045,8.676,69.066,3,NA,NA
