depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
365,Carbon-14,108235,40,5310,fine-detritus gyttja,NA
565,Carbon-14,108236,40,8220,clay gyttja,NA
631,Carbon-14,108237,40,9340,clay gyttja,NA
685,Carbon-14,108238,80,10730,silty clay,NA
875,Carbon-14,108239,220,14160,silty clay,NA
935,Carbon-14,108240,220,14850,silty clay,NA
995,Carbon-14,108241,250,15650,silty clay,NA
1085,Carbon-14,108242,240,15640,silty clay,NA
1158,Carbon-14,108243,220,14840,silty clay,NA
1335,Carbon-14,108244,350,17300,silty clay,NA
1545,Carbon-14,108245,400,20200,sand and gravel,NA
