depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
285,Carbon-14,111094,80,3670,gyttja,NA
425,Carbon-14,111095,100,5210,gyttja,NA
603,Carbon-14,111096,160,9670,gyttja,NA
808,Carbon-14,111097,160,10460,wood,NA
808,Carbon-14,111098,160,10700,gyttja,NA
