age (BP),temperature (degC),dD (permil)
103,4.87,-111.585
316,5.06,-124.51
529,5.28,-116.1
742,6.756,-118.296
934,7.229,NA
1146,5.007,-115.64
1359,2.434,-124.943
1572,4.156,NA
1785,5.057,NA
1998,5.391,-116.975
2211,3.965,-125.056
2424,3.003,-113.514
2637,3.269,-116.145
2807,3.199,NA
3148,3.133,-122.45
3361,3.238,-148.664
3574,7.786,-120.037
4227,5.819,-116.615
4784,7.187,-112.518
5340,5.539,-98.72
5897,4.41,-99.41
6453,4.793,-83.516
7065,5.004,-98.416
7733,4.141,-93.943
8289,4.809,NA
8827,6.398,-128.998
8941,8.23,-128.838
9056,3.6,-117.419
9177,6.096,-138.125
9291,4.723,-119.004
9587,5.867,NA
10119,5.075,-119.961
10451,2.754,-125.536
10617,4.097,-137.462
10783,5.001,-131.332
11116,4.428,-146.593
