depth (m),age (BP),temperature (degC),temperature (degC),temperature (degC),depth (m),age (BP),temperature (degC),depth (m),age (BP),planktic.d13C (permil),planktic.d18O (permil)
0.01,1100,18.4,18.3,22.3,0.01,1100,17.3,0.01,1100,-0.52,0.44
0.025,1200,18.1,17.9,23.1,0.05,1300,17.9,0.025,1200,NA,NA
0.05,1300,18.4,20.4,20.2,0.1,1600,18.1,0.05,1300,-0.16,0.51
0.1,1600,18.5,17.9,24.1,0.15,1800,18.2,0.1,1600,-0.09,0.61
0.15,1800,18.9,20.1,22.2,0.2,2100,17.8,0.15,1800,-0.03,0.53
0.2,2100,18.6,18.4,23.2,0.3,2700,18,0.2,2100,-0.28,0.43
0.3,2700,18.6,18.6,23.3,0.4,3300,18.5,0.3,2700,-0.07,0.65
0.4,3300,18.7,18.4,23.9,0.5,3900,17.7,0.4,3300,0.21,0.78
0.5,3900,19.1,19,23.6,0.55,4200,17.8,0.5,3900,-0.51,0.53
0.55,4200,19.6,20,23.1,0.6,4500,18.2,0.55,4200,-0.16,0.68
0.6,4500,20.4,19.2,23.1,0.65,4800,18.2,0.6,4500,-0.38,0.75
0.65,4800,19.9,18.9,22.5,0.7,5100,18.6,0.65,4800,-0.39,0.49
0.7,5100,19.8,19.4,22.7,0.75,5400,18.4,0.7,5100,-0.16,0.65
0.71,5200,19.6,19,22.9,0.8,6500,18.3,0.71,5200,NA,NA
0.76,5400,19.4,19.7,22.3,0.85,7600,18.4,0.76,5400,-0.13,0.71
0.8,6500,19.6,19.7,23.3,0.9,8800,17.1,0.8,6500,0,0.65
0.82,7000,19.7,20.2,22.2,0.95,9900,18.3,0.82,7000,NA,NA
0.85,7600,19.6,19.6,22.2,1,11000,18.1,0.85,7600,-0.34,0.56
0.9,8800,19.6,19.4,22.5,1.05,11400,17.5,0.9,8800,-0.07,1.12
0.92,9500,19.1,19.6,20.4,1.1,11800,16.6,0.92,9500,-0.3,0.79
0.95,9900,18.9,19.1,19.7,1.15,12300,17.6,0.95,9900,-0.43,0.99
1,11000,18.4,20,19.9,1.2,12700,17.3,1,11000,NA,NA
1.03,11400,18.2,19.9,15.3,1.25,13100,16.9,1.03,11400,-0.6,1.05
1.1,11800,17.8,19.1,19.4,1.3,13500,16.1,1.1,11800,-0.75,0.96
1.15,12300,17.5,20.3,16.7,1.35,13900,16.5,1.15,12300,-1.03,1.21
1.2,12700,16.6,16.7,17.5,1.4,14300,17.2,1.2,12700,-1.26,1.27
1.25,13100,16.4,18.1,17.1,1.45,14900,17.3,1.25,13100,-0.82,1.38
1.3,13500,16.1,16.5,17.9,1.5,15600,18,1.3,13500,-0.94,1.23
1.35,13900,16.1,17.3,17.5,1.55,16200,18.3,1.35,13900,-0.92,1.42
1.4,14300,16.1,17,17.6,1.6,16900,18.3,1.4,14300,-1.09,1.39
1.45,14900,15.8,17.3,17.4,1.65,17600,18.7,1.45,14900,-0.65,1.79
1.5,15600,16,17.1,18.5,1.7,17700,15.1,1.5,15600,-0.7,2.05
