year (AD),age (BP),depth (cm),sand (percent),d0x2800x2E10x29 (missing),d0x2800x2E50x29 (missing),d0x2800x2E90x29 (missing),x00x2E020xB5m0x2D30x2E890xB5m (missing),x30x2E900xB5m0x2D70x2E790xB5m (missing),x70x2E800xB5m0x2D150x2E590xB5m (missing),x150x2E600xB5m0x2D300x2E990xB5m (missing),x310x2E000xB5m0x2D620x2E490xB5m (missing),x620x2E500xB5m0x2D1240x2E990xB5m (missing),x1250x2E000xB5m0x2D2490x2E990xB5m (missing),x2500x2E000xB5m0x2D4990x2E990xB5m (missing),x5000x2E000xB5m0x2D10000x2E000xB5m (missing),x10000x2E010xB5m0x2D20000x2E000xB5m (missing),Mode (missing),Clay (missing),Silt (missing)
1950.99,-0.99,60.5,9.55,1.77,9.92,60.24,24.62,18.14,20.47,16.25,10.85,5.63,1.92,1.63,0.37,0,10.47,24.62,65.7
1950.16,-0.16,61.5,4.15,1.71,9.13,38.76,25.7,19.21,22.45,18.38,9.98,3.2,0.41,0.46,0.08,0,11.52,25.7,70.01
1949.34,0.66,62.5,5.03,1.6,9.79,42.65,25.73,17.4,21.53,19.05,11.14,3.67,0.47,0.68,0.21,0,13.17,25.73,69.12
1948.51,1.49,63.5,2.91,1.42,7.08,33.44,32.17,20.7,20.52,15.23,8.33,2.68,0.24,0,0,0,7.84,32.17,64.79
1947.68,2.32,64.5,4,1.51,7.39,37.25,31.18,20.33,19.83,15.48,9.05,3.29,0.63,0.08,0,0,7.07,31.18,64.68
1946.85,3.15,65.5,2.5,1.47,7.1,31.69,31.58,21.31,21.3,15.32,7.86,2.36,0.13,0,0,0,8.05,31.58,65.79
1946.02,3.98,66.5,1.77,1.51,7.37,29.09,30.45,21.33,22.71,16.48,7.12,1.61,0.15,0.02,0,0,9.6,30.45,67.64
1945.2,4.8,67.5,3.52,1.53,7.63,35.4,29.81,20.77,21.57,15.6,8.6,3.18,0.34,0,0,0,8.99,29.81,66.54
1944.37,5.63,68.5,2.39,1.61,7.63,29.93,29.55,21.07,22.75,17.11,7,1.73,0.55,0.1,0,0,10.57,29.55,67.93
1943.54,6.46,69.5,1.42,1.45,5.8,23.61,35.92,24.4,21.01,12.28,4.83,1.3,0.12,0,0,0,5.53,35.92,62.51
1942.71,7.29,70.5,1.92,1.08,4.61,23.14,44.44,21.72,17.12,10,4.66,1.78,0.15,0,0,0,3.82,44.44,53.5
1941.06,8.94,72.5,23.32,2.37,17.99,123.88,17.08,13.57,15.95,15.5,14.48,13.47,8.34,1.51,0,0,13.44,17.08,59.5
1940.23,9.77,73.5,4.78,1.46,7.69,38.99,30.33,19.99,20.44,15.49,8.84,3.55,1.02,0.21,0,0,8.47,30.33,64.75
1939.4,10.6,74.5,2.61,1.36,5.79,30.42,37.17,21.93,18.39,12.64,7.12,2.35,0.24,0.02,0,0,4.51,37.17,60.08
1938.57,11.43,75.5,3.65,1.55,8.17,36.72,28.46,20.01,21.43,16.97,9.35,3.15,0.49,0.02,0,0,9.59,28.46,67.76
1937.74,12.26,76.5,2.82,1.71,8.45,33.06,26.58,20.64,23.3,18.16,8.36,2.35,0.39,0.08,0,0,10.79,26.58,70.46
1936.91,13.09,77.5,2.48,1.48,6.86,29.73,32.41,21.67,21.56,14.87,6.87,2.24,0.24,0,0,0,8.08,32.41,64.97
1936.09,13.91,78.5,4.06,1.57,7.48,33.5,29.66,21.61,22.27,15.17,7.09,2.52,1.22,0.33,0,0,8.62,29.66,66.14
1935.26,14.74,79.5,3.05,1.48,7.48,32.06,30.36,20.92,22.5,15.57,7.47,2.54,0.28,0.19,0.04,0,9.49,30.36,66.45
1934.43,15.57,80.5,2.83,1.67,8.28,34.43,27.33,20.58,22.74,17.33,9.06,2.66,0.17,0,0,0,10.04,27.33,69.7
1933.6,16.4,81.5,2.16,1.62,7.66,30.5,29.21,21.29,22.93,16.72,7.56,2.05,0.11,0,0,0,9.88,29.21,68.49
1932.77,17.23,82.5,2.77,1.63,7.89,33.12,28.69,20.82,22.47,16.75,8.36,2.61,0.16,0,0,0,10.01,28.69,68.41
1931.95,18.05,83.5,2.2,1.56,6.4,25.65,32.82,24.07,22.26,13.37,5.13,1.55,0.43,0.23,0,0,6.69,32.82,64.83
1931.12,18.88,84.5,5.67,1.7,9.23,46.33,25.17,19.49,21.1,16.79,11.66,5.33,0.34,0,0,0,9.17,25.17,69.03
1930.29,19.71,85.5,30.41,2.73,25.63,145.59,14.07,10.69,14.12,15.23,15.4,16.98,11.75,1.68,0,0,94.77,14.07,55.44
1929.46,20.54,86.5,16.76,2,14.39,90.49,19.45,14.52,18.11,16.98,14.08,11.59,4.61,0.54,0.02,0,13.69,19.45,63.69
1928.63,21.37,87.5,5.86,1.68,10.03,43.45,23.55,18,23.92,18.93,9.62,4.71,0.98,0.15,0.02,0,12.34,23.55,70.47
1927.81,22.19,88.5,19.65,1.51,11.54,99.66,26.38,15.12,14.43,11.85,12.47,13.65,5.46,0.52,0.01,0,6.62,26.38,53.86
1926.98,23.02,89.5,4.31,1.54,8.59,37.61,28.04,18.98,21.38,18.03,9.14,3.24,0.78,0.29,0,0,12.27,28.04,67.52
1926.15,23.85,90.5,6.35,1.32,8.37,48.24,30.2,17.82,18.27,15.65,11.6,5.28,0.81,0.26,0,0,8.63,30.2,63.33
1925.32,24.68,91.5,14.87,1.63,11.56,92.47,24.11,15.67,18,16.02,11.22,8.22,5.29,1.32,0.03,0,12.37,24.11,60.91
1924.49,25.51,92.5,5.58,1.98,12.8,49.7,20.72,15.77,19.22,21.39,17.21,5.39,0.19,0,0,0,23.79,20.72,73.58
1923.66,26.34,93.5,4.46,1.61,10.32,44.48,25.71,16.8,18.96,19.87,14.09,4.26,0.21,0,0,0,20.02,25.71,69.71
1922.84,27.16,94.5,1.92,0.96,3.78,18.37,51.01,22.12,14.52,6.89,3.41,1.81,0.11,0,0,0,3.34,51.01,46.94
1922.01,27.99,95.5,12.51,2.2,15.63,72.17,17.46,13.22,19.16,21.15,16.39,9.31,2.63,0.45,0.12,0,18.98,17.46,69.93
1921.18,28.82,96.5,38.9,2.86,39.47,152.13,13.03,9.01,11.66,11.79,15.54,23.19,14.07,1.65,0,0,95.25,13.03,48
1920.35,29.65,97.5,6.82,2.13,13.95,51.65,18.26,14.26,21.26,23.62,15.67,5.84,0.67,0.22,0.09,0,18.68,18.26,74.81
1919.52,30.48,98.5,4.19,1.7,10.77,42.33,23.38,16.77,21.99,20.9,12.65,4.02,0.17,0,0,0,14.97,23.38,72.31
1918.7,31.3,99.5,2.83,2.3,13.86,41.69,17.72,14.75,21.75,26.6,16.24,2.53,0.06,0.16,0.07,0,21.44,17.72,79.34
1917.87,32.13,100.5,4.06,1.38,6.5,37.02,33.65,22.07,19.23,12.47,8.38,3.83,0.23,0,0,0,5.97,33.65,62.16
1917.04,32.96,101.5,6.51,1.65,9.11,46.54,25.79,19.33,21.13,16.92,10.19,4.84,1.58,0.09,0,0,9.7,25.79,67.57
1916.21,33.79,102.5,2.88,1.66,7.19,31.66,28.98,23.85,22.69,14.03,7.42,2.81,0.07,0,0,0,7.28,28.98,67.99
1915.38,34.62,103.5,5.55,1.73,7.74,40.35,27.64,22.49,21.95,14.27,7.96,4.07,1.32,0.16,0,0,7.55,27.64,66.67
1914.56,35.44,104.5,3.55,1.7,6.74,31.48,30.4,24.82,21.68,12.75,6.65,2.89,0.64,0.02,0,0,6.34,30.4,65.9
1913.73,36.27,105.5,5.5,1.23,5.46,39.91,39.55,20.38,15.56,11.18,7.69,3.94,1.4,0.16,0,0,3.8,39.55,54.82
1912.9,37.1,106.5,0.25,2.26,6.64,15.87,24.85,33.72,30.77,9.45,0.78,0.25,0,0,0,0,7.43,24.85,74.72
1912.07,37.93,107.5,10.48,2.8,15.1,64.31,14.61,14.91,21.49,22.15,16.25,7.82,2.02,0.64,0.01,0,16.93,14.61,74.8
1911.24,38.76,108.5,5.86,3.17,13.97,47.38,12.86,15.68,25.9,25.42,14.17,4.79,0.76,0.3,0,0,15.55,12.86,81.17
1910.41,39.59,109.5,14.45,3.44,17.21,82.97,11.55,13.19,21.7,23.03,15.99,9.24,4,1.17,0.04,0,17.16,11.55,73.9
1908.62,41.38,110.5,28.72,3.17,24.01,145.23,12.22,10.83,16.07,16.82,15.26,15.65,10.78,2.28,0.01,0,16.91,12.22,58.98
1905.87,44.13,111.5,4.16,1.27,5.99,34.75,36.65,21.24,18.33,12.16,7.32,3.47,0.7,0,0,0,5.2,36.65,59.05
1903.12,46.88,112.5,4.32,1.9,10.77,42.06,21.7,17.85,22.9,20.81,12.29,3.73,0.56,0.03,0,0,13.63,21.7,73.85
1900.37,49.63,113.5,4.1,3.4,13.58,43.9,12.06,17.12,26.33,25.35,14.92,4.09,0.01,0,0,0,15.04,12.06,83.72
1897.62,52.38,114.5,22.47,2.01,17.73,124.83,19.91,13.13,14.18,14.78,15.44,12.49,6.65,3.05,0.28,0,39.22,19.91,57.53
1894.87,55.13,115.5,5.02,1.55,8.75,40.9,27.62,18.85,21.06,17.53,9.79,3.96,1.03,0.03,0,0,11.54,27.62,67.23
1892.12,57.88,116.5,11.89,1.49,8.09,76.75,30.37,18.57,16.72,13.05,9.28,5.33,3.88,2.54,0.14,0,5.53,30.37,57.62
1889.37,60.63,117.5,8.36,1.46,7.32,50.51,31.85,19.87,19.03,13.67,7.1,4.09,2.6,1.52,0.15,0,6.75,31.85,59.66
1886.62,63.38,118.5,8.22,2.77,14.26,56.1,15.51,16.06,21.3,22.58,16.22,6.14,1.26,0.73,0.1,0,19.32,15.51,76.15
1883.87,66.13,119.5,17.12,2.67,15.55,107.15,15.24,14.62,20.13,18.78,14,8.57,4.43,3.38,0.74,0,13.5,15.24,67.54
1881.12,68.88,120.5,13.09,2.84,16.8,80.18,14.52,13.68,19.27,23.13,16.21,6.64,3.35,2.52,0.59,0,21.63,14.52,72.28
1878.37,71.63,121.5,1.7,1.06,3.79,19.26,50.99,22.32,13.82,7.17,3.86,1.6,0.1,0,0,0,3.17,50.99,47.17
1875.62,74.38,122.5,0,1.35,3.45,8.6,56.65,30.56,10.91,1.6,0.09,0,0,0,0,0,3.45,56.65,43.16
1872.87,77.13,123.5,0.01,1.67,4.93,13.28,38.49,33.25,21.4,5.99,0.68,0.01,0,0,0,0,5.17,38.49,61.32
1870.12,79.88,124.5,2.11,2.2,8.97,29.84,21.31,22.97,27.64,18.63,7.21,1.94,0.17,0,0,0,10.11,21.31,76.43
1867.37,82.63,125.5,3.91,2.38,11.86,40.1,18.29,17.42,24.6,23.67,11.99,3.37,0.55,0,0,0,15.64,18.29,77.68
1864.62,85.38,126.5,7.32,2.05,11.35,51.17,20.39,17.38,22.93,19.85,12.02,5.45,1.47,0.4,0,0,12.89,20.39,72.17
1861.87,88.13,127.5,3.59,1.54,9.01,36.99,27.28,18.26,21.95,19.01,9.79,3.14,0.46,0,0,0,13.32,27.28,69
1859.12,90.88,128.5,7.25,1.7,11.07,52,24.13,16.15,19.74,19.19,13.43,5.61,0.94,0.61,0.09,0,15.29,24.13,68.51
1856.37,93.63,129.5,4.14,1.74,10.86,42.45,24.12,16.46,20.72,21.32,13.14,3.92,0.22,0,0,0,17.39,24.12,71.63
1853.62,96.38,130.5,3.76,2.43,14.12,44.3,17.2,14.9,21.35,25.87,16.8,3.66,0.09,0.01,0,0,21.43,17.2,78.93
1850.87,99.13,131.5,2.67,2.33,12.23,37.9,17.93,16.68,24.8,25.26,12.54,2.44,0.22,0,0,0,16.73,17.93,79.28
1848.12,101.88,132.5,2.83,2.66,13.16,39.56,16.07,16.37,24.11,26.55,13.95,2.69,0.15,0,0,0,18.56,16.07,80.97
1845.37,104.63,133.5,1.98,2.53,11.82,35.36,17.19,17.98,25.9,25.41,11.42,1.9,0.08,0,0,0,16.2,17.19,80.71
1842.62,107.38,134.5,2.24,2.75,13.48,38.25,15.32,15.76,24.85,27.88,13.83,2.24,0,0,0,0,18.47,15.32,82.32
1839.87,110.13,135.5,2.44,2.75,12.53,37.52,15.66,17.33,25.82,26.02,12.6,2.39,0.06,0,0,0,16.59,15.66,81.77
1837.12,112.88,136.5,6.13,3.26,14.69,46.06,12.41,14.24,25.89,27.85,13.37,3.66,1.28,0.98,0.2,0,17.12,12.41,81.35
1834.37,115.63,137.5,2.45,2.58,10.56,31.46,16.98,20.36,29.86,22.37,7.84,2.13,0.31,0,0,0,12.39,16.98,80.44
1831.62,118.38,138.5,3.59,1.71,8.65,37.86,26.64,20.01,21.62,17.83,10.19,3.24,0.28,0.08,0,0,10.2,26.64,69.63
1828.87,121.13,139.5,4.68,2.16,10.96,41.68,19.77,18.43,24.6,21.15,11.24,4.31,0.37,0,0,0,13.11,19.77,75.42
1826.12,123.88,140.5,4.63,2.29,11.39,41.09,18.93,17.97,24.75,22.31,11.29,3.66,0.97,0,0,0,14.22,18.93,76.32
1823.37,126.63,141.5,6.19,2.26,11.79,47.27,18.99,17.47,23.22,21.56,12.45,5.48,0.71,0,0,0,14.56,18.99,74.7
1779.3,170.7,152.5,3.37,1.56,8.63,38.49,27.32,19.52,20.68,17.99,10.99,3.24,0.13,0,0,0,9.33,27.32,69.18
1768.95,181.05,153.5,4.98,1.56,8.69,43.68,27.46,19.3,19.73,16.88,11.53,4.52,0.44,0.01,0,0,8.03,27.46,67.44
1758.6,191.4,154.5,5.31,1.6,9.23,45.92,26.59,18.62,18.98,17.58,12.79,4.96,0.34,0,0,0,7.56,26.59,67.98
1748.25,201.75,155.5,4.61,1.13,6.89,38.45,33.76,19.76,19.1,14.09,8.55,3.69,0.93,0,0,0,7.06,33.76,61.5
1737.9,212.1,156.5,4.46,1.24,6.85,36.74,33.64,20.11,19.32,14.27,8.07,3.41,1.05,0,0,0,7.04,33.64,61.77
1727.55,222.45,157.5,2.78,1.52,7.78,34.14,28.69,21.27,21.49,16.65,8.98,2.33,0.43,0.02,0,0,7.79,28.69,68.39
1717.2,232.8,158.5,3.64,1.92,10.1,40.93,22.61,19.11,22.11,19.86,12.54,3.45,0.18,0.01,0,0,11.7,22.61,73.62
1706.85,243.15,159.5,1.71,2.35,9.37,31.02,20.03,22.7,26.96,20.15,8.3,1.25,0.3,0.16,0,0,10.24,20.03,78.12
1696.49,253.51,160.5,2.28,2.88,10.9,32.8,15.42,20.81,29.15,23.25,8.96,1.71,0.5,0.06,0,0,12.58,15.42,82.16
1686.14,263.86,161.5,2.51,1.52,6.41,27.29,32.31,24.76,21.82,12.66,5.79,2.11,0.4,0,0,0,6.35,32.31,65.03
1675.79,274.21,162.5,28.91,1.89,19.9,170.81,23.13,13.74,9.96,9.6,14.57,14.62,7.93,5.03,1.33,0,65.28,23.13,47.87
1665.44,284.56,163.5,14.25,1.79,8.51,84,27.57,19.96,16.39,11.44,10.27,9.12,4.16,0.96,0.01,0,5.19,27.57,58.05
1655.09,294.91,164.5,17.88,2.35,14.07,95.72,18.4,15.9,18.31,16.08,13.32,12.17,5.33,0.37,0,0,11.59,18.4,63.62
1644.74,305.26,165.5,8.43,2.82,12.51,55.18,14.6,17.48,26.52,21.45,11.41,6.43,1.68,0.3,0.03,0,12.59,14.6,76.85
1634.39,315.61,166.5,2.83,2.38,12.72,38.4,17.4,15.92,24.77,26.16,12.81,2.68,0.14,0,0,0,17.24,17.4,79.66
1624.04,325.96,167.5,2.35,1.57,7.65,29.8,27.54,23.09,24.67,15.15,7.04,2.12,0.23,0.01,0,0,8.68,27.54,69.96
1613.69,336.31,168.5,12.91,2.4,23.37,69.65,14.66,8.48,13.83,23.99,26.06,11.48,1.2,0.19,0.04,0,33.88,14.66,72.35
1603.34,346.66,169.5,1.58,2.42,8.57,22.33,19.7,25.69,32.95,16.83,3.09,1.27,0.32,0,0,0,10.12,19.7,78.55
1592.98,357.02,170.5,1.69,1.47,7.23,30.72,31.61,20.62,20.79,17.02,8.14,1.51,0.15,0.03,0,0,8.08,31.61,66.57
1582.63,367.37,171.5,2.83,2.39,11.02,38.12,19.1,19.15,24.13,22.54,12.13,2.54,0.12,0.15,0.01,0,14.71,19.1,77.94
1572.28,377.72,172.5,3.7,1.61,8.12,33.01,27.72,20.8,23.83,16.55,7.27,2.81,0.77,0.11,0,0,10.3,27.72,68.45
1561.93,388.07,173.5,7.33,2.39,12.19,53.32,18.63,17.73,21.13,19.94,15.11,6.09,1.18,0.07,0,0,12.38,18.63,73.92
1551.58,398.42,174.5,7.64,2.87,16.61,55.32,14.45,13.77,19.56,24.99,19.48,6.24,0.82,0.53,0.05,0,24.61,14.45,77.81
1541.23,408.77,175.5,6.15,3,14.83,48.62,13.7,14.68,23.5,26.42,15.43,4.82,0.86,0.44,0.04,0,18.72,13.7,80.04
1530.88,419.12,176.5,6.46,2.5,13.15,49,17.54,16.24,22.07,23.4,14.16,4.8,0.91,0.59,0.16,0,17.98,17.54,75.88
1520.53,429.47,177.5,0.44,2.2,7.03,20.39,24.82,29.92,28.15,13.26,3.24,0.44,0,0,0,0,7.35,24.82,74.56
1510.18,439.82,178.5,2.12,2.1,8.75,31.51,23.42,22.37,24.7,19.04,8.2,1.93,0.19,0,0,0,10.11,23.42,74.32
1499.83,450.17,179.5,3.47,2.89,10.82,39.31,15.66,21.4,26.91,20.88,11.54,3.34,0.13,0,0,0,10.47,15.66,80.73
1489.47,460.53,180.5,3.21,1.55,7.98,35.21,29.88,19.35,20.28,17.93,9.23,2.91,0.3,0,0,0,13.41,29.88,66.78
1479.12,470.88,181.5,6.47,3.16,16.02,50.98,12.88,13.73,22.28,26.98,17.56,5.15,1.22,0.11,0,0,20.45,12.88,80.54
1468.77,481.23,182.5,4.17,3.65,15.52,44.04,10.82,13.38,25.93,29.64,15.95,4.01,0.16,0,0,0,18.05,10.82,84.9
1458.42,491.58,183.5,5.24,2.58,14.14,47.23,16.33,15.21,21.92,25.15,16.04,5.05,0.19,0,0,0,19.71,16.33,78.32
1448.07,501.93,184.5,6.24,2.9,14.59,49.91,14.28,15,23.16,25.31,15.9,5.83,0.41,0,0,0,18.15,14.28,79.37
1437.72,512.28,185.5,7,3.58,18.05,54.06,11.07,12.29,20.87,28.01,20.67,6.7,0.29,0,0,0,23.1,11.07,81.83
1427.37,522.63,186.5,4.65,2.59,12.35,44.22,17.07,17.63,23.65,23.17,13.7,4.5,0.16,0,0,0,16,17.07,78.15
1417.02,532.98,187.5,4.22,2.8,11.5,40.86,15.98,19.6,26.11,22.36,11.6,4.01,0.2,0,0,0,13.11,15.98,79.67
1406.67,543.33,188.5,3.97,2.42,10.46,38.83,19.07,20.26,25.45,20.71,10.41,3.72,0.25,0,0,0,12.23,19.07,76.82
1396.32,553.68,189.5,4.09,2.02,10.29,39.45,21.93,18.85,23.73,20.57,10.71,3.67,0.42,0,0,0,13.4,21.93,73.86
1385.96,564.04,190.5,4.95,2.02,10.64,43.12,21.85,18.11,22.98,20.36,11.63,4.35,0.42,0.15,0.03,0,13.6,21.85,73.08
1375.61,574.39,191.5,3.06,1.8,9.08,36.65,25.56,19.58,22.31,19.08,10.29,2.9,0.16,0,0,0,12.35,25.56,71.25
1365.26,584.74,192.5,4.25,2.18,12.36,43.46,19.56,16.25,22.17,23.46,14.19,3.98,0.26,0,0,0,17.91,19.56,76.07
