OriginalDateID (),TopDepthofDate (cm),DateType (),DateBP (),Uncertaintyplus (),Uncertaintyminus (),IncludeYN ()
NA,0,Core top,-49,-49,-49,Y
KIA12527,2,C14 Uncalibrated,510,550,470,Y
A40889,10,C14 Uncalibrated,1550,1600,1500,Y
AA40890,22,C14 Uncalibrated,2940,2990,2890,Y
KIA12528,42,C14 Uncalibrated,4480,4520,4440,Y
KIA18396,58,C14 Uncalibrated,8090,8160,8020,Y
KIA18397,78,C14 Uncalibrated,8940,9030,8850,Y
