year (AD),age (BP),d13C (permil),d18O (permil)
1942.714,7.286,-5.144,-14.338
1935.38,14.62,-5.475,-14.546
1928,22,-5.401,-14.587
1920.578,29.422,-5.442,-14.378
1913.115,36.885,-5.484,-14.714
1905.616,44.384,-5.926,-14.91
1898.083,51.917,-6.049,-15.049
1890.519,59.481,-6.198,-15.054
1882.926,67.074,-6.225,-15.333
1875.308,74.692,-6.148,-15.055
1867.667,82.333,-6.017,-15.244
1860.005,89.995,-5.867,-15.158
1852.326,97.674,-5.576,-15.285
1844.631,105.369,-5.767,-15.279
1836.924,113.076,-5.913,-15.067
1829.207,120.793,-5.506,-15.472
1821.482,128.518,-5.035,-15.242
1813.752,136.248,-4.645,-15.379
1806.02,143.98,-4.478,-15.228
1798.286,151.714,-4.471,-15.284
1790.555,159.445,-4.643,-15.32
1782.828,167.172,-4.699,-15.412
1775.107,174.893,-4.587,-15.472
1767.394,182.606,-4.392,-15.519
1759.693,190.308,-4.486,-15.563
1752.004,197.996,-4.697,-15.623
1744.329,205.671,-4.672,-15.01
1736.672,213.328,-4.83,-15.297
1729.034,220.966,-5.037,-15.415
1713.822,236.178,-5.196,-15.327
1706.252,243.748,-5.059,-15.553
1698.709,251.291,-5.073,-15.697
1691.194,258.806,-5.252,-15.764
1683.709,266.291,-5.432,-15.716
1676.257,273.743,-5.217,-15.72
1668.837,281.163,-4.991,-15.345
1661.453,288.547,-5.048,-15.29
1654.106,295.894,-5.039,-15.37
1646.797,303.203,-5.337,-15.217
1639.528,310.472,-5.468,-15.27
1632.3,317.7,-5.736,-14.352
1625.116,324.884,-5.281,-15.155
1617.975,332.025,-5.309,-15.481
1610.881,339.119,-5.398,-15.417
1603.833,346.167,-4.694,-15.467
1596.834,353.166,-5.143,-15.229
1589.885,360.115,-5.283,-15.118
1582.986,367.014,-4.914,-14.794
1576.14,373.86,-4.853,-14.891
1569.347,380.653,-4.527,-14.687
1562.608,387.392,-4.637,-14.989
1555.925,394.075,-5.286,-14.802
1549.298,400.702,-5.332,-15.163
1542.728,407.272,-4.952,-14.841
1536.217,413.783,-4.896,-15.231
1529.766,420.234,-4.697,-14.813
1523.374,426.626,-4.636,-14.866
1517.044,432.956,-4.655,-15.066
1510.776,439.224,-4.988,-15.622
1504.57,445.43,-5.101,-15.282
1498.428,451.572,-5.452,-15.502
1492.35,457.65,-5.078,-15.085
1486.337,463.663,-5.231,-15.529
1480.389,469.611,-5.56,-15.545
1474.507,475.493,-5.513,-15.763
1468.692,481.308,-5.123,-15.6
1462.944,487.056,-5.083,-15.604
1457.263,492.737,-5.483,-15.422
1451.65,498.35,-5.247,-15.634
1446.106,503.894,-4.602,-15.487
1440.63,509.37,-4.249,-15.823
1435.223,514.777,-4.496,-16.041
1429.886,520.114,-4.551,-15.747
1424.618,525.383,-4.105,-15.748
1419.419,530.581,-4.378,-15.579
1414.29,535.71,-4.163,-15.761
1409.232,540.768,-3.82,-15.808
1404.243,545.757,-4.199,-15.638
1399.325,550.675,-4.598,-15.694
1394.476,555.524,-4.312,-15.76
1389.698,560.302,-4.429,-15.65
1384.99,565.01,-4.977,-15.588
1380.351,569.649,-5.247,-15.119
1375.783,574.217,-5.531,-15.611
1371.283,578.717,-5.624,-15.598
1362.493,587.507,-5.978,-15.346
1358.2,591.8,-5.829,-15.624
1353.977,596.023,-6.28,-15.609
1349.821,600.179,-5.911,-14.878
1345.733,604.267,-6.432,-15.395
1337.758,612.242,-6.465,-15.688
1333.87,616.13,-6.585,-15.708
1330.047,619.953,-6.682,-15.886
1322.596,627.404,-5.839,-15.768
1318.967,631.033,-5.799,-16.107
1315.4,634.6,-5.249,-15.365
1308.452,641.548,-5.227,-15.533
1305.069,644.931,-5.628,-16.267
1301.746,648.254,-5.167,-15.154
1298.481,651.519,-5.153,-15.584
1295.274,654.726,-5.108,-15.04
1292.124,657.876,-5.343,-15.007
1289.03,660.97,-5.613,-15.193
1285.99,664.01,-5.486,-15.078
1283.004,666.996,-5.384,-15.242
1280.07,669.93,-5.637,-15.168
1277.188,672.812,-5.719,-15.17
1274.355,675.645,-5.971,-14.819
1271.571,678.429,-6.199,-15.073
1268.834,681.166,-6.251,-15.065
1266.144,683.856,-6.115,-14.821
1263.498,686.502,-6.025,-14.685
1260.895,689.105,-5.958,-14.999
1258.335,691.665,-6.195,-15.21
1255.814,694.186,-6.244,-15.122
1253.333,696.667,-6.55,-15.342
1250.888,699.112,-6.428,-15.102
1248.48,701.52,-6.512,-14.854
1246.105,703.895,-6.367,-15.047
1243.763,706.237,-6.382,-14.875
1241.451,708.549,-6.641,-14.817
1239.167,710.833,-6.839,-15.313
1236.911,713.089,-6.88,-14.8
1234.68,715.32,-6.714,-14.937
1232.473,717.527,-6.446,-15.138
1230.287,719.713,-6.323,-15.203
1228.12,721.88,-6.108,-15.143
1225.97,724.03,-5.902,-15.454
1223.836,726.164,-5.769,-15.133
1221.716,728.284,-5.665,-15.042
1219.606,730.394,-5.385,-14.936
1217.506,732.494,-5.06,-14.997
1215.412,734.588,-5.3,-15.09
1213.323,736.677,-5.317,-15.435
1211.237,738.763,-5.349,-15.196
1209.15,740.85,-5.283,-15.42
1207.062,742.938,-5.045,-15.179
129,1821,-4.632,-15.039
122,1828,-4.968,-14.92
115,1835,-5.154,-15.018
108,1842,-4.825,-15.086
101,1849,-4.588,-15.319
94,1856,-4.833,-15.411
87,1863,-5.271,-15.548
80,1870,-4.782,-15.375
73,1877,-4.573,-14.897
66,1884,-4.973,-14.876
59,1891,-4.977,-15.107
52,1898,-4.865,-15.046
38,1912,-3.82,-14.885
31,1919,-3.941,-15.079
-1926.675,3876.675,-2.954,-14.856
-1935.517,3885.517,-2.355,-14.866
-1944.466,3894.466,-2.732,-14.732
-1953.524,3903.524,-3.006,-14.624
-1962.689,3912.689,-3.381,-14.775
-1971.963,3921.963,-3.364,-14.867
-1981.344,3931.344,-3.147,-14.821
-1990.833,3940.833,-3.608,-15.121
-2000.431,3950.431,-4.163,-14.907
-2010.136,3960.136,-4.329,-14.899
-2019.949,3969.949,-4.76,-14.835
-2029.87,3979.87,-4.688,-15.039
-2039.9,3989.9,-4.595,-15.073
-2050.037,4000.037,-4.529,-15.032
-2060.282,4010.282,-4.503,-15.061
-2070.635,4020.635,-4.693,-14.925
-2081.096,4031.096,-4.75,-14.813
-2102.342,4052.342,-4.687,-14.882
-2113.127,4063.127,-4.672,-15.065
-2124.02,4074.02,-4.619,-15.298
-2135.021,4085.021,-4.178,-15.042
-2146.13,4096.13,-4.164,-15.242
-2157.346,4107.346,-4.795,-15.513
-2180.104,4130.104,-5.676,-15.575
-2191.645,4141.645,-5.608,-15.281
-2203.293,4153.293,-5.558,-15.509
-2215.05,4165.05,-5.395,-15.067
-2226.915,4176.915,-5.509,-14.962
-2238.887,4188.887,-5.783,-15.067
-2250.968,4200.968,-5.989,-15.193
-2263.156,4213.156,-6.263,-15.113
-2275.453,4225.453,-6.252,-15.52
-2287.857,4237.857,-6.158,-15.118
-2300.37,4250.37,-5.857,-15.305
-2312.99,4262.99,-5.329,-15.11
-2325.719,4275.719,-5.56,-15.801
-2338.555,4288.555,-5.886,-15.413
-2351.499,4301.499,-6.125,-15.856
-2364.552,4314.552,-6.044,-15.254
-2377.712,4327.712,-6.083,-15.563
-2390.98,4340.98,-6.092,-15.099
-2404.356,4354.356,-5.843,-15.15
-2417.84,4367.84,-5.947,-15.152
-2431.432,4381.432,-5.876,-15.077
-2445.133,4395.133,-5.814,-15.067
-2458.941,4408.941,-5.378,-15.201
-2472.857,4422.857,-4.857,-14.959
-2486.881,4436.881,-4.154,-15.065
-2501.013,4451.013,-3.734,-14.913
-2529.6,4479.6,-3.98,-15.14
-2544.056,4494.056,-4.591,-15.995
-2558.62,4508.62,-4.011,-15.038
-2602.959,4552.959,-3.961,-15.08
-2617.955,4567.955,-4.827,-14.216
-2648.27,4598.27,-4.76,-15.496
-2679.018,4629.018,-5.172,-15.556
-2710.197,4660.197,-5.258,-15.584
-2741.808,4691.808,-4.804,-15.559
-2757.775,4707.775,-4.977,-15.518
-2790.034,4740.034,-5.366,-15.393
-2822.724,4772.724,-4.705,-15.13
-2839.232,4789.232,-4.136,-15.098
-2855.847,4805.847,-3.877,-14.994
-2872.57,4822.57,-3.966,-15.116
-2889.401,4839.401,-4.126,-15.083
-3287.003,5237.003,-5,-15.191
-3306.317,5256.317,-4.663,-15.003
-3325.739,5275.739,-4.457,-15.047
-3345.27,5295.27,-4.646,-15.254
-3384.654,5334.654,-4.961,-15.332
-3424.471,5374.471,-5.104,-15.49
-3464.719,5414.719,-4.66,-15.578
-3472.976,5422.976,-4.852,-15.958
-3482.636,5432.636,-4.813,-15.601
-3501.834,5451.834,-5.332,-15.768
-3520.874,5470.874,-5.432,-15.701
-3539.757,5489.757,-5.388,-15.532
-3549.14,5499.14,-5.409,-15.772
-3558.484,5508.484,-5.577,-15.628
-3567.79,5517.79,-5.577,-15.875
-3577.058,5527.058,-5.641,-15.661
-3586.287,5536.287,-5.552,-15.661
-3595.479,5545.479,-5.5,-15.581
-3613.751,5563.751,-5.628,-15.436
-3622.831,5572.831,-5.694,-15.462
-3631.874,5581.874,-5.362,-15.754
-3640.881,5590.881,-4.75,-15.31
-3676.546,5626.546,-4.676,-15.394
-3685.372,5635.372,-4.197,-15.152
-3694.164,5644.164,-4.735,-15.251
-3702.921,5652.921,-5.044,-15.285
-3720.33,5670.33,-5.157,-15.25
-3728.983,5678.983,-5.127,-15.12
-3737.602,5687.602,-4.744,-14.925
-3746.186,5696.186,-4.32,-14.857
-3754.738,5704.738,-4.187,-14.709
-3763.255,5713.255,-3.823,-14.768
-3771.74,5721.74,-4.334,-15.06
-3788.61,5738.61,-5.201,-15.481
-3805.35,5755.35,-5.46,-15.996
-3821.962,5771.962,-5.324,-15.928
-3830.22,5780.22,-5.424,-15.753
-3838.447,5788.447,-5.465,-15.818
-3846.642,5796.642,-5.394,-15.658
-3854.807,5804.807,-5.142,-15.451
-3862.941,5812.941,-4.912,-15.272
-3871.044,5821.044,-4.593,-15.012
-3879.117,5829.117,-4.469,-14.939
-3887.16,5837.16,-4.312,-14.847
-3895.173,5845.173,-4.562,-15.042
-3903.157,5853.157,-4.536,-14.84
-3911.111,5861.111,-5.351,-16.206
-3919.036,5869.036,-4.933,-14.697
-3926.932,5876.932,-5.219,-14.985
-3934.799,5884.799,-5.427,-14.852
-3942.638,5892.638,-5.853,-16.012
-3950.448,5900.448,-5.218,-15.01
-3965.986,5915.986,-5.177,-14.63
-3973.713,5923.713,-5.534,-14.887
-3981.412,5931.412,-5.269,-14.958
-3989.085,5939.085,-5.708,-15.25
-3996.731,5946.731,-5.632,-15.353
-4004.35,5954.35,-5.421,-15.355
-4011.942,5961.942,-5.437,-15.47
-4019.509,5969.509,-5.557,-15.513
-4027.049,5977.049,-5.436,-15.591
-4034.563,5984.563,-5.194,-15.676
-4042.052,5992.052,-5.388,-15.752
-4049.516,5999.516,-5.794,-15.824
-4056.954,6006.954,-5.983,-15.829
-4064.368,6014.368,-5.957,-15.862
-4071.757,6021.757,-5.943,-15.634
-4079.122,6029.122,-6.329,-15.767
-4086.462,6036.462,-6.407,-15.656
-4093.778,6043.778,-5.564,-15.599
-4101.071,6051.071,-4.923,-15.461
-4108.34,6058.34,-5.202,-15.614
-4115.586,6065.586,-5.23,-15.523
-4122.808,6072.808,-5.059,-15.66
-4130.008,6080.008,-5.191,-15.564
-4137.185,6087.185,-5.548,-15.712
-4144.34,6094.34,-5.677,-15.473
-4151.473,6101.473,-5.653,-15.337
-4158.584,6108.584,-4.242,-15.733
-4165.673,6115.673,-5.166,-15.387
-4172.74,6122.74,-5.1,-15.473
-4179.786,6129.786,-5.039,-15.532
-4186.811,6136.811,-4.958,-15.371
-4193.816,6143.816,-5.114,-15.569
-4200.799,6150.799,-5.321,-15.482
