depth (cm),age (bp),depth_alt (mm),age14C (bp),age_error (1s),reservoir (age),reservoir_error (1s),core_name (unitless),age_type (unitless),lab_id (unitless),note (unitless)
0,-46,0,NA,1,NA,NA,1,2,NA,1
21.75,369.5,217.5,735,40,400,20,1,1,4,NA
30.75,537.4,307.5,940,40,400,20,1,1,3,NA
31.5,544.7,50,1020,100,400,20,2,1,28,NA
37,566.9,105,980,60,400,20,2,1,1,NA
51,637.2,245,1590,40,400,20,2,1,12,NA
57,672.8,305,1040,40,400,20,2,1,6,NA
74,797,475,1160,30,400,20,2,1,13,NA
82,868,555,1530,90,400,20,2,1,27,NA
97,1018.9,705,1560,50,400,20,2,1,7,NA
116,1239.4,895,1590,30,400,20,2,1,14,NA
128,1391.9,1015,1790,60,400,20,2,1,29,NA
147,1638.4,1205,2210,60,400,20,2,1,16,NA
157,1761.7,1305,2350,40,400,20,2,1,8,NA
180.5,2034.6,1540,2335,25,400,20,2,1,15,NA
197,2213.5,1705,2620,60,400,20,2,1,2,NA
251.5,2905.2,2250,3000,50,400,20,2,1,26,NA
276.5,3302.7,2500,3380,70,400,20,2,1,25,NA
296,3646.4,2695,3820,35,400,20,2,1,5,NA
326.5,4170.8,3000,4080,70,400,20,2,1,24,NA
347,4529.5,3205,4330,50,400,20,2,1,9,NA
388,5273.9,3615,4990,40,400,20,2,1,17,NA
477.5,6791.35,4510,6420,160,400,20,2,1,23,NA
517,7483,4905,6920,50,400,20,2,1,18,NA
547,8098.3,5205,7260,60,400,20,2,1,10,NA
555,8161.7,5285,7690,110,400,20,2,1,22,NA
560,8277.05,5335,8530,160,400,20,2,1,21,NA
568,8334.45,5415,8280,140,400,20,2,1,20,NA
597,9198.2,5705,8700,90,400,20,2,1,19,NA
730,11984.23,7035,10775,85,700,20,2,1,30,NA
757,12734.9,7305,11875,140,700,20,2,1,31,NA
777,13279.1,7505,12220,90,700,20,2,1,11,NA
730,12121,7035,NA,121,NA,NA,2,3,32,2
