depth (cm),age (yr BP),Number (unitless),CoreID (unitless),DepthInterval (unitless),UCIAMSID (unitless),x_13C___ (unitless),error (yr),CalendarYearsBP (unitless),x2_SigmaRange (unitless)
150,NA,0 (pollen: Kirby et al. 2004),LESS02-11,150,NA,NA,20,150,pollen
299.5,2290,1.0,LEGC03-2,-1,8260,-17.8,20,2330,2307-2348
396.5,2075,2.0,LEGC03-2,-1,6832,-21,25,2060,1987-2123
396.5,2060,3.0,LEGC03-2,-1,6695,-14.2,35,2030,1932-2122
421.93,2915,4.0,LEGC03-2,-1,8261,-16.2,25,3020,2957-3081
533.79,4385,5.0,LEGC03-2,-1,8262,-15.2,30,4930,4864-4996
614.17,4605,6.0,LEGC03-2,-1,6833,-15.8,25,5420,5396-5449
818.69,6825,7.0,LEGC03-2,-1,6834,-14.4,30,7650,7606-7697
899,7350,8.0,LEGC03-2,-1,6835,-17.7,30,8160,8106-8196
105.5,860,9* (reworked),LEGC03-3,-1,8263,-20.7,25,740,694-794
162.5,650,10.0,LEGC03-3,-1,8264,-20.4,20,580,559-602
195.5,1180,11.0,LEGC03-3,-1,8265,-17.9,20,1110,1055-1171
264.5,1115,12.0,LEGC03-3,-1,8266,-17.5,25,1010,962-1062
324.5,2270,13.0,LEGC03-3,-1,8267,-18.4,30,2220,2179-2265
395.5,2610,14.0,LEGC03-3,-1,8268,-20.3,20,2750,2734-2774
469.5,3160,15.0,LEGC03-3,-1,8270,-17.6,25,3400,3341-3453
536.5,3125,16.0,LEGC03-3,-1,8271,-19.2,20,3350,3321-3385
610.5,5160,17.0,LEGC03-3,-1,8272,-16.1,30,5920,5888-5950
635.5,4955,18* (event layer?),LEGC03-3,-1,8274,-18.4,30,5670,5609-5735
683.5,4945,19* (event layer?),LEGC03-3,-1,8275,-18.1,30,5670,5606-5728
713.5,6025,20.0,LEGC03-3,-1,8277,-17.6,35,6850,6745-6949
759.5,5820,21.0,LEGC03-3,-1,8278,-17.3,30,6610,6532-6679
800.5,5540,22.0,LEGC03-3,-1,8279,-18.1,40,6340,6279-6407
924.5,7910,23.0,LEGC03-3,-1,8280,-19.4,50,8700,8595-8813
986.5,8465,24.0,LEGC03-3,-1,8283,-14.9,40,9500,9464-9532
1048.5,8225,25.0,LEGC03-3,-1,8284,-17,40,9180,9057-9301
1071.5,7965,26.0,LEGC03-3,-1,8286,-18,40,8850,8695-8999
