age (BP),RAN15MAAT (degC),sampleID (missing),RAN15 (missing)
73,19.2,HS4-204,1.27
319,18.4,HS4-198,1.54
366,18.6,HS4-196,1.45
486,16.5,HS4-191,2.14
560,20.5,HS4-187,0.85
639,18.6,HS4-184,1.47
695,18,HS4-182,1.65
765,17.5,HS4-179,1.84
853,18.6,HS4-175,1.46
877,18.2,HS4-174,1.59
964,18.4,HS4-170,1.52
1014,18.7,HS4-168,1.42
1073,18.6,HS4-166,1.45
1107,18.9,HS4-165,1.37
1157,17.8,HS4-164,1.74
1296,18.3,HS4-161,1.56
1397,18.5,HS4-159,1.49
1531,18.7,HS4-156,1.41
1635,18.2,HS4-154,1.58
1813,18.4,HS4-150,1.53
1995,18.6,HS4-146,1.46
2080,19.2,HS4-144,1.26
2306,18.8,HS4-139,1.39
2447,19.1,HS4-135,1.31
2551,19,HS4-132,1.34
2664,18.2,HS4-130,1.61
2691,18.7,HS4-129,1.44
2717,19.3,HS4-128,1.23
2879,18.3,HS4-123,1.58
3003,18.8,HS4-120,1.39
3039,19.1,HS4-119,1.29
3148,19.6,HS4-117,1.12
3231,19.2,HS4-115,1.28
3353,18.1,HS4-112,1.62
3960,19.1,HS4-103,1.3
4018,18.4,HS4-101,1.52
4045,18.5,HS4-100,1.5
4145,18.3,HS4-97,1.55
4223,19,HS4-95,1.33
4317,19.7,HS4-92,1.11
4364,18.4,HS4-91,1.52
4592,18.5,HS4-86,1.49
4782,19.1,HS4-83,1.3
4860,19.7,HS4-82,1.1
5087,18.7,HS4-77,1.43
5136,18.9,HS4-76,1.36
5314,19.2,HS4-71,1.27
5546,19.4,HS4-67,1.2
5619,19.7,HS4-66,1.11
5802,19.7,HS4-64,1.09
6058,19.1,HS4-61,1.31
6129,19,HS4-60,1.32
6558,20,HS4-54,1
6686,19.8,HS4-52,1.06
6741,20.1,HS4-50,0.98
6775,19.2,HS4-49,1.25
6997,20,HS4-41,1
7026,20.6,HS4-40,0.81
7305,19.6,HS4-33,1.13
7419,20.6,HS4-30,0.79
7503,20.3,HS4-28,0.89
7663,19.5,HS4-23,1.15
7718,19.9,HS4-22,1.03
7759,19.8,HS4-21,1.07
7871,19.9,HS4-18,1.02
7925,20.1,HS4-16,0.97
7956,20.3,HS4-15,0.9
8029,19.1,HS4-13,1.3
8100,19.5,HS4-11,1.15
8178,19.4,HS4-9,1.19
8479,19.7,HS4-6,1.1
8648,19.6,HS4-3,1.15
8807,19.6,HS4-1,1.14
