depth (cm),dateType (),measurementMaterial (),sensorSpecies (),labID (),age14C (kyr),age14CUncertainty (kyr)
18,14C,planktic foraminifera,Globigerinoides ruber + G. trilobus + G. sacculifer,KIA 41415,1.225,0.025
96.5,14C,planktic foraminifera,Globigerinoides ruber,KIA 43167,3.97,0.03
163,14C,planktic foraminifera,Globigerinoides ruber,KIA 41416,5.835,0.035
223,14C,planktic foraminifera,Globigerinoides ruber,KIA 41417,8.305,0.045
253,14C,planktic foraminifera,Globigerinoides ruber,KIA 41418,9.93,0.05
287,14C,planktic foraminifera,Globigerinoides ruber,KIA 41419,10.56,0.06
313,14C,planktic foraminifera,Globigerinoides ruber + G. trilobus + G. sacculifer,KIA 41420,11.62,0.07
363.5,14C,planktic foraminifera,Globigerinoides ruber,KIA 41421,13.07,0.07
392.5,14C,planktic foraminifera,Globigerinoides ruber + G. trilobus + G. sacculifer,KIA 41422,13.59,0.07
426,14C,planktic foraminifera,Globigerinoides ruber + G.trilobus,KIA 43168,14.27,0.07
527.5,14C,planktic foraminifera,Globigerinoides ruber,KIA 41424,17.17,0.12
582.5,14C,planktic foraminifera,Globigerinoides ruber,KIA 41425,20.56,0.16
625,14C,planktic foraminifera,Globigerinoides ruber,KIA 43169,23.75,0.19
667.5,14C,planktic foraminifera,Globigerinoides ruber,KIA 41426,28.99,0.43
691,14C,planktic foraminifera,Globigerinoides ruber,KIA 43179,32.75,0.59
