depth (cm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),age_type (),lab_id (),material_dated (),note ()
12,2480,90,2300,1836,1,1,1,NA
26.5,4155,60,4354,3930,1,3,1,NA
53.5,6285,75,6873,6461,1,4,1,NA
72,6880,100,7541,7141,1,1,1,NA
136,9390,110,10465,9803,1,1,1,NA
168.55,9905,400,12008,9682,1,2,1,NA
196,9470,105,10513,9990,1,6,1,NA
210,8520,120,9400,8701,1,1,1,NA
261,10510,115,11876,11107,1,5,1,NA
278.5,12121,NA,NA,NA,2,NA,2,1
308,11475,75,13088,12845,1,7,1,NA
431,12330,150,14032,13379,1,1,1,NA
