year (AD),age (BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
1900,50,35.201,-47.368,117.77
1850,100,43.169,-35.118,121.455
1800,150,70.976,-14.425,156.377
1750,200,77.239,-1.63,156.108
1700,250,75.226,-1.303,151.755
1650,300,46.272,-21.342,113.886
1600,350,35.884,-33.484,105.251
1550,400,33.723,-33.157,100.603
1500,450,24.958,-45.843,95.759
1450,500,16.113,-58.638,90.865
1400,550,7.19,-71.543,85.922
1350,600,7.844,-71.543,87.23
1300,650,12.827,-71.543,97.197
1250,700,13.481,-71.543,98.505
1200,750,14.135,-71.543,99.812
1150,800,10.458,-71.543,92.459
1100,850,15.573,-71.543,102.688
1050,900,25.215,-71.543,121.972
1000,950,25.868,-71.543,123.279
950,1000,22.061,-71.543,115.664
900,1050,27.775,-57.222,112.772
850,1100,33.053,-57.222,123.329
800,1150,33.707,-57.222,124.636
750,1200,31.153,-56.895,119.202
700,1250,31.905,-56.895,120.706
650,1300,42.071,-56.895,141.037
600,1350,31.883,-71.543,135.308
550,1400,27.813,-71.543,127.169
500,1450,18.955,-71.543,109.453
450,1500,19.609,-71.543,110.76
400,1550,20.262,-71.543,112.067
350,1600,30.821,-71.543,133.184
300,1650,31.474,-71.543,134.491
250,1700,42.164,-71.543,155.87
200,1750,37.963,-71.543,147.469
150,1800,38.617,-71.543,148.776
100,1850,34.351,-71.543,140.244
50,1900,35.103,-71.543,141.748
0,1950,35.756,-71.543,143.055
-50,2000,31.294,-71.543,134.13
-100,2050,26.799,-71.543,125.14
-150,2100,27.452,-71.543,126.447
-200,2150,40.449,-54.826,135.723
-250,2200,53.524,-38,145.048
-300,2250,95.714,12.805,178.623
-350,2300,139.755,64.264,215.247
-400,2350,184.066,116.049,252.084
-450,2400,210.292,144.988,275.596
-500,2450,222.468,156.755,288.18
-550,2500,266.879,190.886,342.871
-600,2550,314.58,225.365,403.796
-650,2600,361.998,259.8,464.195
-700,2650,376.69,271.59,481.789
-750,2700,376.923,272.056,481.789
-800,2750,377.156,272.522,481.789
-850,2800,377.389,272.988,481.789
-900,2850,377.622,273.454,481.789
-950,2900,377.855,273.92,481.789
-1000,2950,378.088,274.386,481.789
-1050,3000,378.321,274.852,481.789
-1100,3050,378.554,275.318,481.789
-1150,3100,378.787,275.784,481.789
-1200,3150,379.02,276.25,481.789
-1250,3200,379.253,276.716,481.789
-1300,3250,379.486,277.182,481.789
-1350,3300,379.719,277.648,481.789
-1400,3350,379.952,278.114,481.789
-1450,3400,380.185,278.58,481.789
-1500,3450,380.418,279.046,481.789
-1550,3500,366.269,267.567,464.972
-1600,3550,337.748,244.081,431.414
-1650,3600,309.233,220.533,397.934
-1700,3650,309.478,220.906,398.051
-1750,3700,324.1,233.255,414.946
-1800,3750,338.718,245.635,431.802
-1850,3800,353.321,258.139,448.504
-1900,3850,367.92,270.674,465.166
-1950,3900,382.515,283.24,481.789
-2000,3950,382.748,283.706,481.789
-2050,4000,382.981,284.172,481.789
-2100,4050,383.214,284.638,481.789
-2150,4100,383.447,285.104,481.789
-2200,4150,383.68,285.57,481.789
-2250,4200,383.913,286.036,481.789
-2300,4250,384.146,286.502,481.789
-2350,4300,384.379,286.968,481.789
-2400,4350,384.612,287.434,481.789
-2450,4400,384.845,287.9,481.789
-2500,4450,370.77,275.831,465.709
-2550,4500,356.7,263.731,449.669
-2600,4550,328.334,239.004,417.664
-2650,4600,314.283,226.749,401.817
-2700,4650,300.299,214.526,386.072
-2750,4700,300.767,215.018,386.517
-2800,4750,283.53,202.757,364.303
-2850,4800,284.234,203.485,364.984
-2900,4850,267.093,191.099,343.087
-2950,4900,257.108,178.292,335.924
-3000,4950,229.275,152.371,306.18
-3050,5000,219.296,139.352,299.24
-3100,5050,230.719,152.981,308.456
-3150,5100,231.446,153.074,309.818
-3200,5150,260.679,180.661,340.696
-3250,5200,261.397,181.072,341.723
-3300,5250,262.125,181.165,343.084
-3350,5300,234.347,153.766,314.928
-3400,5350,267.099,182.514,351.684
-3450,5400,278.501,196.883,360.12
-3500,5450,279.229,196.976,361.481
-3550,5500,237.245,154.563,319.928
-3600,5550,227.298,140.381,314.214
-3650,5600,228.025,140.475,315.575
-3700,5650,228.753,140.569,316.937
-3750,5700,240.137,155.571,324.704
-3800,5750,251.519,170.679,332.36
-3850,5800,262.898,185.892,339.904
-3900,5850,263.617,186.303,340.931
-3950,5900,282.078,202.044,362.112
-4000,5950,300.535,217.892,383.177
-4050,6000,318.986,233.845,404.128
-4100,6050,291.325,203.276,379.375
-4150,6100,263.672,172.496,354.849
-4200,6150,236.027,141.505,330.55
-4250,6200,236.755,141.598,331.911
-4300,6250,237.482,141.692,333.272
-4350,6300,238.21,141.785,334.634
-4400,6350,225.97,124.086,327.854
-4450,6400,226.365,122.767,329.964
-4500,6450,214.065,105.052,323.078
-4550,6500,216.404,103.904,328.903
-4600,6550,191.287,69.763,312.812
-4650,6600,178.805,52.001,305.609
-4700,6650,164.591,35.449,293.732
-4750,6700,149.829,17.648,282.011
-4800,6750,135.025,-0.16,270.21
-4850,6800,139.386,-0.744,279.515
-4900,6850,139.801,-0.72,280.322
-4950,6900,140.216,-0.697,281.129
-5000,6950,121.422,-17.906,260.749
-5050,7000,115.216,-17.883,248.315
-5100,7050,135.09,-0.099,270.278
-5150,7100,135.505,-0.075,271.085
-5200,7150,135.801,-0.052,271.654
-5250,7200,116.81,-17.751,251.37
-5300,7250,97.035,-35.661,229.73
-5350,7300,93.083,-53.579,239.744
-5400,7350,73.284,-71.543,218.11
-5450,7400,64.622,-71.543,200.787
-5500,7450,46.866,-71.543,165.275
-5550,7500,38.155,-71.543,147.853
-5600,7550,47.732,-71.543,167.007
-5650,7600,57.333,-71.543,186.209
-5700,7650,66.96,-71.543,205.462
-5750,7700,67.417,-71.543,206.377
-5800,7750,58.582,-71.543,188.707
-5850,7800,59.04,-71.543,189.622
-5900,7850,50.155,-71.543,171.853
-5950,7900,50.538,-71.543,172.619
-6000,7950,41.604,-71.543,154.751
-6050,8000,41.987,-71.543,155.518
-6100,8050,42.371,-71.543,156.284
-6150,8100,42.754,-71.543,157.05
-6200,8150,52.628,-71.543,176.798
-6250,8200,62.527,-71.543,196.596
-6300,8250,81.991,-71.543,235.524
-6350,8300,82.448,-71.543,236.439
-6400,8350,82.906,-71.543,237.355
-6450,8400,83.438,-71.543,238.418
-6500,8450,83.896,-71.543,239.334
-6550,8500,84.353,-71.543,240.249
-6600,8550,65.507,-71.543,202.556
-6650,8600,56.25,-71.543,184.043
-6700,8650,56.708,-71.543,184.958
-6750,8700,57.091,-71.543,185.725
-6800,8750,57.474,-71.543,186.491
-6850,8800,48.119,-71.543,167.78
-6900,8850,73.295,-51.471,198.06
-6950,8900,73.678,-51.471,198.827
-7000,8950,83.948,-51.471,219.368
-7050,9000,79.364,-71.543,230.27
-7100,9050,89.684,-71.543,250.91
-7150,9100,80.18,-71.543,231.902
-7200,9150,70.725,-71.543,212.992
-7250,9200,71.183,-71.543,213.908
-7300,9250,81.602,-71.543,234.746
-7350,9300,82.059,-71.543,235.662
-7400,9350,92.603,-71.543,256.748
-7450,9400,103.171,-71.543,277.884
-7500,9450,113.764,-71.543,299.07
-7550,9500,146.9,-30.321,324.121
-7600,9550,147.432,-30.321,325.185
-7650,9600,180.646,11.128,350.165
-7700,9650,148.574,-30.094,327.242
-7750,9700,181.866,11.582,352.151
-7800,9750,182.515,11.922,353.108
-7850,9800,215.885,53.824,377.946
-7900,9850,183.657,12.149,355.165
-7950,9900,151.389,-29.64,332.419
-8000,9950,119.083,-71.543,309.709
-8050,10000,109.207,-71.543,289.957
-8100,10050,123.149,-49.938,296.237
-8150,10100,150.578,-6.602,307.758
-8200,10150,208.115,57.826,358.405
-8250,10200,241.912,100.828,382.996
-8300,10250,264.134,123.071,405.198
-8350,10300,266.789,124.413,409.165
-8400,10350,234.285,81.794,386.776
-8450,10400,199.907,38.267,361.547
-8500,10450,157.461,-5.389,320.31
-8550,10500,150.115,-5.197,305.428
-8600,10550,164.553,17.237,311.869
-8650,10600,157.115,17.429,296.8
-8700,10650,157.705,17.62,297.79
-8750,10700,136.494,-4.431,277.418
-8800,10750,139.254,-26.738,305.245
-8850,10800,123.161,-49.108,295.43
-8900,10850,107.024,-71.543,285.591
-8950,10900,107.556,-71.543,286.654
-9000,10950,108.014,-71.543,287.57
-9050,11000,119.375,-71.543,310.292
-9100,11050,108.978,-71.543,289.499
-9150,11100,134.6,-48.597,317.797
-9200,11150,149.381,-25.588,324.35
-9250,11200,175.129,-2.515,352.773
-9300,11250,209.744,42.869,376.618
-9350,11300,264.151,110.38,417.922
-9400,11350,341.428,223.132,459.724
-9450,11400,407.606,335.96,479.252
-9500,11450,453.805,426.656,480.953
-9550,11500,476.948,472.106,481.789
-9600,11550,477.035,472.281,481.789
-9650,11600,477.123,472.456,481.789
-9700,11650,477.21,472.631,481.789
-9750,11700,477.298,472.806,481.789
-9800,11750,477.385,472.982,481.789
-9850,11800,477.473,473.157,481.789
-9900,11850,477.561,473.332,481.789
-9950,11900,477.648,473.507,481.789
-10000,11950,477.736,473.682,481.789
-10050,12000,477.823,473.857,481.789
-10100,12050,477.911,474.032,481.789
-10150,12100,477.998,474.208,481.789
-10200,12150,478.086,474.383,481.789
-10250,12200,478.174,474.558,481.789
-10300,12250,478.261,474.733,481.789
-10350,12300,478.349,474.908,481.789
-10400,12350,478.436,475.083,481.789
-10450,12400,455.468,429.677,481.26
-10500,12450,389.754,316.462,463.045
-10550,12500,309.767,179.966,439.569
-10600,12550,287.317,134.99,439.645
-10650,12600,273.508,111.994,435.022
-10700,12650,217.323,66.223,368.423
