depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
16,Carbon-14,110240,100,1410,gyttja,NA
29,Carbon-14,110241,120,3350,gyttja,NA
85,Carbon-14,110242,110,4760,gyttja,NA
125,Carbon-14,110243,200,6740,gyttja,NA
