depth (unitless),age (unitless),TypeOfMaterialDated (unitless),AverageSampleDepth_cm_ (unitless),ageMin (unitless),ageMax (unitless),calAge (unitless),calMin (unitless),calMax (unitless),x1SigmaOr2Sigma_ (unitless),ReservoirCorrection__R (unitless),rejected (unitless),Comments (unitless)
137Cs,15,BL-01,NA,10.528,NA,NA,NA,-13.0,NA,NA,NA,NA
210Pb,-37,BL-01,NA,-28.436,NA,NA,NA,-60 to 280,NA,NA,NA,NA
14C,49,BL-01,AA90470,38.205,1280,1140,1420,286.0,55,517,2,1000
14C,79,BL-01,AA90471,62.625,3310,3070,3550,2321.0,1768,2874,2,1000
14C,136,BL-01,AA90472,148.366,9060,8630,9490,8979.0,8019,9939,2,1000
14C,150,BL-01,AA90473,NA,2060,1940,2180,961.0,737,1185,2,1000
14C,172,BL-01,AA90474,161.557,9630,8770,10490,9936.0,7790,12082,2,1000
14C,190,BL-01,AA90475,NA,17800,14700,20900,20222.0,12585,27859,2,1000
14C,221,BL-01,AA90476,NA,19100,16500,21700,21648.0,15256,28040,2,1000
14C,100,A/B,AA90478,NA,13800,12100,15500,14477.0,10213,18741,2,1500
14C,257,A/B,AA90479,257.096,15400,13300,17500,16332.0,11101,21563,2,1500
