depth (cm),age (BP),age (BP),thickness (cm),color (missing),layer_type (missing),uncorrected_depth_top (cm),uncorrected_depth_bot (cm),error_younger_age (BP)
15.02,1912,2006,5,Gray,1A,15.04,20.04,1822
19.02,1950,2046,6.8,Olive,1B,23.22,30.02,1858
29.36,2065,2165,1.62,Gray,2A,40.38,42,1967
32.56,2105,2205,0.5,Gray,2B,45.22,45.72,2006
35,2134,2246,1.04,Gray,2C,48.18,49.22,2031
36.68,2155,2260,0.8,Gray,2D,50.92,51.72,2055
37.5,2165,2269,3.36,Gray,2E,52.56,55.92,2063
44.06,2250,2364,0.76,Gray,2F,62.5,63.26,2136
44.84,2259,2377,1.1,Gray,2G,64.06,65.16,2147
50.86,2336,2461,2.92,Gray,2H,71.22,74.14,2223
67.26,2564,2689,1.18,Gray,2I,98.44,99.62,2431
72.56,2636,2751,0.2,Gray,2J,104.94,105.14,2499
84.72,2794,2915,8.5,Gray,2K,117.32,125.82,2680
89.42,2860,2999,0.8,Gray,2L,130.54,131.34,2737
89.78,2865,3001,0.6,Gray,2M,131.72,132.32,2745
91.36,2887,3017,4.76,Gray,2N,133.92,138.68,2768
98.6,2986,3116,4.34,Gray,2O,145.94,150.28,2859
102.2,3038,3162,7.32,Olive,3A,153.9,161.22,2912
106.02,3090,3217,1.78,Gray,3B,165.06,166.84,2960
116.22,3219,3340,1.62,Gray,3C,177.06,178.68,3088
118,3242,3360,1.02,Gray,3D,180.48,181.5,3109
125.6,3353,3476,6.82,Gray,3E,189.12,195.94,3222
150.48,3698,3837,3,Gray,3F,220.84,223.84,3555
153.82,3737,3881,1.1,Gray,3G,227.2,228.3,3586
164.04,3855,4001,0.18,Gray,3H,232.94,233.12,3702
177.76,4005,4149,1.46,Olive,4A,246.86,248.32,3860
177.76,4005,4149,6.3,Gray,4B,248.34,254.64,3860
177.92,4007,4151,3.86,Gray,4C,254.82,258.68,3861
185.32,4084,4221,7.3,Gray,4D,266.1,273.4,3943
200.96,4252,4373,2.54,Gray,4E,289.12,291.66,4125
211.16,4358,4476,9.1,Gray,4F,301.88,310.98,4231
220.18,4454,4579,4.88,Gray,4G,320.02,324.9,4324
238.68,4658,4780,6.08,Gray,4H,343.42,349.5,4521
269.94,5008,5147,0.36,Gray,5A,383.76,384.12,4878
278.62,5119,5257,0.28,Gray,5B,392.82,393.1,4975
290.76,5263,5392,2.12,Gray,5C,405.26,407.38,5107
295.36,5317,5441,2.96,Olive,5D,412,414.96,5159
301.26,5376,5495,1.88,Gray,5E,420.88,422.76,5224
305.64,5416,5536,0.26,Gray,5F,427.16,427.42,5268
308.74,5444,5561,16.68,Gray,5G,430.54,447.22,5299
318.68,5537,5651,3.06,Gray,5H,457.16,460.22,5401
332.36,5673,5791,0.24,Gray,5I,473.94,474.18,5548
370.22,6079,6204,0.88,Gray,6A,512.08,512.96,5942
386,6286,6403,0.12,Gray,6B,525.56,525.68,6169
415.26,6664,6781,2.4,Gray,6C,558.94,561.34,6537
423.38,6754,6859,0.38,Gray,6D,569.48,569.86,6641
429.08,6811,6916,3.7,Gray,6E,575.6,579.3,6704
433.06,6851,6953,0.24,Gray,6F,583.3,583.54,6751
433.46,6855,6958,1.3,Gray,6G,583.96,585.26,6753
435.42,6875,6980,5.56,Gray,6H,587.24,592.8,6772
449.12,7008,7125,0.62,Gray,7A,610.32,610.94,6888
455.16,7068,7185,1.06,Gray,7B,617,618.06,6949
471.62,7222,7336,3.56,Gray,7C,634.56,638.12,7091
473.4,7238,7356,5.7,Gray,7D,639.94,645.64,7104
479.04,7286,7421,8.04,Gray,7E,651.3,659.34,7147
479.06,7287,7421,1.34,Gray,7F,659.36,660.7,7147
487.6,7361,7501,3.44,Olive,7G,669.3,672.74,7216
513.84,7587,7719,1.5,Olive,7H,697.98,699.48,7460
514.22,7590,7723,1.04,Olive,7I,699.88,700.92,7462
515.22,7600,7730,4.82,Gray,7J,701.94,706.76,7478
530.24,7770,7880,2.88,Gray,7K,721.8,724.68,7662
539.38,7867,7977,0.82,Gray,7L,733.84,734.66,7747
551.32,7988,8092,1.38,Gray,7M,746.62,748,7881
594.5,8397,8499,1.42,Olive,8A,791.44,792.86,8291
603.78,8475,8577,1.76,Gray,8B,802.74,804.5,8384
610.4,8533,8643,0.14,Gray,8C,811.14,811.28,8432
611.24,8540,8649,1.6,Gray,8D,812.14,813.74,8440
622.98,8644,8765,0.72,Olive,8E,824.92,825.64,8532
622.98,8644,8765,1.6,Gray,8F,825.66,827.26,8532
634.6,8753,8898,1.7,Gray,8G,838.9,840.6,8618
637.96,8790,8935,0.76,Olive,8H,843.98,844.74,8651
652.96,8950,9108,3.62,Gray,8I,859.84,863.46,8785
652.96,8950,9108,1.4,Olive,8J,863.48,864.88,8785
653.96,8961,9122,0.26,Olive,8K,865.9,866.16,8791
655.26,8974,9136,0.14,Olive,8L,867.48,867.62,8804
659.2,9014,9183,2.84,Gray,9A,871.58,874.42,8835
659.72,9019,9189,0.5,Gray,9B,874.82,875.32,8839
661.44,9037,9211,0.78,Gray,9C,877.1,877.88,8854
662.44,9048,9224,0.52,Gray,9D,878.9,879.42,8861
664.14,9065,9251,11.88,Olive,9E,881.12,893,8873
