depth (m),year (AD),age (BP),depth (m),depth (m),MAP (mm/yr),label (missing),depthComp (m)
NA,1950,0,0,NA,248,NA,NA
0,1920,30,0.01,0.02,276.2,TMD1_0-2cm,0.01
0.02,1861,89,0.03,0.04,302.4,TMD1_2-4cm,0.03
0.06,1740,210,0.07,0.08,262.3,TMD1_06-08cm,0.07
0.1,1619,331,0.11,0.12,249,TMD1_10-12,0.11
0.14,1498,452,0.15,0.16,318.9,TMD1_14-16cm,0.15
0.18,1375,575,0.19,0.2,294.9,TMD1_ 18-20,0.19
0.22,1251,699,0.23,0.24,334.6,TMD1_22-24cm,0.23
0.26,1126,824,0.27,0.28,294.9,TMD1_ 26-28,0.27
0.3,1001,949,0.31,0.32,298.3,TMD1_30-32cm,0.31
0.34,874,1076,0.35,0.36,262.3,TMD1_34-36,0.35
0.38,747,1203,0.39,0.4,283.1,TMD1_38-40cm,0.39
0.42,618,1332,0.43,0.44,221.8,TMD1_42-44,0.43
0.46,489,1461,0.47,0.48,294,TMD1_46-48cm,0.47
0.5,359,1591,0.51,0.52,232.6,TMD1_50-52,0.51
0.54,228,1722,0.55,0.56,246.4,TMD1_54-56cm,0.55
0.58,96,1854,0.59,0.6,247.7,TMD1_58-60,0.59
0.62,-37,1987,0.63,0.64,252.8,TMD1_62-64cm,0.63
0.66,-171,2121,0.67,0.68,215.1,TMD1_66-68,0.67
0.7,-306,2256,0.71,0.72,271.1,TMD1_70-72cm,0.71
0.74,-442,2392,0.75,0.76,274.2,TMD1_ 74-76,0.75
0.78,-578,2528,0.79,0.8,280.2,TMD1_78-80cm,0.79
0.82,-716,2666,0.83,0.84,216.8,TMD1_ 82-84,0.83
0.86,-854,2804,0.87,0.88,280.2,TMD1_86-88cm,0.87
0.9,-994,2944,0.91,0.92,270,TMD1_90-92,0.91
0.94,-1134,3084,0.95,0.96,280.2,TMD1_94-96cm,0.95
0.98,-1275,3225,0.99,1,218.5,TMD1_98-100,0.99
1.02,-1418,3368,1.03,1.04,318.2,TMD1_102-104cm,1.03
1.06,-1561,3511,1.07,1.08,279.2,TMD1_106-108,1.07
1.1,-1705,3655,1.11,1.12,279.2,TMD1_110-112cm,1.11
1.14,-1850,3800,1.15,1.16,239.7,TMD1_114-116,1.15
1.18,-1996,3946,1.19,1.2,250.3,TMD1_118-120cm,1.19
1.22,-2142,4092,1.23,1.24,321,TMD1_122-124,1.23
1.26,-2290,4240,1.27,1.28,316.1,TMD1_126-128cm,1.27
0.747,-2439,4389,0.757,0.767,226.5,TMD2_74.7-76.7,1.31
