age (BP),year (AD),age (BP),d18O_vPDB (missing)
4492,-2604,4554,-8.02
4495,-2607,4557,-8.07
4498,-2610,4560,-8.04
4500,-2612,4562,-8.03
4503,-2615,4565,-7.71
4506,-2618,4568,-7.87
4508,-2620,4570,-8.07
4511,-2623,4573,-8.13
4514,-2626,4576,-8.29
4516,-2628,4578,-8.18
4519,-2631,4581,-8.31
4522,-2634,4584,-8.23
4525,-2636,4586,-8.09
4527,-2639,4589,-8.19
4530,-2642,4592,-8.22
4533,-2644,4594,-8.18
4535,-2647,4597,-8.14
4538,-2650,4600,-8.26
4541,-2652,4602,-8.15
4543,-2655,4605,-8.02
4546,-2661,4611,-8.13
4551,-2666,4616,-8.1
4556,-2672,4622,-8.22
4561,-2678,4628,-8.27
4566,-2683,4633,-8.11
4571,-2689,4639,-8.26
4576,-2695,4645,-8.36
4581,-2700,4650,-8.32
4587,-2706,4656,-8.35
4592,-2712,4662,-8.42
4597,-2717,4667,-8.12
4602,-2723,4673,-8.1
4607,-2729,4679,-8
4612,-2734,4684,-8.2
4617,-2740,4690,-8.14
4622,-2746,4696,-8.19
4627,-2751,4701,-8.26
4632,-2757,4707,-8.25
4637,-2763,4713,-8.17
4642,-2768,4718,-8.23
4647,-2774,4724,-8.32
4652,-2780,4730,-8.23
4657,-2785,4735,-8.2
4663,-2791,4741,-8.1
4668,-2797,4747,-8.35
4673,-2802,4752,-8.2
4678,-2808,4758,-8.13
4683,-2814,4764,-8.16
4688,-2819,4769,-8.07
4693,-2825,4775,-7.98
4698,-2830,4780,-8.01
4703,-2835,4785,-8
4708,-2839,4789,-8.11
4713,-2844,4794,-8.18
4718,-2849,4799,-8.14
4723,-2854,4804,-8.04
4728,-2858,4808,-8.21
4734,-2863,4813,-8.07
4739,-2868,4818,-8.13
4744,-2873,4823,-8.23
4749,-2877,4827,-8.15
4754,-2882,4832,-8.22
4759,-2887,4837,-8.18
4764,-2892,4842,-8.15
4769,-2896,4846,-8.21
4774,-2901,4851,-8.11
4779,-2906,4856,-8.2
4784,-2911,4861,-8.22
4789,-2915,4865,-8.28
4794,-2920,4870,-8.37
4799,-2925,4875,-8.44
4804,-2928,4878,-8.28
4810,-2931,4881,-8.17
4815,-2935,4885,-8.1
4820,-2938,4888,-8.27
4825,-2941,4891,-8.06
4830,-2944,4894,-8.12
4835,-2947,4897,-8.35
4840,-2951,4901,-8.37
4845,-2954,4904,-8.14
4850,-2957,4907,-8.28
4855,-2960,4910,-8.28
4860,-2963,4913,-7.93
4865,-2966,4916,-7.99
4870,-2970,4920,-8.34
4875,-2973,4923,-8.14
4880,-2976,4926,-8.15
4886,-2979,4929,-8.16
4891,-2982,4932,-8.29
4896,-2986,4936,-8.29
4901,-2989,4939,-8.25
4906,-2992,4942,-8.14
4911,-2995,4945,-8.06
4916,-2998,4948,-8.01
4921,-3002,4952,-8.01
4925,-3005,4955,-8.11
4929,-3008,4958,-8.07
4933,-3011,4961,-8.24
4937,-3014,4964,-8.25
4941,-3018,4968,-8.21
4945,-3021,4971,-8.1
4949,-3024,4974,-8.03
4953,-3027,4977,-8.05
4957,-3030,4980,-8.13
4961,-3034,4984,-7.93
4965,-3037,4987,-7.83
4969,-3040,4990,-8.1
4973,-3043,4993,-8.11
4977,-3046,4996,-8.11
4981,-3049,4999,-8.36
4985,-3053,5003,-8.26
4989,-3056,5006,-8.15
4993,-3059,5009,-8.05
4997,-3062,5012,-8.14
5000,-3065,5015,-8.19
5004,-3069,5019,-8.01
5008,-3072,5022,-7.97
5012,-3075,5025,-7.9
5016,-3082,5032,-8.11
5020,-3089,5039,-8.18
5024,-3096,5046,-8.35
5028,-3103,5053,-8.3
5032,-3110,5060,-8.3
5036,-3117,5067,-8.34
5040,-3124,5074,-8.22
5044,-3131,5081,-8.08
5048,-3138,5088,-8.48
5052,-3145,5095,-8.44
5056,-3149,5099,-8.31
5060,-3153,5103,-7.94
5064,-3157,5107,-8.1
5068,-3160,5110,-8.13
5072,-3164,5114,-8.17
5077,-3168,5118,-8.08
5082,-3172,5122,-8
5087,-3176,5126,-8.24
5092,-3180,5130,-8.27
5097,-3183,5133,-8.31
5103,-3187,5137,-8.38
5108,-3191,5141,-8.4
5113,-3195,5145,-8.22
5118,-3200,5150,-8.34
5123,-3205,5155,-8.34
5128,-3209,5159,-8.23
5133,-3214,5164,-8.2
5138,-3219,5169,-8.29
5143,-3224,5174,-8.35
5148,-3228,5178,-8.32
5154,-3233,5183,-8.38
5159,-3238,5188,-8.44
5164,-3243,5193,-8.48
5169,-3248,5198,-8.43
5174,-3252,5202,-8.24
5179,-3257,5207,-8.37
5184,-3262,5212,-8.36
5189,-3267,5217,-8.37
5194,-3272,5222,-8.2
5199,-3276,5226,-8.35
5204,-3281,5231,-8.25
5210,-3286,5236,-8.26
5215,-3291,5241,-7.99
5220,-3295,5245,-8.15
5225,-3300,5250,-8.37
5230,-3305,5255,-8.29
5235,-3311,5261,-8.37
5240,-3317,5267,-8.16
5245,-3323,5273,-8.09
5250,-3330,5280,-8.17
5255,-3336,5286,-8.36
5261,-3342,5292,-8.29
5266,-3348,5298,-8.3
5271,-3354,5304,-8.29
5276,-3360,5310,-8.34
5281,-3367,5317,-8.24
5286,-3373,5323,-8.32
5291,-3379,5329,-8.41
5296,-3385,5335,-8.52
5301,-3388,5338,-8.32
5306,-3392,5342,-8.27
5311,-3395,5345,-8.25
5317,-3398,5348,-8.32
5322,-3402,5352,-8.29
5327,-3405,5355,-8.33
5332,-3408,5358,-8.26
5337,-3412,5362,-8.37
5342,-3415,5365,-8.24
5347,-3419,5369,-8.32
5352,-3422,5372,-8.31
5357,-3425,5375,-8.22
5362,-3429,5379,-8.28
5367,-3432,5382,-8.2
5373,-3435,5385,-8.2
5375,-3437,5387,-8.08
5377,-3438,5388,-8.04
5378,-3439,5389,-8.12
5379,-3440,5390,-8.06
5381,-3441,5391,-7.98
5383,-3442,5392,-8.1
5385,-3444,5394,-8.02
5387,-3445,5395,-7.95
5388,-3445,5395,-8.09
5389,-3447,5397,-8.09
5391,-3448,5398,-8.1
5393,-3449,5399,-8.18
5398,-3453,5403,-8.19
5403,-3457,5407,-8.3
5408,-3461,5411,-8.36
5413,-3465,5415,-8.2
5418,-3467,5417,-8.21
5424,-3469,5419,-8.33
5429,-3472,5422,-8.21
5434,-3474,5424,-8.29
5439,-3476,5426,-8.24
5444,-3478,5428,-8.28
5449,-3481,5431,-8.13
5458,-3483,5433,-8.17
5467,-3485,5435,-7.9
5476,-3491,5441,-7.98
5485,-3497,5447,-8.37
5493,-3502,5452,-7.99
5502,-3508,5458,-8.13
5511,-3514,5464,-8.55
5516,-3517,5467,-8.34
5519,-3519,5469,-8.25
5520,-3520,5470,-8.14
5523,-3522,5472,-8.1
5526,-3524,5474,-8.16
5529,-3526,5476,-8.17
5533,-3529,5479,-8.58
5537,-3531,5481,-8.31
5538,-3532,5482,-8.36
5540,-3533,5483,-8.51
5544,-3536,5486,-8.66
5547,-3537,5487,-8.17
5551,-3540,5490,-8.64
5555,-3543,5493,-8.52
5556,-3543,5493,-8.31
5558,-3545,5495,-8.66
5562,-3551,5501,-8.48
5564,-3555,5505,-8.37
5569,-3563,5513,-8.47
5572,-3569,5519,-8.49
5573,-3570,5520,-8.16
5576,-3575,5525,-8.38
5579,-3581,5531,-8.23
5582,-3585,5535,-8.14
5587,-3593,5543,-8.41
5590,-3599,5549,-8.21
5591,-3600,5550,-8.1
5593,-3605,5555,-8.18
5595,-3611,5561,-8.23
5597,-3615,5565,-8.01
5602,-3621,5571,-8.08
5608,-3627,5577,-8.27
5613,-3633,5583,-8.13
5619,-3639,5589,-8.32
5625,-3645,5595,-8.3
5630,-3650,5600,-8.36
5636,-3656,5606,-8.29
5641,-3662,5612,-8.24
5647,-3668,5618,-8.22
5652,-3674,5624,-8.02
5658,-3680,5630,-8.26
5664,-3686,5636,-8.11
5669,-3692,5642,-8.28
5675,-3698,5648,-8.26
5680,-3704,5654,-8.15
5686,-3710,5660,-8.14
5692,-3715,5665,-8.25
5697,-3721,5671,-8.31
5703,-3727,5677,-8.42
5708,-3733,5683,-8.42
5714,-3739,5689,-8.36
5720,-3745,5695,-8.32
5725,-3751,5701,-8.44
5731,-3757,5707,-8.33
5736,-3763,5713,-8.35
5742,-3769,5719,-8.3
5747,-3775,5725,-8.37
5753,-3780,5730,-8.4
5759,-3786,5736,-8.3
5764,-3792,5742,-8.42
5770,-3798,5748,-8.23
5775,-3804,5754,-8.51
5781,-3810,5760,-8.5
5786,-3812,5762,-8.44
5791,-3813,5763,-8.45
5796,-3815,5765,-8.44
5801,-3816,5766,-8.37
5806,-3818,5768,-8.34
5812,-3819,5769,-8.37
5817,-3821,5771,-8.49
5822,-3822,5772,-8.38
5827,-3824,5774,-8.69
5832,-3825,5775,-8.72
5837,-3830,5780,-8.69
5842,-3835,5785,-8.52
5847,-3841,5791,-8.68
5852,-3846,5796,-8.58
5857,-3851,5801,-8.51
5862,-3856,5806,-8.62
5867,-3862,5812,-8.49
5873,-3867,5817,-8.36
5878,-3872,5822,-8.46
5883,-3877,5827,-8.41
5888,-3883,5833,-8.5
5893,-3888,5838,-8.52
5898,-3893,5843,-8.43
5903,-3898,5848,-8.56
5908,-3904,5854,-8.49
5913,-3909,5859,-8.6
5918,-3914,5864,-8.52
5923,-3919,5869,-8.53
5929,-3925,5875,-8.49
5934,-3930,5880,-8.35
5939,-3935,5885,-8.13
5944,-3940,5890,-8.41
5949,-3945,5895,-8.43
5954,-3950,5900,-8.4
5959,-3955,5905,-8.31
5964,-3960,5910,-8.38
5969,-3965,5915,-8.4
5974,-3970,5920,-8.39
5979,-3975,5925,-8.42
5985,-3980,5930,-8.46
5990,-3985,5935,-8.36
5995,-3990,5940,-8.54
6000,-3995,5945,-8.48
6005,-4000,5950,-8.53
6010,-4005,5955,-8.57
6015,-4010,5960,-8.54
6020,-4015,5965,-8.55
6025,-4020,5970,-8.48
6030,-4025,5975,-8.4
6035,-4030,5980,-8.42
6040,-4035,5985,-8.3
6046,-4040,5990,-8.46
6051,-4045,5995,-8.32
6056,-4050,6000,-8.56
6061,-4055,6005,-8.66
6066,-4062,6012,-8.44
6071,-4069,6019,-8.44
6076,-4075,6025,-8.47
6081,-4082,6032,-8.31
6086,-4089,6039,-8.38
6091,-4096,6046,-8.41
6096,-4103,6053,-8.34
6102,-4110,6060,-8.27
6107,-4116,6066,-8.19
6112,-4123,6073,-8.19
6117,-4130,6080,-8.07
6122,-4137,6087,-8.13
6127,-4144,6094,-8.03
6132,-4150,6100,-8.24
6137,-4157,6107,-8.45
6142,-4164,6114,-8.46
6147,-4171,6121,-8.45
6152,-4178,6128,-8.35
6157,-4185,6135,-8.31
6163,-4191,6141,-8.37
6168,-4198,6148,-8.26
6173,-4205,6155,-7.94
6178,-4211,6161,-8.13
6183,-4217,6167,-8.13
6188,-4223,6173,-8.34
6190,-4229,6179,-8.13
6193,-4236,6186,-8.29
6195,-4242,6192,-8.34
6198,-4248,6198,-8.31
6200,-4254,6204,-8.3
6201,-4256,6206,-8.34
6203,-4260,6210,-8.43
6204,-4262,6212,-7.8
6205,-4266,6216,-7.36
6205,-4266,6216,-7.24
6206,-4267,6217,-7.18
6206,-4269,6219,-7.43
6208,-4272,6222,-8.65
6210,-4278,6228,-8.15
6213,-4284,6234,-8.04
6215,-4291,6241,-8.12
6218,-4297,6247,-8.3
6220,-4303,6253,-8.18
6223,-4309,6259,-8.14
6225,-4315,6265,-8.21
6227,-4318,6268,-8
6230,-4320,6270,-8.15
6232,-4323,6273,-8.2
6235,-4325,6275,-8.35
6237,-4328,6278,-8.3
6240,-4330,6280,-8.44
6242,-4333,6283,-8.52
6245,-4335,6285,-8.35
6247,-4338,6288,-8.41
6250,-4340,6290,-8.43
6252,-4343,6293,-8.42
6255,-4345,6295,-8.45
6257,-4348,6298,-8.43
6261,-4350,6300,-8.49
6264,-4353,6303,-8.48
6266,-4354,6304,-8.48
6268,-4355,6305,-8.25
6270,-4356,6306,-8.35
6271,-4358,6308,-8.37
6273,-4359,6309,-8.38
6275,-4360,6310,-8.45
6277,-4361,6311,-8.42
6279,-4363,6313,-8.55
6282,-4365,6315,-8.61
6286,-4369,6319,-8.54
6289,-4374,6324,-8.44
6293,-4378,6328,-8.37
6296,-4383,6333,-8.39
6300,-4387,6337,-8.35
6304,-4392,6342,-8.25
6307,-4396,6346,-8.39
6311,-4401,6351,-8.28
6314,-4405,6355,-8.36
6318,-4409,6359,-8.25
6322,-4414,6364,-8.3
6325,-4418,6368,-8.39
6329,-4423,6373,-8.29
6332,-4427,6377,-8.39
6336,-4432,6382,-8.37
6339,-4436,6386,-8.21
6343,-4441,6391,-8.27
6347,-4445,6395,-8.15
6350,-4448,6398,-8.37
6354,-4451,6401,-8.24
6357,-4454,6404,-8.5
6361,-4457,6407,-8.43
6365,-4460,6410,-8.54
6368,-4463,6413,-8.5
6372,-4467,6417,-8.51
6375,-4470,6420,-8.54
6379,-4473,6423,-8.49
6382,-4476,6426,-8.4
6386,-4479,6429,-8.36
6390,-4482,6432,-8.34
6393,-4485,6435,-8.32
6397,-4488,6438,-8.45
6400,-4491,6441,-8.4
6404,-4494,6444,-8.4
6408,-4497,6447,-8.33
6411,-4500,6450,-8.39
6415,-4503,6453,-8.47
6418,-4507,6457,-8.44
6422,-4510,6460,-8.62
6426,-4513,6463,-8.62
6429,-4516,6466,-8.6
6433,-4519,6469,-8.62
6436,-4522,6472,-8.58
6440,-4525,6475,-8.6
6443,-4528,6478,-8.52
6447,-4531,6481,-8.53
6451,-4534,6484,-8.52
6454,-4537,6487,-8.55
6458,-4540,6490,-8.41
6461,-4543,6493,-8.43
6465,-4547,6497,-8.74
6469,-4550,6500,-8.69
6472,-4553,6503,-8.64
6476,-4556,6506,-8.58
6479,-4559,6509,-8.55
6483,-4562,6512,-8.68
6486,-4565,6515,-8.78
6490,-4568,6518,-8.62
6494,-4571,6521,-8.62
6497,-4574,6524,-8.6
6501,-4577,6527,-8.66
6504,-4580,6530,-8.64
6508,-4583,6533,-8.61
6512,-4587,6537,-8.6
6515,-4590,6540,-8.64
6519,-4593,6543,-8.63
6522,-4596,6546,-8.65
6526,-4599,6549,-8.6
6529,-4602,6552,-8.65
6533,-4605,6555,-8.37
6537,-4608,6558,-8.6
6540,-4611,6561,-8.58
6544,-4614,6564,-8.57
6547,-4617,6567,-8.41
6551,-4620,6570,-8.41
6555,-4623,6573,-8.68
6558,-4627,6577,-8.6
6562,-4630,6580,-8.6
6565,-4633,6583,-8.54
6569,-4636,6586,-8.56
6572,-4639,6589,-8.47
6576,-4642,6592,-8.6
6580,-4645,6595,-8.59
6583,-4648,6598,-8.6
6587,-4651,6601,-8.63
6590,-4654,6604,-8.51
6594,-4657,6607,-8.57
6598,-4660,6610,-8.65
6602,-4663,6613,-8.59
6607,-4667,6617,-8.63
6611,-4670,6620,-8.68
6615,-4673,6623,-8.61
6619,-4676,6626,-8.44
6623,-4679,6629,-8.49
6628,-4682,6632,-8.6
6632,-4685,6635,-8.22
6636,-4688,6638,-8.46
6640,-4691,6641,-8.66
6644,-4694,6644,-8.79
6649,-4697,6647,-8.72
6653,-4700,6650,-8.7
6657,-4703,6653,-8.64
6661,-4707,6657,-8.77
6665,-4710,6660,-8.74
6670,-4713,6663,-8.67
6674,-4716,6666,-8.65
6678,-4719,6669,-8.51
6682,-4722,6672,-8.51
6686,-4725,6675,-8.33
6691,-4728,6678,-8.56
6695,-4731,6681,-8.57
6699,-4734,6684,-8.7
6703,-4737,6687,-8.53
6707,-4740,6690,-8.62
6712,-4743,6693,-8.54
6716,-4747,6697,-8.43
6720,-4750,6700,-8.44
6724,-4753,6703,-8.51
6728,-4756,6706,-8.52
6733,-4759,6709,-8.78
6737,-4762,6712,-8.43
6741,-4765,6715,-8.34
6745,-4768,6718,-8.48
6749,-4771,6721,-8.44
6754,-4775,6725,-8.26
6758,-4778,6728,-8.44
6762,-4781,6731,-8.27
6767,-4784,6734,-8.4
6772,-4788,6738,-8.5
6777,-4791,6741,-8.46
6782,-4794,6744,-8.41
6787,-4797,6747,-8.29
6792,-4801,6751,-8.24
6797,-4804,6754,-8.42
6802,-4807,6757,-8.69
6806,-4810,6760,-8.6
6809,-4812,6762,-8.74
6811,-4814,6764,-8.67
6814,-4815,6765,-8.71
6816,-4817,6767,-8.65
6819,-4819,6769,-8.65
6821,-4820,6770,-8.7
6824,-4822,6772,-8.74
6826,-4823,6773,-8.54
6829,-4825,6775,-8.46
6831,-4828,6778,-8.53
6834,-4831,6781,-8.69
6836,-4833,6783,-8.7
6839,-4836,6786,-8.7
6841,-4839,6789,-8.71
6844,-4842,6792,-8.76
6846,-4845,6795,-8.62
6848,-4847,6797,-8.71
6851,-4850,6800,-8.59
6853,-4853,6803,-8.68
6856,-4856,6806,-8.64
6858,-4859,6809,-8.81
6861,-4861,6811,-8.78
6863,-4864,6814,-8.77
6866,-4867,6817,-8.64
6868,-4870,6820,-8.88
6871,-4873,6823,-8.71
6873,-4875,6825,-8.82
6876,-4878,6828,-8.7
6878,-4881,6831,-8.79
6881,-4884,6834,-8.63
6883,-4887,6837,-8.55
6886,-4889,6839,-8.57
6888,-4892,6842,-8.53
6890,-4895,6845,-8.44
6893,-4899,6849,-8.66
6895,-4903,6853,-8.56
6898,-4907,6857,-8.74
6900,-4911,6861,-8.55
6903,-4914,6864,-8.5
6905,-4918,6868,-8.44
6908,-4922,6872,-8.73
6910,-4926,6876,-8.67
6913,-4930,6880,-8.76
6915,-4934,6884,-8.57
6918,-4938,6888,-8.72
6920,-4942,6892,-8.62
6923,-4945,6895,-8.74
6925,-4949,6899,-8.55
6927,-4953,6903,-8.79
6930,-4957,6907,-8.76
6932,-4961,6911,-8.8
6935,-4965,6915,-8.66
6937,-4969,6919,-8.81
6940,-4973,6923,-8.74
6942,-4976,6926,-8.87
6945,-4980,6930,-8.79
6947,-4984,6934,-8.83
6950,-4988,6938,-8.97
6952,-4992,6942,-8.92
6955,-4996,6946,-8.9
6957,-5000,6950,-8.77
6960,-5004,6954,-8.87
6962,-5007,6957,-8.93
6965,-5011,6961,-8.91
6967,-5015,6965,-9.01
6969,-5019,6969,-8.93
6972,-5023,6973,-8.94
6974,-5027,6977,-8.9
6977,-5031,6981,-9.07
6979,-5035,6985,-9.02
6982,-5038,6988,-9.06
6984,-5042,6992,-8.98
6987,-5046,6996,-9.05
6989,-5050,7000,-9.04
6992,-5054,7004,-8.99
6994,-5058,7008,-9
6997,-5062,7012,-8.99
6999,-5066,7016,-9.05
7002,-5069,7019,-9
7004,-5073,7023,-8.97
7007,-5077,7027,-8.97
7009,-5081,7031,-9.07
7012,-5085,7035,-9.14
7015,-5087,7037,-9.08
7018,-5090,7040,-9.09
7021,-5092,7042,-9.05
7023,-5094,7044,-9.05
7026,-5097,7047,-8.88
7032,-5101,7051,-8.94
7038,-5106,7056,-8.92
7044,-5110,7060,-8.89
7049,-5115,7065,-8.91
7055,-5120,7070,-8.76
7061,-5124,7074,-8.8
7067,-5129,7079,-8.84
7072,-5133,7083,-8.86
7078,-5138,7088,-8.83
7084,-5143,7093,-8.8
7090,-5147,7097,-8.87
7095,-5152,7102,-8.96
7101,-5157,7107,-9.1
7107,-5161,7111,-8.93
7113,-5166,7116,-8.97
7118,-5170,7120,-8.97
7124,-5175,7125,-8.86
7130,-5180,7130,-8.97
7136,-5184,7134,-8.85
7141,-5189,7139,-8.72
7147,-5193,7143,-8.88
7153,-5198,7148,-8.8
7159,-5203,7153,-8.79
7164,-5207,7157,-8.73
7170,-5212,7162,-8.83
7176,-5217,7167,-8.81
7182,-5221,7171,-8.76
7187,-5226,7176,-8.73
7193,-5230,7180,-8.69
7199,-5235,7185,-8.66
7205,-5240,7190,-8.46
7210,-5244,7194,-8.57
7216,-5249,7199,-8.6
7222,-5253,7203,-8.53
7228,-5258,7208,-8.27
7233,-5263,7213,-8.2
7239,-5267,7217,-8.69
7245,-5272,7222,-8.45
7251,-5277,7227,-8.46
7256,-5281,7231,-8.42
7262,-5286,7236,-8.37
7268,-5290,7240,-8.36
7274,-5295,7245,-8.36
7279,-5300,7250,-8.54
7285,-5306,7256,-8.49
7291,-5311,7261,-8.52
7297,-5316,7266,-8.61
7302,-5322,7272,-8.67
7308,-5327,7277,-8.7
7314,-5332,7282,-8.65
7320,-5338,7288,-8.67
7325,-5343,7293,-8.54
7331,-5348,7298,-8.31
7337,-5354,7304,-8.48
7343,-5359,7309,-8.6
7348,-5364,7314,-8.69
7354,-5370,7320,-8.67
7360,-5375,7325,-8.68
7366,-5380,7330,-8.77
7371,-5386,7336,-8.73
7377,-5391,7341,-8.55
7383,-5396,7346,-8.47
7389,-5402,7352,-8.83
7394,-5407,7357,-8.83
7400,-5412,7362,-8.74
7406,-5418,7368,-8.85
7412,-5423,7373,-8.68
7417,-5428,7378,-8.81
7423,-5434,7384,-8.68
7429,-5439,7389,-8.77
7435,-5444,7394,-8.71
7440,-5450,7400,-8.71
7446,-5455,7405,-8.47
7452,-5460,7410,-8.58
7458,-5466,7416,-8.74
7463,-5471,7421,-8.6
7469,-5477,7427,-8.65
7475,-5482,7432,-8.85
7481,-5487,7437,-8.51
7486,-5493,7443,-8.71
7492,-5498,7448,-8.71
7499,-5503,7453,-8.69
7505,-5509,7459,-8.6
7512,-5514,7464,-8.57
7519,-5520,7470,-8.61
7525,-5525,7475,-8.63
7532,-5530,7480,-8.7
7539,-5536,7486,-8.57
7545,-5541,7491,-8.65
7552,-5547,7497,-8.61
7558,-5552,7502,-8.68
7565,-5557,7507,-8.73
7572,-5563,7513,-8.68
7578,-5568,7518,-8.77
7585,-5573,7523,-8.96
7592,-5579,7529,-9.09
7598,-5584,7534,-8.85
7605,-5590,7540,-8.69
7612,-5595,7545,-8.54
7618,-5602,7552,-8.65
7625,-5610,7560,-8.91
7632,-5617,7567,-8.91
7638,-5625,7575,-8.9
7645,-5632,7582,-8.88
7652,-5640,7590,-8.88
7658,-5647,7597,-8.84
7665,-5655,7605,-8.95
7671,-5662,7612,-8.9
7678,-5670,7620,-8.72
7685,-5677,7627,-8.73
7691,-5685,7635,-8.51
7698,-5692,7642,-8.56
7705,-5700,7650,-8.38
7711,-5707,7657,-8.33
7718,-5715,7665,-8.24
7723,-5722,7672,-8.55
7728,-5730,7680,-8.5
7733,-5737,7687,-8.64
7738,-5744,7694,-8.61
7743,-5752,7702,-8.64
7747,-5759,7709,-8.76
7752,-5767,7717,-8.67
7757,-5774,7724,-8.83
7762,-5782,7732,-8.82
7767,-5789,7739,-8.85
7772,-5797,7747,-8.85
7777,-5804,7754,-8.84
7782,-5812,7762,-8.84
7787,-5819,7769,-8.73
7792,-5827,7777,-8.69
7797,-5834,7784,-8.71
7801,-5842,7792,-8.78
7806,-5849,7799,-8.76
7811,-5857,7807,-8.68
7816,-5864,7814,-8.78
7821,-5872,7822,-8.7
7826,-5879,7829,-8.72
7831,-5887,7837,-8.73
7836,-5894,7844,-8.82
7841,-5901,7851,-8.9
7846,-5909,7859,-8.85
7850,-5916,7866,-8.95
7855,-5924,7874,-8.86
7860,-5931,7881,-8.85
7865,-5939,7889,-8.93
7868,-5943,7893,-8.69
7870,-5946,7896,-8.73
7873,-5950,7900,-8.63
7875,-5954,7904,-8.71
7879,-5958,7908,-8.71
7883,-5961,7911,-8.62
7887,-5965,7915,-8.57
7891,-5971,7921,-8.65
7895,-5977,7927,-8.59
7900,-5983,7933,-8.74
7904,-5990,7940,-8.72
7908,-5996,7946,-8.85
7912,-6002,7952,-8.73
7916,-6008,7958,-8.78
7920,-6014,7964,-8.6
7924,-6020,7970,-8.58
7928,-6026,7976,-8.64
7932,-6032,7982,-8.79
7936,-6039,7989,-8.64
7940,-6045,7995,-8.72
7944,-6051,8001,-8.65
7949,-6057,8007,-8.81
7953,-6063,8013,-8.78
7957,-6069,8019,-8.78
7961,-6075,8025,-8.71
7965,-6081,8031,-8.84
7969,-6088,8038,-8.73
7973,-6094,8044,-8.7
7977,-6100,8050,-8.64
7981,-6106,8056,-8.81
7985,-6112,8062,-8.65
7989,-6118,8068,-8.78
7993,-6124,8074,-8.62
7998,-6130,8080,-8.62
8002,-6137,8087,-8.57
8006,-6143,8093,-8.37
8010,-6149,8099,-7.94
8014,-6155,8105,-7.96
8018,-6157,8107,-7.97
8022,-6159,8109,-8.1
8026,-6162,8112,-8.21
8030,-6164,8114,-8.28
8034,-6166,8116,-8.27
8038,-6168,8118,-8.4
8042,-6171,8121,-8.53
8046,-6173,8123,-8.41
8050,-6175,8125,-8.39
8054,-6177,8127,-8.25
8058,-6179,8129,-8.43
8062,-6182,8132,-8.5
8066,-6184,8134,-8.49
8070,-6186,8136,-8.37
8074,-6188,8138,-8.57
8078,-6191,8141,-8.49
8082,-6193,8143,-8.41
8086,-6195,8145,-8.34
8090,-6200,8150,-8.51
8094,-6206,8156,-8.35
8098,-6211,8161,-8.47
8102,-6216,8166,-8.48
8106,-6222,8172,-8.55
8110,-6227,8177,-8.5
8114,-6232,8182,-8.57
8118,-6238,8188,-8.37
8122,-6243,8193,-8.78
8125,-6248,8198,-8.33
8129,-6254,8204,-8.66
8133,-6259,8209,-8.42
8136,-6264,8214,-8.66
8140,-6270,8220,-8.56
8143,-6275,8225,-8.69
8147,-6279,8229,-8.34
8151,-6283,8233,-8.48
8154,-6288,8238,-8.26
8158,-6292,8242,-8.64
8162,-6296,8246,-8.48
8169,-6300,8250,-8.49
8172,-6304,8254,-8.19
8176,-6308,8258,-8.38
8179,-6313,8263,-8.22
8184,-6317,8267,-8.27
8186,-6321,8271,-8.27
8191,-6325,8275,-8.13
8194,-6330,8280,-8.27
8198,-6334,8284,-8.14
8201,-6339,8289,-8.28
8205,-6343,8293,-8.48
8208,-6348,8298,-8.16
8213,-6352,8302,-8.24
8216,-6357,8307,-8.24
8220,-6361,8311,-8.2
8223,-6366,8316,-8.39
8227,-6370,8320,-8.26
8230,-6375,8325,-8.19
8234,-6379,8329,-8.45
8237,-6382,8332,-8.35
8242,-6386,8336,-8.35
8245,-6389,8339,-8.27
8249,-6393,8343,-8.3
8251,-6396,8346,-8.48
8253,-6400,8350,-8.41
8254,-6403,8353,-8.43
8257,-6407,8357,-8.48
8258,-6410,8360,-8.61
8261,-6414,8364,-8.45
8262,-6417,8367,-8.53
8264,-6422,8372,-8.46
8266,-6424,8374,-8.48
8268,-6429,8379,-8.51
8270,-6431,8381,-8.52
8272,-6436,8386,-8.64
8276,-6443,8393,-8.67
8280,-6450,8400,-8.63
8284,-6457,8407,-8.75
8288,-6464,8414,-8.78
8291,-6471,8421,-8.77
8295,-6478,8428,-8.78
8299,-6485,8435,-8.8
8303,-6488,8438,-8.88
8307,-6492,8442,-8.99
8311,-6495,8445,-8.88
8315,-6498,8448,-8.98
8318,-6501,8451,-8.88
8322,-6505,8455,-8.82
8326,-6508,8458,-8.83
8330,-6511,8461,-8.54
8334,-6514,8464,-8.58
8338,-6518,8468,-8.69
8342,-6521,8471,-8.66
8346,-6524,8474,-8.67
8349,-6527,8477,-8.46
8353,-6531,8481,-8.56
8357,-6534,8484,-8.72
8361,-6537,8487,-8.83
8365,-6540,8490,-8.88
8369,-6544,8494,-8.78
8373,-6547,8497,-8.83
8376,-6550,8500,-8.83
8380,-6553,8503,-8.79
8384,-6557,8507,-8.74
8388,-6560,8510,-8.8
8392,-6563,8513,-8.69
8396,-6567,8517,-8.54
8400,-6570,8520,-8.68
8403,-6573,8523,-8.65
8407,-6576,8526,-8.62
8411,-6580,8530,-8.6
8415,-6583,8533,-8.71
8419,-6586,8536,-8.73
8423,-6589,8539,-8.68
8427,-6593,8543,-8.87
8430,-6596,8546,-8.8
8434,-6599,8549,-8.82
8438,-6602,8552,-8.83
