depth (cm),age (yr BP),error (yr),type (NA)
2,1971,53,AMS14C
32,3592,69,AMS14C
77,6889,74,AMS14C
97,9136,89,AMS14C
142,13752,169,AMS14C
167,14079,182,AMS14C
202,14960,189,AMS14C
382,20120,221,AMS14C
452,28778,287,AMS14C
749,50210,NA,calibrated
