depth (cm),age (yr 14C BP),ageType (unitless),labID (unitless),age14Cuncertainty (yr 14C),measurementMaterial (unitless),notes (unitless)
193,2520,Carbon-14,112493,90,sedge peat with wood fragments,NA
252,4170,Carbon-14,112494,100,sedge peat with wood fragments,NA
