depth (m),temperature (degC),BSi (percent),TOC (percent),CaCO3 (percent)
2.67,NA,21.48,NA,NA
2.69,NA,13.28,NA,NA
2.7,NA,14.59,NA,NA
2.71,NA,15.38,NA,NA
2.72,NA,17.31,NA,NA
2.73,18.8,15.6,2.23,26
2.74,NA,24.93,NA,NA
2.75,NA,19.84,NA,NA
2.76,NA,14.55,NA,NA
2.77,NA,19.02,NA,NA
2.78,18.4,20.2,2.17,25.1
2.79,NA,14.59,NA,NA
2.8,NA,16.56,NA,NA
2.81,NA,15.91,NA,NA
2.82,NA,14.97,NA,NA
2.83,18.6,15.81,2.01,27.7
2.84,NA,19.05,NA,NA
2.85,NA,16.42,NA,NA
2.86,NA,16.29,NA,NA
2.87,NA,13.99,NA,NA
2.88,18.3,15.24,2.06,27.1
2.89,NA,16.05,NA,NA
2.9,NA,12.65,NA,NA
2.91,NA,17.64,NA,NA
2.92,NA,12.99,NA,NA
2.93,18.6,16.02,2,27.2
2.94,NA,12.29,NA,NA
2.95,NA,13.71,NA,NA
2.96,NA,14.04,NA,NA
2.98,18.5,12.61,2.01,28.7
2.99,NA,11.37,NA,NA
3,NA,12.1,NA,NA
3.01,NA,13.42,NA,NA
3.03,NA,15.04,2.44,24.7
3.04,NA,18.82,NA,NA
3.05,NA,20.56,NA,NA
3.06,NA,15.77,NA,NA
3.07,NA,12.2,NA,NA
3.08,18.1,16.22,2.19,23.3
3.09,NA,18.31,NA,NA
3.1,NA,14.06,NA,NA
3.11,NA,8.73,NA,NA
3.12,NA,10.53,NA,NA
3.13,18.9,12.21,2.02,27.4
3.14,NA,10.22,NA,NA
3.15,NA,15.03,NA,NA
3.16,NA,27.02,NA,NA
3.17,NA,18.06,NA,NA
3.18,19,10.25,2.07,31.2
3.2,NA,16.99,NA,NA
3.23,18.1,9.68,1.88,30.2
3.24,NA,9.96,NA,NA
3.25,NA,10.28,NA,NA
3.26,NA,11.88,NA,NA
3.27,NA,13.98,NA,NA
3.28,18.4,10.1,1.84,33.2
3.29,NA,13.88,NA,NA
3.3,NA,14.38,NA,NA
3.31,NA,13.89,NA,NA
3.32,NA,10.35,NA,NA
3.33,17.6,10.29,1.95,27.9
3.35,NA,11.06,NA,NA
3.36,NA,14.42,NA,NA
3.37,NA,9.17,NA,NA
3.38,18.9,8.74,1.78,29.8
3.39,NA,7.25,NA,NA
3.41,NA,9.16,NA,NA
3.42,NA,8.65,NA,NA
3.43,18.6,9.36,1.72,30.3
3.45,NA,8.71,NA,NA
3.46,NA,5.89,NA,NA
3.47,NA,3.88,NA,NA
3.48,18.5,6.53,1.78,42.2
3.49,NA,5.55,NA,NA
3.5,NA,6.42,NA,NA
3.51,NA,5.37,NA,NA
3.53,NA,7.96,1.81,38.3
3.55,NA,5.24,NA,NA
3.56,NA,5.4,NA,NA
3.57,NA,6.81,NA,NA
3.58,18.6,5.21,1.63,38.4
3.59,NA,7.44,NA,NA
3.61,NA,7.26,NA,NA
3.62,NA,6.87,NA,NA
3.63,18.4,7.51,2.03,43.7
3.64,NA,7.78,NA,NA
3.65,NA,9.33,NA,NA
3.67,NA,8.79,NA,NA
3.68,18.9,9.27,2,43.3
3.69,NA,8.33,NA,NA
3.7,NA,6.54,NA,NA
3.71,NA,6.92,NA,NA
3.72,NA,6.66,NA,NA
3.73,18.9,7.54,1.95,44.7
3.74,NA,6.57,NA,NA
3.75,NA,6.64,NA,NA
3.76,NA,7.04,NA,NA
3.78,19,6.18,1.95,45.6
3.79,NA,5.77,NA,NA
3.8,NA,5.76,NA,NA
3.82,NA,6.68,NA,NA
3.83,19,8,2.17,40.7
3.84,NA,6.75,NA,NA
3.85,NA,8.12,NA,NA
3.86,NA,8.45,NA,NA
3.87,NA,9.27,NA,NA
3.88,19.2,8.56,2.25,37.7
3.89,NA,7.49,NA,NA
3.9,NA,8.59,NA,NA
3.91,NA,8.31,NA,NA
3.92,NA,9.94,NA,NA
