year (AD),age (BP),temperature (degC)
1950,0,21.135
1900,50,21.684
1850,100,22.035
1800,150,21.648
1750,200,21.43
1700,250,21.541
1650,300,21.925
1600,350,22.053
1550,400,21.867
1500,450,21.768
1450,500,21.956
1400,550,21.61
1350,600,22.143
1300,650,22.166
1250,700,22.055
1200,750,21.961
1150,800,22.028
1100,850,22.013
1050,900,21.997
1000,950,22.036
950,1000,22.091
900,1050,22.168
850,1100,22.278
800,1150,22.156
750,1200,22.046
700,1250,21.977
650,1300,22.072
600,1350,22.167
550,1400,22.199
500,1450,21.98
450,1500,21.898
400,1550,21.942
350,1600,22.151
300,1650,22.153
250,1700,22.12
200,1750,22.2
150,1800,22.186
100,1850,21.944
50,1900,22.183
0,1950,22.058
-50,2000,22.046
-100,2050,21.926
-150,2100,21.82
-200,2150,21.903
-250,2200,21.987
-300,2250,22.048
-350,2300,22.065
-400,2350,22.081
-450,2400,22.098
-500,2450,22.114
-550,2500,22.131
-600,2550,22.147
-650,2600,22.172
-700,2650,22.209
-750,2700,22.245
-800,2750,22.281
-850,2800,22.114
-900,2850,21.962
-950,2900,22.124
-1000,2950,22.197
-1050,3000,22.108
-1100,3050,22.058
-1150,3100,22.035
-1200,3150,21.772
-1250,3200,21.415
-1300,3250,21.538
-1350,3300,21.784
-1400,3350,21.827
-1450,3400,21.842
-1500,3450,21.616
-1550,3500,21.377
-1600,3550,21.08
-1650,3600,20.856
-1700,3650,21.242
-1750,3700,21.455
-1800,3750,20.897
-1850,3800,20.577
-1900,3850,20.926
-1950,3900,21.155
-2000,3950,21.147
-2050,4000,21.217
-2100,4050,21.395
-2150,4100,21.508
-2200,4150,21.552
-2250,4200,21.47
-2300,4250,21.291
-2350,4300,21.257
-2400,4350,21.302
-2450,4400,21.304
-2500,4450,21.289
-2550,4500,21.304
-2600,4550,21.326
-2650,4600,21.159
-2700,4650,20.965
-2750,4700,20.787
-2800,4750,20.608
-2850,4800,20.43
-2900,4850,20.247
-2950,4900,20.032
-3000,4950,20.009
-3050,5000,20.811
-3100,5050,21.467
-3150,5100,21.719
-3200,5150,21.917
-3250,5200,21.893
-3300,5250,22.424
-3350,5300,22.561
-3400,5350,22.684
-3450,5400,22.568
-3500,5450,22.373
-3550,5500,22.303
-3600,5550,22.336
-3650,5600,22.295
-3700,5650,22.114
-3750,5700,21.97
-3800,5750,22.067
-3850,5800,22.164
-3900,5850,22.273
-3950,5900,22.383
-4000,5950,22.447
-4050,6000,22.492
-4100,6050,22.494
-4150,6100,22.456
-4200,6150,22.417
-4250,6200,22.378
-4300,6250,22.339
-4350,6300,22.3
-4400,6350,22.262
-4450,6400,22.148
-4500,6450,22.025
-4550,6500,22.135
-4600,6550,22.355
-4650,6600,22.462
-4700,6650,22.443
-4750,6700,22.297
-4800,6750,21.799
-4850,6800,21.335
-4900,6850,21.445
-4950,6900,21.555
-5000,6950,21.725
-5050,7000,21.906
-5100,7050,21.963
-5150,7100,21.95
-5200,7150,21.906
-5250,7200,21.822
-5300,7250,21.788
-5350,7300,21.924
-5400,7350,22.055
-5450,7400,21.947
-5500,7450,21.838
-5550,7500,21.729
-5600,7550,21.62
-5650,7600,21.512
-5700,7650,21.605
-5750,7700,21.801
-5800,7750,21.84
-5850,7800,21.84
-5900,7850,21.672
-5950,7900,21.503
-6000,7950,21.329
-6050,8000,21.154
-6100,8050,21.064
-6150,8100,21
-6200,8150,20.93
-6250,8200,20.857
-6300,8250,20.784
-6350,8300,20.73
-6400,8350,20.687
-6450,8400,20.644
-6500,8450,20.601
-6550,8500,20.665
-6600,8550,20.731
-6650,8600,20.797
-6700,8650,20.821
-6750,8700,20.75
-6800,8750,20.707
-6850,8800,20.691
-6900,8850,20.691
-6950,8900,20.699
-7000,8950,20.863
-7050,9000,21.057
-7100,9050,21.049
-7150,9100,21.051
-7200,9150,21.098
-7250,9200,21.107
-7300,9250,21.044
-7350,9300,20.953
-7400,9350,20.836
-7450,9400,20.957
-7500,9450,21.184
-7550,9500,21.194
-7600,9550,21.164
-7650,9600,20.969
-7700,9650,20.829
-7750,9700,20.899
-7800,9750,20.919
-7850,9800,20.856
-7900,9850,20.845
-7950,9900,20.876
-8000,9950,20.906
-8050,10000,20.886
-8100,10050,20.846
-8150,10100,20.807
-8200,10150,20.767
-8250,10200,20.728
-8300,10250,20.689
-8350,10300,20.64
-8400,10350,20.591
-8450,10400,20.542
-8500,10450,20.493
-8550,10500,20.443
-8600,10550,20.4
-8650,10600,20.397
-8700,10650,20.395
-8750,10700,20.392
-8800,10750,20.39
-8850,10800,20.387
-8900,10850,20.347
-8950,10900,20.224
-9000,10950,20.101
-9050,11000,19.978
