depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0.5,0,11.543,-24.014,-5.29,722.429
3,173,11.3,-24.1,-5.282,698.571
6,381,11.157,-24.114,-5.367,695.857
8,519,11.057,-24.086,-5.349,687.714
10,657,11.314,-24.129,-5.3,701.571
15,1003,11.243,-24,-5.22,692.429
20,1349,11.257,-24.086,-5.283,696.286
25,1685,11.186,-24.086,-5.314,695.857
29,1923,11.243,-24.086,-5.302,696
35,2279,11.243,-24.1,-5.312,696.714
40,2577,11.3,-24.086,-5.267,696.571
45,2874,11.171,-24.114,-5.351,693.429
50,3171,11.243,-24.114,-5.314,696.857
55,3468,11.143,-24.086,-5.317,693.571
60,3793,11.329,-24.186,-5.354,704
65,4117,11.271,-24.186,-5.357,703.143
70,4442,11.786,-24.771,-5.658,652.857
75,4767,11.171,-24.143,-5.388,690.429
80,5091,12.2,-25.543,-6.036,581.714
85,5416,12.129,-24.529,-5.625,684
90,5741,11.414,-23.843,-5.304,720
95,6065,11.4,-24.086,-5.321,712.857
100,6390,9.9,-24.171,-5.905,597.857
