year (AD),age (BP),IP25_flux (ugcm-2yr-1)
1866.754,83.246,NA
1829.616,120.384,0.347
1792.967,157.033,NA
1756.804,193.196,0.463
1721.121,228.879,0.321
1685.913,264.087,NA
1651.177,298.823,0.564
1616.907,333.093,NA
1583.098,366.902,0.186
1549.746,400.254,NA
1516.846,433.154,0.255
1484.395,465.605,NA
1452.386,497.614,NA
1420.816,529.184,0.19
1389.68,560.32,0.148
1358.974,591.026,NA
1328.693,621.307,0.346
1298.832,651.168,NA
1269.387,680.613,0.096
1240.354,709.646,NA
1211.729,738.271,0.139
1183.506,766.494,NA
1155.682,794.318,NA
1128.251,821.749,0.222
1101.211,848.789,0.131
1074.556,875.444,NA
1048.282,901.718,0.195
1022.384,927.616,NA
996.86,953.14,0.097
971.703,978.297,NA
946.911,1003.089,0.107
922.478,1027.522,NA
898.401,1051.599,NA
874.676,1075.324,0.107
851.298,1098.702,0.088
828.262,1121.738,NA
805.566,1144.434,0.154
783.205,1166.795,NA
761.175,1188.825,0.112
739.471,1210.529,NA
718.09,1231.91,0.105
697.028,1252.972,NA
676.28,1273.72,NA
655.843,1294.157,0.108
635.713,1314.287,0.109
615.885,1334.115,NA
596.356,1353.644,0.179
577.122,1372.878,NA
558.179,1391.821,0.157
539.523,1410.477,NA
521.151,1428.849,0.173
503.057,1446.943,NA
485.24,1464.76,NA
467.694,1482.306,0.207
450.416,1499.584,NA
433.402,1516.598,NA
416.648,1533.352,NA
400.152,1549.848,NA
383.908,1566.092,NA
367.914,1582.086,NA
352.165,1597.835,0.299
336.658,1613.342,0.237
321.39,1628.61,NA
306.356,1643.644,NA
291.553,1658.447,NA
276.978,1673.022,NA
262.627,1687.373,0.297
248.497,1701.503,NA
234.583,1715.417,0.162
220.883,1729.117,NA
207.392,1742.608,0.188
194.108,1755.892,NA
181.027,1768.973,NA
168.146,1781.854,0.186
155.46,1794.54,0.288
142.968,1807.032,NA
130.664,1819.336,0.251
118.547,1831.453,NA
106.613,1843.387,0.2
94.858,1855.142,NA
83.279,1866.721,0.187
71.872,1878.128,NA
60.635,1889.365,NA
49.565,1900.435,0.204
38.657,1911.343,0.511
27.91,1922.09,NA
17.319,1932.681,0.331
6.881,1943.119,NA
-3.406,1953.406,0.395
-13.546,1963.546,NA
-23.542,1973.542,0.29
-33.397,1983.397,NA
-43.114,1993.114,NA
-52.696,2002.696,0.188
-62.146,2012.146,0.283
-71.468,2021.468,NA
-80.664,2030.664,0.307
-89.736,2039.736,NA
-98.69,2048.69,0.471
-107.526,2057.526,NA
-116.248,2066.248,0.204
-124.859,2074.859,NA
-133.362,2083.362,NA
-141.76,2091.76,0.225
-150.055,2100.055,0.425
-158.25,2108.25,NA
-166.349,2116.349,0.373
-174.354,2124.354,NA
-182.267,2132.267,NA
-190.092,2140.092,NA
-197.831,2147.831,0.266
-205.487,2155.487,NA
-213.063,2163.063,NA
-220.562,2170.562,0.251
-227.985,2177.985,NA
-235.336,2185.336,NA
-242.617,2192.617,0.384
-249.831,2199.831,NA
-256.98,2206.98,NA
-264.068,2214.068,NA
-271.096,2221.096,0.281
-278.068,2228.068,NA
-284.985,2234.985,NA
-291.85,2241.85,0.293
-298.666,2248.666,NA
-305.435,2255.435,NA
-312.159,2262.159,0.402
-318.841,2268.841,NA
-325.484,2275.484,NA
-332.089,2282.089,NA
-338.66,2288.66,0.314
-345.198,2295.198,NA
-351.706,2301.706,NA
-358.185,2308.185,0.292
-364.639,2314.639,NA
-371.07,2321.07,NA
-377.48,2327.48,0.406
-383.871,2333.871,NA
-390.245,2340.245,NA
-396.604,2346.604,NA
-402.952,2352.952,0.403
-409.289,2359.289,NA
-415.618,2365.618,NA
-421.941,2371.941,0.268
-428.261,2378.261,NA
-434.579,2384.579,NA
-440.897,2390.897,0.288
-447.218,2397.218,NA
-453.543,2403.543,NA
-459.874,2409.874,NA
-466.214,2416.214,0.411
-472.565,2422.565,NA
-478.927,2428.927,NA
-485.304,2435.304,0.291
-491.698,2441.698,NA
-498.109,2448.109,NA
-504.54,2454.54,0.231
-510.994,2460.994,NA
-517.471,2467.471,NA
-523.973,2473.973,NA
-530.503,2480.503,0.481
-537.061,2487.061,NA
-543.651,2493.651,NA
-550.273,2500.273,0.307
-556.93,2506.93,NA
-563.623,2513.623,NA
-570.353,2520.353,0.353
-577.123,2527.123,NA
-583.933,2533.933,NA
-590.787,2540.787,NA
-597.685,2547.685,0.421
-604.628,2554.628,NA
-611.619,2561.619,NA
-618.66,2568.66,0.253
-625.75,2575.75,NA
-632.893,2582.893,NA
-640.09,2590.09,0.34
-647.341,2597.341,NA
-654.649,2604.649,NA
-662.015,2612.015,NA
-669.441,2619.441,0.288
-676.927,2626.927,NA
-684.475,2634.475,NA
-692.088,2642.088,0.184
-699.765,2649.765,NA
-707.508,2657.508,NA
-715.319,2665.319,0.225
-723.199,2673.199,NA
-731.149,2681.149,NA
-739.17,2689.17,NA
-747.264,2697.264,0.364
-755.432,2705.432,NA
-763.675,2713.675,NA
-771.994,2721.994,0.197
-780.391,2730.391,NA
-788.866,2738.866,NA
-797.422,2747.422,0.242
-806.057,2756.057,NA
-814.775,2764.775,NA
-823.576,2773.576,NA
-832.461,2782.461,0.24
-841.431,2791.431,NA
-850.487,2800.487,NA
-859.63,2809.63,0.152
-868.861,2818.861,NA
-878.181,2828.181,NA
-887.591,2837.591,0.203
-897.092,2847.092,NA
-906.685,2856.685,NA
-916.37,2866.37,NA
-926.149,2876.149,0.234
-936.023,2886.023,NA
-945.991,2895.991,NA
-956.056,2906.056,0.189
-966.217,2916.217,NA
-976.476,2926.476,NA
-986.834,2936.834,0.196
-997.29,2947.29,NA
-1007.846,2957.846,NA
-1018.503,2968.503,NA
-1029.261,2979.261,0.201
-1040.121,2990.121,NA
-1051.083,3001.083,NA
-1062.148,3012.148,0.15
-1073.317,3023.317,NA
-1084.591,3034.591,NA
-1095.969,3045.969,0.201
-1107.452,3057.452,NA
-1119.042,3069.042,NA
-1130.737,3080.737,NA
-1142.54,3092.54,0.133
-1154.45,3104.45,NA
-1166.468,3116.468,NA
-1178.595,3128.595,0.167
-1190.83,3140.83,NA
-1203.174,3153.174,NA
-1215.627,3165.627,0.201
-1228.191,3178.191,NA
-1240.864,3190.864,NA
-1253.648,3203.648,NA
-1266.543,3216.543,0.2
-1279.549,3229.549,NA
-1292.666,3242.666,NA
-1305.895,3255.895,0.163
-1319.236,3269.236,NA
-1332.689,3282.689,NA
-1346.254,3296.254,0.184
-1359.931,3309.931,NA
-1373.721,3323.721,NA
-1387.624,3337.624,NA
-1401.64,3351.64,0.15
-1415.768,3365.768,NA
-1430.009,3380.009,NA
-1444.364,3394.364,0.181
-1458.831,3408.831,NA
-1473.412,3423.412,NA
-1488.106,3438.106,0.208
-1502.913,3452.913,NA
-1517.833,3467.833,NA
-1532.866,3482.866,NA
-1548.012,3498.012,0.166
-1563.27,3513.27,NA
-1578.642,3528.642,NA
-1594.126,3544.126,NA
-1609.723,3559.723,NA
-1625.432,3575.432,NA
-1641.253,3591.253,NA
-1657.186,3607.186,NA
-1673.231,3623.231,NA
-1689.387,3639.387,NA
-1705.654,3655.654,0.237
-1722.032,3672.032,NA
-1738.521,3688.521,NA
-1755.121,3705.121,0.188
-1771.83,3721.83,NA
