year (AD),age (BP),depth (m),temperature (degC),TT (degC),d18O (permil),Mg/Ca (mmol/mol),uncertainty.temperature (degC),Ndutertreid18O (permil),NdutertreiMg/Ca (mmol/mol),TTerror (degC)
1600,350,0.02,NA,NA,-2.3,NA,NA,NA,NA,NA
1460,490,0.04,27.68,24.33,-2.04,4.87,1.24,-1.29,3.06,0.81
1350,600,0.06,28.35,25.41,-1.97,4.63,1.2,-1.19,3.37,0.87
1200,750,0.08,27.78,24.43,-1.97,4.45,1.17,NA,3.08,0.82
1020,930,0.1,27.34,24.31,-2.12,4.74,1.22,-1.31,3.05,0.81
870,1080,0.12,28.04,24.94,-1.95,4.79,1.22,NA,3.23,0.84
720,1230,0.14,28.15,23.73,-2.13,4.54,1.19,-1.07,2.9,0.78
550,1400,0.16,27.55,24.21,-1.96,4.73,1.21,-1.26,3.02,0.8
400,1550,0.18,28.01,24.65,-2.17,4.69,1.21,NA,3.14,0.83
240,1710,0.2,27.93,23.54,-1.99,4.44,1.17,-1.03,2.85,0.77
90,1860,0.22,27.31,22.98,-2.12,4.53,1.18,NA,2.71,0.74
-70,2020,0.24,27.53,24.67,-2.1,4.29,1.15,-1.14,3.15,0.83
-230,2180,0.26,26.93,23.68,-2.22,4.8,1.22,-1.48,2.88,0.78
-380,2330,0.28,28.19,23.03,-2.05,4.99,1.25,NA,2.72,0.74
-560,2510,0.3,28.61,23.06,-2.37,4.43,1.17,-1.27,2.73,0.74
-720,2670,0.32,27.3,23.16,-2.15,4.71,1.21,NA,2.75,0.75
-890,2840,0.34,27.97,23.29,-2.01,4.78,1.22,-0.9,2.78,0.75
-1060,3010,0.36,28.14,23.66,-2.13,4.53,1.18,-1,2.88,0.77
-1230,3180,0.38,27.54,24.38,-2.04,4.32,1.15,NA,3.07,0.81
-1400,3350,0.4,27.01,23.88,-2.26,5.17,1.28,-1.16,2.93,0.79
-1570,3520,0.42,29.01,22.89,NA,4.72,1.21,NA,2.68,0.73
-1730,3680,0.44,27.99,23.46,-2.2,4.44,1.17,-0.74,2.82,0.76
-1900,3850,0.46,27.31,22.95,-2.05,4.36,1.16,-0.9,2.7,0.74
-2050,4000,0.48,27.12,22.91,-1.9,4.5,1.18,NA,2.69,0.74
-2200,4150,0.5,27.46,23.47,-2.1,4.63,1.2,-1.03,2.83,0.76
-2360,4310,0.52,27.77,22.2,-2.08,4.51,1.18,NA,2.52,0.7
-2470,4420,0.54,27.48,23.48,-2.04,4.91,1.24,-1.11,2.83,0.76
-2600,4550,0.56,28.43,23.11,-2.03,4.75,1.22,-1.12,2.74,0.75
-2720,4670,0.58,28.07,22.55,-1.94,4.57,1.19,NA,2.6,0.72
-2820,4770,0.6,27.63,22.75,-1.88,4.53,1.18,-1.08,2.65,0.73
-2900,4850,0.62,27.53,23.22,-2.12,4.65,1.2,NA,2.76,0.75
-3010,4960,0.64,27.83,23.92,-2.11,4.9,1.24,-1.14,2.95,0.79
