depth (cm),age (BP),temperature (degC)
0,0,6.354
5,273.023,8.206
13,709.86,7.313
21,1146.698,6.109
29,1328.133,6.534
37,1492.541,7.369
45,1656.949,7.431
53,1821.357,7.086
61,1985.765,7.443
70,2170.725,7.199
77,2290,8.577
85,2424.154,8.005
93,2558.308,6.779
101,2692.461,7.558
109,2826.615,8.261
117,3170.391,8.179
125,3528.141,8.139
133,3885.891,8.072
141,4243.641,7.429
149,4471.729,8.645
157,4691.174,9.438
165,4910.618,8.886
173,5130.062,8.638
181,5349.507,9.312
189,5568.951,8.959
197,5788.396,9.529
205,6007.84,9.116
213,6227.285,9.637
221,6458.292,9.801
229,6690.069,9.862
237,6921.847,9.712
245,7153.625,10.367
249,7269.514,9.554
253,7385.403,9.46
257,7501.292,9.272
261,7617.181,9.978
265,7733.069,9.146
269,7848.958,9.018
273,7964.847,7.822
277,8080.736,7.861
281,8196.625,8.375
285,8312.514,8.844
289,8390,7.688
293,8462,8.505
297,8534,9.161
301,8606,8.407
305,8678,7.981
309,8750,7.469
317,8894,8.067
