year (AD),age (BP),d13C (PDB),d18O (m)
1995,-45,-6.16,24.58
1956,-6,-5.51,24.99
1936,14,-6.45,24.57
1885,65,-8.93,24.07
1828,122,-8.21,24.19
1759,191,-8.2,24.57
1680,270,-9.17,24.05
1552,398,-7.49,24.15
1436,514,-7.45,24.37
1345,605,-7.06,24.43
1274,676,-7.45,24.14
1203,747,-7.45,24.02
1132,818,-7.2,24.4
1043,907,-6.92,24.38
954,996,-7.34,24.19
812,1138,-7.05,24.23
720,1230,-7,24.2
599,1351,-7.89,24.13
474,1476,-7.92,23.84
350,1600,-8.08,23.98
264,1686,-8.34,24.37
205,1745,-8.06,24.29
144,1806,-7.85,24.29
83,1867,-9.02,24.07
23,1927,-8.87,24.09
-38,1988,-7.75,24.49
-89,2039,-8.43,24.44
-139,2089,-8.38,24.39
-197,2147,-7.4,24.64
-283,2233,-7.31,25.02
-362,2312,-7.05,24.99
-426,2376,-6.86,25.14
-496,2446,-6.7,25.29
-587,2537,-6.73,25.27
-666,2616,-6.37,25.47
-747,2697,-6.53,25.32
-828,2778,-6.41,25.69
-901,2851,-5.49,25.65
-929,2879,-6.02,25.62
-965,2915,-5.61,25.95
-980,2930,-6.05,25.88
-1008,2958,-5.78,25.66
-1035,2985,-6.24,26.73
-1052,3002,-5.9,25.76
-1081,3031,-5.97,25.73
-1101,3051,-5.82,25.83
-1124,3074,-5.39,25.9
-1152,3102,-5.67,25.81
-1172,3122,-5.93,25.66
-1192,3142,-6.05,25.74
-1218,3168,-6.2,25.33
-1248,3198,-5.17,25.75
-1273,3223,-6,25.59
-1299,3249,-5.69,25.89
-1311,3261,-4.49,26.15
-1332,3282,-5.01,25.7
-1354,3304,-6.38,25.7
-1375,3325,-6,26.19
-1395,3345,-6.32,25.72
-1416,3366,-5.93,25.94
-1433,3383,-6.3,25.97
-1451,3401,-5.83,26.36
-1471,3421,-6.52,26.06
-1489,3439,-6.44,25.9
-1511,3461,-6.19,26.11
-1532,3482,-6.63,25.66
-1550,3500,-6.57,25.83
-1575,3525,-6.21,25.79
-1596,3546,-5.58,26.31
-1614,3564,-6.66,25.81
-1639,3589,-6.61,25.75
-1660,3610,-6.66,26.23
-1681,3631,-6.65,25.95
-1703,3653,-6.59,25.9
-1726,3676,-6.31,25.73
-1751,3701,-6.79,25.79
-1772,3722,-6.67,25.99
-1791,3741,-7.18,25.64
-1809,3759,-7.14,25.8
-1832,3782,-6.11,25.82
-1850,3800,-6.2,26.06
-1872,3822,-6.17,25.88
-1892,3842,-5.33,25.98
-1915,3865,-6.54,25.82
-1938,3888,-5.81,26.25
-1961,3911,-6.12,25.8
-1984,3934,-6.6,26.18
-2000,3950,-7.01,26.1
-2016,3966,-6.52,25.81
-2039,3989,-6,26.28
-2057,4007,-6.85,25.99
-2080,4030,-6.7,26.13
-2098,4048,-6.11,26.25
-2117,4067,-6.08,25.59
-2135,4085,-5.81,26.24
-2158,4108,-6.03,25.7
-2190,4140,-6.09,26.22
-2204,4154,-5.74,26.13
-2204,4154,-5.74,26.13
-2232,4182,-5.28,25.81
-2250,4200,-5.31,26.36
-2268,4218,-5.81,26.38
-2291,4241,-5.4,26.09
-2308,4258,-6.35,25.79
-2313,4263,-6.07,26.06
-2320,4270,-5.36,25.97
-2327,4277,-5.5,25.99
-2332,4282,-5.58,26.24
-2339,4289,-5.49,25.89
-2346,4296,-5.72,26.41
-2352,4302,-5.51,26.21
-2360,4310,-5.24,26.03
-2365,4315,-5.02,26.2
-2370,4320,-5.52,26.17
-2379,4329,-5.87,26.11
-2384,4334,-5.28,26.28
-2390,4340,-6.24,26.21
-2398,4348,-5.95,25.74
-2405,4355,-5.5,26.38
-2411,4361,-5.78,26.51
-2418,4368,-6.24,25.98
-2426,4376,-4.94,26.07
-2433,4383,-5.5,26.28
-2440,4390,-5,25.86
-2447,4397,-4.75,26.23
-2452,4402,-5.71,26.07
-2460,4410,-5.61,25.92
-2466,4416,-5.98,26.07
-2471,4421,-5.42,25.99
-2480,4430,-5.44,25.73
-2489,4439,-5.57,25.83
-2495,4445,-6.08,26.49
-2504,4454,-5.51,26.2
-2512,4462,-4.3,26.45
-2542,4492,-3.57,26.5
-2569,4519,-5.6,26.23
-2637,4587,-5.54,25.78
-2705,4655,-5.98,25.58
-2787,4737,-6.13,25.85
-2854,4804,-5.28,25.6
-2922,4872,-5.43,26.08
-3001,4951,-6.38,25.98
-3058,5008,-5.5,25.71
-3126,5076,-4.79,26.13
-3188,5138,-5.17,26.11
-3262,5212,-5.19,25.98
-3303,5253,-4.55,26.42
-3384,5334,-4.6,25.98
-3427,5377,-4.92,25.63
-3479,5429,-5.11,25.58
-3547,5497,-5.69,25.71
-3596,5546,-5.64,25.61
-3642,5592,-4.55,25.39
-3669,5619,-5.07,25.43
-3723,5673,-6.2,24.99
-3772,5722,-4.35,26.51
-3818,5768,-4.18,26.4
-3873,5823,-4.22,26.39
-3914,5864,-5.22,26.12
-3954,5904,-5.29,26.15
-3995,5945,-4.35,26.39
-4036,5986,-4.89,26.55
-4104,6054,-4.7,26.57
-4171,6121,-5.1,26.25
-4231,6181,-5.13,25.92
-4307,6257,-5.8,26.09
-4375,6325,-5.64,25.89
-4443,6393,-4.82,26.13
-4497,6447,-5.07,25.67
-4552,6502,-6.15,25.64
-4620,6570,-5.61,25.53
-4674,6624,-6.21,25.69
-4742,6692,-5.94,25.5
-4796,6746,-5.61,26.1
-4856,6806,-6.26,25.66
-4932,6882,-5.82,25.73
-5000,6950,-5.36,25.44
-5068,7018,-5.93,25.67
-5122,7072,-5.86,25.45
-5190,7140,-5.77,25.64
-5236,7186,-6.69,25.74
-5326,7276,-6.07,25.36
-5380,7330,-6.08,25.43
-5448,7398,-5.75,25.66
-5516,7466,-5.42,25.83
-5584,7534,-4.47,26.39
-5638,7588,-5.18,25.7
-5692,7642,-4.81,25.63
-5747,7697,-6.66,24.76
-5801,7751,-6.66,25.4
-5869,7819,-6.57,24.66
-5897,7847,-6.74,24.95
-5912,7862,-7.4,24.62
-5932,7882,-6.97,24.28
-5953,7903,-7.56,24.44
-5970,7920,-7.12,24.58
-5992,7942,-8.13,24.16
-6009,7959,-9.15,23.73
-6026,7976,-8.85,24.49
-6048,7998,-9.46,23.85
-6065,8015,-9.55,23.9
-6082,8032,-9.35,24.15
-6104,8054,-8.29,24.42
-6121,8071,-8.76,24.29
-6143,8093,-8.85,24.42
-6160,8110,-8.6,24.43
-6173,8123,-8.41,24.43
-6190,8140,-9.52,24.21
-6211,8161,-9,24.39
-6237,8187,-8.84,24.29
-6259,8209,-8.66,24.64
-6280,8230,-9.18,24.1
-6298,8248,-9.81,23.96
-6315,8265,-8.48,24.61
-6332,8282,-8.85,24.78
-6354,8304,-9.56,24.13
-6375,8325,-8.89,24.57
-6397,8347,-10.12,24.55
-6418,8368,-10.26,24.39
-6434,8384,-10.2,24.53
-6444,8394,-10.17,24.57
-6461,8411,-8.58,24.9
-6479,8429,-9.69,24.53
-6496,8446,-9.67,24.2
-6509,8459,-9.98,24.1
-6522,8472,-9.85,24.57
