depth (cm),age (yr bp),error (yr),material (),type ()
245,8960,60,G. ruber and G. bulloides,AMS14C
265,9170,60,G. ruber,AMS14C
292.5,9960,50,G. ruber and G. bulloides,AMS14C
305,10630,120,G. ruber and G. bulloides,AMS14C
314,10650,40,G. ruber and G. bulloides,AMS14C
330,11160,40,G. ruber and G. bulloides,AMS14C
345,12260,90,G. ruber and G. bulloides,AMS14C
365,13130,110,G. ruber and G. bulloides,AMS14C
405,14490,110,G. ruber and G. bulloides,AMS14C
451,15430,60,G. ruber and G. bulloides,AMS14C
500,15960,150,G. ruber and G. bulloides,AMS14C
551,17940,70,G. ruber and G. bulloides,AMS14C
601,19120,70,G. ruber and G. bulloides,AMS14C
652,20590,70,G. ruber and G. bulloides,AMS14C
701,21060,80,G. ruber and G. bulloides,AMS14C
724,22160,140,G. ruber and G. bulloides,AMS14C
783,25140,250,G. ruber and G. bulloides,AMS14C
801,26130,100,G. ruber and G. bulloides,AMS14C
851,28650,120,G. ruber and G. bulloides,AMS14C
