year (AD),age (BP),depth (cm),JulT (degC),JulT-eSEP (degC),JulTanom (degC),JulTanomLoess (degC)
2008,-58,0,13.524,1.553,-0.259,-0.431
1903,47,15,12.984,1.542,-0.799,-0.205
1868,82,20,13.871,1.562,0.088,-0.138
1727,223,40,14.511,1.559,0.728,0.12
1657,293,50,13.897,1.554,0.114,-0.041
1587,363,60,13.614,1.553,-0.169,-0.19
1446,504,80,12.701,1.544,-1.082,-0.135
1306,644,100,14.435,1.571,0.652,-0.2
1165,785,120,13.27,1.563,-0.513,0.054
1025,925,140,14.693,1.549,0.911,0.021
987,963,150,13.804,1.547,0.021,-0.03
907,1043,160,13.359,1.537,-0.423,-0.125
748,1202,180,13.116,1.553,-0.667,-0.224
594,1356,200,13.748,1.551,-0.035,-0.229
445,1505,220,13.655,1.553,-0.128,0.069
303,1647,240,14.234,1.519,0.452,0.21
236,1714,250,14.345,1.605,0.562,0.179
171,1779,260,13.973,1.535,0.191,0.073
49,1901,280,13.167,1.53,-0.616,-0.284
-64,2014,300,13.216,1.542,-0.566,-0.573
-173,2123,320,13.005,1.523,-0.778,-0.428
-281,2231,340,13.503,1.545,-0.28,-0.219
-335,2285,350,14.15,1.557,0.368,-0.074
-390,2340,360,13.61,1.55,-0.172,-0.004
-504,2454,380,14.181,1.58,0.398,-0.045
-627,2577,400,13.214,1.546,-0.569,0.031
-761,2711,420,14.032,1.554,0.249,0.192
-909,2859,440,14.986,1.538,1.203,0.285
-990,2940,450,13.534,1.57,-0.249,0.289
-1076,3026,460,13.925,1.547,0.143,0.283
-1264,3214,480,14.055,1.586,0.273,0.542
-1476,3426,500,14.974,1.526,1.191,0.712
-1707,3657,520,14.476,1.564,0.694,0.679
-1954,3904,540,14.618,1.55,0.836,0.35
-2082,4032,550,13.467,1.526,-0.316,0.207
-2212,4162,560,13.493,1.535,-0.29,0.218
-2476,4426,580,14.27,1.571,0.488,0.353
-2741,4691,600,14.489,1.534,0.706,0.667
-3002,4952,620,14.583,1.536,0.801,0.74
-3260,5210,640,15.301,1.58,1.519,0.669
-3388,5338,650,13.825,1.544,0.042,0.617
-3516,5466,660,13.862,1.538,0.08,0.647
-3769,5719,680,14.652,1.558,0.869,0.584
-4021,5971,700,14.868,1.542,1.085,0.641
-4271,6221,720,13.566,1.529,-0.217,0.785
-4521,6471,740,15.502,1.575,1.72,0.912
-4646,6596,750,14.047,1.529,0.265,1.092
-4771,6721,760,15.491,1.54,1.708,1.195
-5022,6972,780,15.391,1.617,1.608,1.187
-5274,7224,800,14.777,1.542,0.994,1.067
-5528,7478,820,14.367,1.528,0.584,0.809
-5785,7735,840,14.409,1.521,0.626,0.731
-5914,7864,850,14.462,1.532,0.679,0.726
-6045,7995,860,15.346,1.541,1.563,0.724
-6176,8126,870,13.734,1.524,-0.048,0.698
-6308,8258,880,14.518,1.534,0.735,0.643
-6575,8525,900,14.478,1.52,0.696,0.781
-6845,8795,920,14.993,1.545,1.211,0.906
-6981,8931,930,14.557,1.589,0.774,0.852
-7117,9067,940,14.63,1.554,0.847,0.753
-7254,9204,950,14.906,1.523,1.123,0.529
-7390,9340,960,13.373,1.566,-0.409,0.442
-7663,9613,980,14.329,1.559,0.547,0.199
-7808,9758,990,13.897,1.553,0.114,0.116
-7970,9920,1000,13.691,1.536,-0.092,0.054
-8384,10334,1020,13.679,1.518,-0.104,-0.404
-8979,10929,1040,12.842,1.518,-0.94,-1.452
-9164,11114,1045,11.167,1.525,-2.615,-1.742
-9533,11483,1054,11.263,1.601,-2.519,-2.3
-9806,11756,1060,11.694,1.53,-2.089,-2.582
-9999,11949,1064,11.056,1.544,-2.727,-2.844
-10305,12255,1070,9.736,1.55,-4.046,-3.19
-10411,12361,1072,10.608,1.547,-3.174,-3.243
-10574,12524,1075,10.21,1.518,-3.572,-3.165
-10855,12805,1080,11.895,1.518,-1.887,-3.325
-11147,13097,1085,9.69,1.513,-4.092,-3.596
-11448,13398,1090,9.644,1.51,-4.139,-3.932
-11756,13706,1095,8.437,1.524,-5.346,-3.907
-12070,14020,1100,11.128,1.517,-2.654,-3.8
