depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
0,0,11.662,12.529,10.794,Y
3,274,10.28,11.166,9.394,Y
8,548,10.681,11.556,9.806,Y
13,822,10.892,11.775,10.01,Y
18,1096,10.772,11.648,9.895,Y
23,1370,10.245,11.131,9.358,Y
28,1518.7,10.856,11.732,9.981,Y
33,1667.4,10.202,11.083,9.322,Y
38,1816.1,10.774,11.651,9.898,Y
43,1964.8,10.502,11.388,9.617,Y
48,2113.5,10.85,11.728,9.973,Y
53,2262,10.12,11.006,9.233,Y
58,2356.2,11.411,12.29,10.532,Y
63,2450.4,11.039,11.922,10.156,Y
68,2544.6,11.568,12.445,10.69,Y
73,2638.8,10.413,11.302,9.523,Y
78,2733,11.569,12.445,10.694,Y
83,2827,10.863,11.736,9.99,Y
88,2931,11.764,12.636,10.891,Y
93,3035,11.194,12.074,10.314,Y
98,3139,11.542,12.414,10.669,Y
103,3243,10.726,11.601,9.851,Y
108,3347,10.247,11.131,9.363,Y
113,3451,10.839,11.716,9.963,Y
118,3626.9,11.565,12.437,10.692,Y
123,3802.8,10.32,11.204,9.437,Y
128,3978.7,11.023,11.916,10.129,Y
133,4154.6,10.302,11.183,9.422,Y
138,4330.5,11.657,12.532,10.782,Y
143,4506.4,11.115,11.991,10.239,Y
148,4682.3,11.096,11.993,10.199,Y
153,4858,10.742,11.625,9.859,Y
158,5030.2,10.939,11.821,10.056,Y
163,5202.4,10.964,11.843,10.084,Y
168,5374.6,11.201,12.074,10.327,Y
173,5546.8,11.196,12.069,10.323,Y
178,5719,11.116,11.993,10.239,Y
183,5891.2,10.734,11.62,9.849,Y
188,6063.4,11.868,12.737,11,Y
193,6235.6,11.146,12.024,10.267,Y
198,6407.8,11.677,12.548,10.806,Y
203,6580,10.419,11.308,9.531,Y
208,6752.2,11.847,12.721,10.972,Y
213,6924.4,10.974,11.858,10.09,Y
218,7096.6,11.63,12.502,10.758,Y
223,7268.8,11.785,12.654,10.916,Y
228,7441,10.262,11.139,9.384,Y
233,7613,11.02,11.903,10.137,Y
238,7912,11.162,12.041,10.284,Y
243,8211,11.253,12.128,10.377,Y
248,8510,11.145,12.033,10.256,Y
253,8809,10.711,11.591,9.831,Y
258,9108,10.546,11.429,9.663,Y
263,9407,11.211,12.093,10.33,Y
268,9706,12.123,12.995,11.251,Y
273,10005,11.12,11.99,10.25,Y
278,10304,11.93,12.797,11.063,Y
283,10603,11.761,12.628,10.894,Y
288,10902,11.217,12.087,10.348,Y
293,11201,10.95,11.819,10.082,Y
295,11500,10.335,11.209,9.462,Y
