year (AD) [1-1],age (BP) [1-1],C9960x2D1 (permil) [1-1],year (AD) [2-1],age (BP) [2-1],C9960x2D2 (permil) [2-1]
1998,-48,-7.87,1958,-8,-7.96
1995,-45,-8.03,1912,38,-8.37
1992,-42,-8.02,1865,85,-8.51
1989,-39,-8.3,1819,131,-9.2
1985,-35,-8.33,1772,178,-10.24
1981,-31,-8.39,1726,224,-9.41
1978,-28,-8.24,1679,271,-8.46
1975,-25,-7.99,1663,287,-9.41
1971,-21,-8.03,1646,304,-8.81
1968,-18,-7.95,1630,320,-9.05
1959,-9,-7.54,1616,334,-8.73
1956,-6,-8.34,1601,349,-6.88
1953,-3,-8.42,1586,364,-7.47
1952,-2,-8.62,1572,378,-8.75
1950,0,-8.55,1557,393,-8.67
1945,5,-8.5,1541,409,-9.18
1942,8,-8.68,1526,424,-9.67
1938,12,-8.38,1511,439,-8.75
1935,15,-8.1,1497,453,-7.74
1934,16,-8.51,1482,468,-8.51
1932,18,-8.99,1467,483,-9.36
1923,27,-9.59,1451,499,-9.44
1920,30,-9.73,1435,515,-9.29
1917,33,-9.16,1419,531,-9.83
1913,37,-8.62,1402,548,-8.98
1910,40,-9.05,1386,564,-8.43
1906,44,-9.15,1370,580,-8.76
1903,47,-9.41,1353,597,-9.25
1899,51,-8.59,1337,613,-8.83
1896,54,-8.65,1321,629,-9.63
1892,58,-9,1305,645,-9.03
1888,62,-9.95,1288,662,-7
1885,65,-8.65,1272,678,-7.86
1881,69,-8.53,1217,733,-9.04
1881,69,-8.15,1162,788,-9.54
1878,72,-8.93,1107,843,-8.31
1870,80,-9.08,1052,898,-8.5
1866,84,-9.38,998,952,-7.88
1863,87,-10.39,943,1007,-8.82
1860,90,-10.93,888,1062,-8.76
1856,94,-9.54,833,1117,-9.58
1852,98,-8.85,778,1172,-9.28
1849,101,-8.77,737,1213,-7.9
1845,105,-8.09,695,1255,-8.34
1842,108,-7.78,654,1296,-8.45
1839,111,-8.06,613,1337,-10.23
1835,115,-9.01,572,1378,-9.95
1832,118,-9.42,531,1419,-10.36
1828,122,-9.25,489,1461,-10.34
1824,126,-9.57,448,1502,-10.15
1821,129,-9.69,407,1543,-8.56
1817,133,-9.53,366,1584,-8.82
1813,137,-10.23,324,1626,-9.55
1810,140,-10.23,283,1667,-9.95
1806,144,-10.74,242,1708,-8.38
1803,147,-8.89,184,1766,-9.03
1799,151,-8.97,127,1823,-10.25
1796,154,-8.83,69,1881,-10
1792,158,-9.31,12,1938,-8.7
1788,162,-7.75,-46,1996,-8.74
1785,165,-7.9,-103,2053,-10.11
1782,168,-8.76,-161,2111,-8.82
1778,172,-8.17,-218,2168,-8.57
1775,175,-7.74,-276,2226,-9.63
1771,179,-8.19,-334,2284,-8.95
1768,182,-8.68,-391,2341,-8.94
1763,187,-8.91,-449,2399,-8.38
1760,190,-8.63,-506,2456,-9.05
1757,193,-8.64,-564,2514,-8.58
1754,196,-9,-621,2571,-7.78
1750,200,-8.83,-679,2629,-8.42
1746,204,-8.48,-736,2686,-9.42
1743,207,-8.11,-794,2744,-7.46
1740,210,-8.25,-852,2802,-7.34
1736,214,-7.76,-909,2859,-8.65
1732,218,-7.84,-967,2917,-9.29
1728,222,-8.86,-1024,2974,-8.36
1725,225,-8.94,-1082,3032,-9.68
1722,228,-8.83,-1139,3089,-9.07
1718,232,-9.21,-1197,3147,-8.62
1714,236,-8.91,-1254,3204,-8.73
1711,239,-9.1,-1312,3262,-9.28
1708,242,-9.18,-1369,3319,-10.43
1704,246,-9.4,-1427,3377,-9.33
1700,250,-9.05,-1489,3439,-9.72
1697,253,-9.11,-1552,3502,-9.39
1693,257,-9.77,-1614,3564,-9.37
1689,261,-9.84,-1676,3626,-9.71
1688,262,-9.49,-1738,3688,-10.4
1686,264,-9.07,-1801,3751,-8.97
1682,268,-8.4,-1863,3813,-8.21
1677,273,-8.5,-1925,3875,-9.34
1675,275,-8.67,-1987,3937,-8.88
1671,279,-8.91,-2050,4000,-9.3
1668,282,-9.17,-2112,4062,-10
1665,285,-9.2,-2174,4124,-9.91
1659,291,-9.42,-2237,4187,-10.17
1657,293,-9.79,-2299,4249,-9.89
1656,294,-9.9,-2361,4311,-10.71
1654,296,-10.1,-2383,4333,-11.08
1650,300,-9.75,-2404,4354,-10.25
1648,302,-9.33,-2426,4376,-10.3
1647,303,-9.21,-2447,4397,-9.6
1646,304,-8.95,-2463,4413,-10.1
1644,306,-9.17,-2473,4423,-11.43
1641,309,-8.83,-2483,4433,-10.58
1639,311,-9.22,-2493,4443,-10.57
1638,312,-9.64,-2503,4453,-10.08
1637,313,-9.86,-2513,4463,-8.67
1635,315,-9.87,-2524,4474,-8.63
1633,317,-9.37,-2534,4484,-9.31
1631,319,-9.65,-2544,4494,-10
1628,322,-9.28,-2554,4504,-10.47
1624,326,-8.44,-2564,4514,-8.24
1622,328,-7.46,-2574,4524,-9.37
1620,330,-7.96,-2584,4534,-9.72
1618,332,-8.23,-2594,4544,-10.15
1616,334,-8.2,-2640,4590,-9.43
1615,335,-8.35,-2686,4636,-9.51
1613,337,-8.52,-2732,4682,-10.13
1612,338,-8.88,-2779,4729,-9.91
1610,340,-8.93,-2825,4775,-9.94
1609,341,-9,-2871,4821,-10.96
1607,343,-9.1,-2917,4867,-10.36
1605,345,-8.95,-2963,4913,-8.69
1602,348,-8.96,-3009,4959,-8.35
1599,351,-8.55,-3055,5005,-8.09
1596,354,-8.44,-3101,5051,-8.86
1593,357,-8.32,-3148,5098,-9.15
1590,360,-8.24,-3194,5144,-9.63
1589,361,-8.64,-3240,5190,-10.58
1587,363,-8.88,-3286,5236,-9.05
1586,364,-8.73,-3332,5282,-9.94
1583,367,-9.07,-3378,5328,-10.75
1580,370,-9.34,-3424,5374,-10.89
1577,373,-10.4,-3470,5420,-9.76
1576,374,-10.1,-3516,5466,-10.54
1573,377,-9.87,-3563,5513,-9.58
1570,380,-10.44,-3609,5559,-9.39
1568,382,-10.41,-3655,5605,-10.01
1567,383,-9.93,-3701,5651,-9.95
1565,385,-9.4,-6345,8295,-9.91
1562,388,-8.81,-6456,8406,-9.8
1559,391,-8.35,-6567,8517,-9.49
1558,392,-8.48,-6678,8628,-10.18
1556,394,-8.33,-6789,8739,-9.78
1553,397,-8.15,-6900,8850,-10.02
1551,399,-8.07,-7011,8961,-11.28
1550,400,-8.24,-7122,9072,-10.34
1549,401,-8.47,-7233,9183,-11.36
1547,403,-8.69,-7344,9294,-11.49
1544,406,-8.7,-7455,9405,-10.95
1542,408,-8.9,-7566,9516,-10.37
1540,410,-9.16,-7677,9627,-10.11
1540,410,-9.29,-7788,9738,-10.15
1537,413,-9.25,-7899,9849,-9.64
1535,415,-8.62,-8010,9960,-10.7
1533,417,-8.94,-8121,10071,-10.33
1531,419,-8.67,-8232,10182,-9.73
1529,421,-8.6,-8342,10292,-10.27
1527,423,-8.64,-8453,10403,-9.37
1525,425,-9.03,-8564,10514,-9.11
1523,427,-8.92,-8674,10624,-8.89
1522,428,-9.28,-8785,10735,-9.31
1519,431,-9.41,-8895,10845,-9.08
1518,432,-9.39,-9006,10956,-10.77
1516,434,-9.07,-9117,11067,-11.09
1514,436,-9.43,-9227,11177,-11.73
1512,438,-9.32,-9338,11288,-10.07
1511,439,-9.55,-9449,11399,-9.9
1509,441,-8.84,-9559,11509,-9.81
1507,443,-9.31,-9670,11620,-12.17
1505,445,-9.49,-9780,11730,-9.83
1503,447,-9.45,-9891,11841,-9.08
1501,449,-8.94,-10002,11952,-8.4
1499,451,-8.66,-13249,15199,-6.58
1497,453,-8.49,-13348,15298,-6.42
1496,454,-8.57,-13447,15397,-6.39
1494,456,-8.75,-13546,15496,-5.4
1492,458,-8.64,-13645,15595,-5.75
1490,460,-8.65,-13745,15695,-5.89
1488,462,-8.56,-13844,15794,-5.7
1486,464,-8.64,-13944,15894,-4.52
1483,467,-8.71,-14043,15993,-5.68
1482,468,-9.36,-14143,16093,-5.79
1481,469,-9.4,-14242,16192,-5.89
1479,471,-9.24,-14342,16292,-5.97
1477,473,-9.04,-14441,16391,-5.51
1475,475,-9.1,-14541,16491,-6.23
1473,477,-9.37,-14640,16590,-6.57
1471,479,-9.21,-14740,16690,-7.39
1470,480,-9.4,-14839,16789,-7.67
1468,482,-9.38,-14939,16889,-7.55
1466,484,-10.01,-15038,16988,-7.58
1463,487,-9.22,-15132,17082,-8.11
1460,490,-9.23,-15226,17176,-8.98
1457,493,-9.28,-15319,17269,-8.67
1455,495,-9.21,-15413,17363,-9.46
1452,498,-9.47,-15507,17457,-9.53
1450,500,-9.92,-15601,17551,-9.54
1447,503,-10.08,-15695,17645,-9.64
1444,506,-10.17,-15788,17738,-9.76
1443,507,0,-15882,17832,-8.94
1442,508,-9.2,-15976,17926,-9.66
1438,512,-9.2,-16070,18020,-9.13
