depth (cm),age (BP),d18O (permil)
2,27.8,18.254
6,188.9,18.109
14,562.5,21.747
16,649.5,18.169
24,1007,17.51
34,1542.2,17.349
38,1785.4,17.58
46,2323.8,18.063
50,2588.6,17.691
55,2920.3,17.912
62,3328.6,17.651
78,4240.6,18.305
88,4648.5,17.751
98,5432,18.209
108,6305.6,18.634
111,6554,19.472
116,6920.6,18.768
121,7259.1,19.975
124,7469.9,18.952
131,7863.4,19.94
141,8409.4,19.13
146,8682.4,19.472
