year (AD),age (BP),depth (cm),age (BP),age (BP),MAAT (degC),sampleID (missing),MBT (missing),CBT (missing),BIT (missing),soilPH (missing)
1993.5,-43.5,2.5,-59,-28,1.47,SC-1,0.29,0.73,0.99,6.85
1921,29,12.5,4,54,-0.16,SC-3,0.26,0.74,0.98,6.8
1871,79,17.5,54,104,-0.77,SC-4,0.23,0.67,0.95,7
1725,225,27,166,284,-0.95,SC-14,0.26,0.82,0.98,6.61
1620,330,32,284,376,-0.68,SC-15,0.23,0.65,0.98,7.05
1488,462,37,376,548,0.56,SC-16,0.26,0.68,0.98,6.98
1358.5,591.5,42,548,635,0.89,SC-18,0.26,0.67,0.98,7.01
1128.5,821.5,47,666,977,0.92,A1-6,0.27,0.68,0.98,6.96
841.5,1108.5,57,977,1240,1.07,A1-7,0.27,0.67,0.98,7.01
521,1429,79.5,1351,1507,1.65,A2-1,0.28,0.66,0.98,7.02
319.5,1630.5,89.5,1597,1664,0.43,A2-6,0.27,0.74,0.98,6.8
4,1946,107,1860,2032,0.29,A2-8,0.27,0.74,0.98,6.82
-185,2135,111.5,2110,2160,-1.1,A3-1,0.24,0.75,0.98,6.8
-313,2263,118,2160,2366,-0.74,A3-3,0.25,0.76,0.98,6.76
-458.5,2408.5,128,2366,2451,-0.91,A3-4,0.25,0.76,0.98,6.76
-543,2493,138,2451,2535,-1.02,A3-5,0.25,0.78,0.98,6.71
-627,2577,148,2535,2619,-0.1,A3-6,0.26,0.75,0.98,6.79
-711,2661,158,2619,2703,0.06,A3-7,0.27,0.77,0.97,6.73
-800,2750,168,2703,2797,-0.09,A3-8,0.26,0.77,0.98,6.73
-1072,3022,188,2974,3070,0.08,A3-10,0.27,0.79,1,6.69
-1426,3376,226.5,3343,3409,0.3,B1-1,0.26,0.72,0.97,6.86
-1535,3485,237,3438,3532,-0.09,B1-5,0.26,0.76,0.98,6.75
-1592,3542,247,3532,3552,-0.4,B1-6,0.26,0.76,0.97,6.76
-1632.5,3582.5,257,3552,3613,0.11,B1-7,0.27,0.79,0.97,6.7
-1698.5,3648.5,268,3613,3684,0.08,B1-8,0.27,0.81,0.97,6.64
-1763.5,3713.5,279,3684,3743,-1.42,B2-1,0.26,0.88,0.98,6.45
-1822.5,3772.5,289,3743,3802,-0.22,B2-2,0.25,0.73,0.96,6.83
-1881.5,3831.5,299,3802,3861,0.41,B2-3,0.29,0.83,0.97,6.57
-1951,3901,309,3861,3941,-0.96,B2-4,0.26,0.82,0.98,6.6
-2136,4086,326.5,4010,4162,-0.68,B3-5,0.26,0.83,0.98,6.59
-2287,4237,336.5,4162,4312,-0.51,B3-6,0.26,0.79,0.98,6.68
-2454.5,4404.5,346.5,4312,4497,-0.08,B3-7,0.26,0.77,0.98,6.75
-2613.5,4563.5,356.5,4497,4630,0.29,B3-8,0.26,0.7,0.97,6.91
-2738,4688,359.5,4630,4746,-0.03,B3-9,0.26,0.74,0.98,6.82
-2894,4844,369.5,4746,4942,0.35,B3-10,0.27,0.77,0.98,6.74
-4142,6092,411.5,5953,6231,-0.11,C1-8,0.25,0.71,0.98,6.9
-4633,6583,422.5,6412,6754,-0.03,C2-3,0.26,0.74,0.98,6.83
-5146.5,7096.5,432.5,6754,7439,0.58,C2-4,0.27,0.74,0.98,6.84
-5863.5,7813.5,442.5,7439,8188,0.05,C2-5,0.26,0.73,0.98,6.84
-7012,8962,455.5,8699,9225,-0.59,C3-2,0.24,0.67,0.97,7.01
-7384.5,9334.5,459.5,9225,9444,-0.86,C3-3,0.24,0.72,0.97,6.87
-7649.5,9599.5,467,9444,9755,-0.58,C3-4,0.25,0.74,0.97,6.83
-8184.5,10134.5,473,9755,10514,-1.19,C3-5,0.24,0.73,0.95,6.83
-8619.5,10569.5,479.5,10514,10625,0.19,C3-6,0.23,0.57,0.82,7.26
-8749.5,10699.5,487.5,10625,10774,-0.05,C3-7,0.23,0.57,0.84,7.26
-8888.5,10838.5,497.5,10774,10903,0.41,C3-8,0.22,0.48,0.88,7.49
-8992,10942,507.5,10903,10981,-0.71,C3-9,0.18,0.37,0.77,7.8
