year (AD),age (BP),map_mm (mm/yr),temperature (degC),temperature (degC),temperature (degC),BroadleavedWoodyCover___ (missing),stdDev___ (missing),NeedleleavedWoodyCover___ (missing),NeedleavedWoodyCoverStdDev___ (missing),WoodyCover___ (missing),OpenVegetation___ (missing),Score_Tundra_ (degC),Score_Taiga_ (degC),Score_Steppe_ (degC),BorealTrees___ (missing),BorealShrubs___ (missing),Herbs___ (missing),Pollen_spores_Total___ (total)
1950,0,446.3,-23.8,16.7,-3.55,3,3.6,41.2,15.8,44.2,55.8,5.9,13.8,2.4,76.5,15.8,7.7,926
1914.7,35.3,461,-22.4,16.4,-3,3.1,3.5,42.2,15.6,45.3,54.7,6.3,13.6,2.5,82,11.3,6.7,942
1803.1,146.9,444.7,-23.2,16.8,-3.2,2.6,3.2,41.5,15,44.1,55.9,5.2,12.8,2.8,80.6,12.4,7,1076
1691.5,258.5,457.3,-22.7,16.5,-3.1,3.1,3.6,41.4,15.6,44.5,55.5,5.8,13.1,2.9,80.9,12.2,6.9,1102
1579.8,370.2,430.7,-25.1,16.7,-4.2,2.8,3.3,41.1,15.4,43.9,56.1,4.8,12.4,2.3,84.7,10.2,5.1,1110
1468.4,481.6,454.8,-22.7,16.7,-3,3.3,3.8,41.5,16,44.8,55.2,4.3,13.2,2.5,81.9,11,7.1,1176
1356.8,593.2,446.6,-23.5,16.5,-3.5,3.3,3.4,41.9,15,45.3,54.7,4.4,12.8,2.6,86.7,8.1,5.2,987
1245.4,704.6,448.5,-22.8,16.6,-3.1,4,4.1,41.6,15.5,45.5,54.5,4.2,12.5,2,84.5,8.2,7.3,1269
1133.9,816.1,463.6,-21.1,16.8,-2.15,3.1,3.3,39.7,14.5,42.8,57.2,3.6,13.2,2.4,89.2,5.3,5.4,1106
1022.4,927.6,446.4,-23.6,16.6,-3.5,2.7,3.1,41.8,15.2,44.6,55.4,5.7,12.4,2.6,81.9,11.3,6.8,1220
911.1,1038.9,458.2,-21.9,16.8,-2.55,3,3.5,39.9,15,42.9,57.1,4.3,14,2.3,87.8,6.4,5.9,1334
799.6,1150.4,471.6,-21.2,16.4,-2.4,2.7,3.2,39,14.9,41.7,58.3,4.4,13.6,2.4,87.2,6.9,5.9,1287
688.3,1261.7,477.5,-20.6,16.4,-2.1,3.3,3.2,42,14.8,45.3,54.7,3.7,13.2,2.2,88.8,6.2,5,1208
576.9,1373.1,470.3,-21.3,16.6,-2.35,2.9,3.3,39.7,15,42.6,57.4,3.7,12.6,1.9,86.3,8.5,5.2,1278
465.6,1484.4,469.4,-22.3,16.2,-3.05,3.2,3.5,42.5,15.3,45.7,54.3,3.7,13.2,1.5,88.2,8.2,3.6,1206
354.4,1595.6,471.2,-21.1,16.6,-2.25,3.2,3.2,40.6,14.4,43.9,56.1,2.8,13.1,1.7,89.5,5.6,4.8,1236
243,1707,450.6,-22.7,16.6,-3.05,3.6,3.7,40.8,15.1,44.3,55.7,4.5,12.7,2.6,86.4,6.8,6.8,1241
131.9,1818.1,460.7,-22.5,16.5,-3,3.3,3.8,41.8,15.8,45.1,54.9,4.6,14.4,2.3,83.9,9.6,6.6,1358
20.6,1929.4,459.5,-22.8,16.5,-3.15,2.8,3.3,40.4,15.4,43.2,56.8,4.9,13.5,2.5,83.6,9.9,6.5,1434
-90.6,2040.6,493,-19.3,16.2,-1.55,2.8,3.3,40.6,14.6,43.5,56.5,3.8,13.5,2.3,87.5,7,5.4,1282
-201.7,2151.7,457.2,-22.5,16.6,-2.95,3.2,3.4,39.9,14.8,43.1,56.9,4.3,13.8,2.3,86.6,7.4,6,1310
-312.9,2262.9,466.8,-22.1,16.5,-2.8,3,3.3,41.1,15.1,44,56,4,14.1,2.1,87.3,8.2,4.5,1331
-423.9,2373.9,485.9,-20.6,16.4,-2.1,3,3.5,39.7,15.3,42.8,57.2,3.5,14.5,1.5,90.8,5.5,3.8,1234
-535,2485,495.1,-19.5,16.2,-1.65,2.7,3,41.7,14.2,44.4,55.6,3.6,12.9,1.5,89.1,7,3.8,1360
-646.2,2596.2,485.9,-18.8,16.6,-1.1,3.5,3.7,37.6,14.7,41,59,2.8,13.7,2.7,89.9,3.8,6.3,1454
-757.1,2707.1,476.7,-20.7,16.4,-2.15,3.5,3.5,42.3,15.1,45.8,54.2,4.3,12.8,2.5,87.8,6.4,5.7,1291
-868.2,2818.2,498.9,-18.7,16.3,-1.2,3.2,3.7,40.8,14.6,44,56,3.5,13.9,2.3,88.8,6.6,4.6,1255
-979.1,2929.1,474.1,-20.8,16.7,-2.05,2.7,3.1,39.1,14.8,41.8,58.2,2.5,13.8,1.9,89,5.3,5.8,1032
-1101.3,3051.3,488.4,-20.2,16.5,-1.85,3,3.5,40.7,14.8,43.8,56.2,3,13.7,1.7,88.9,6.6,4.5,1185
-1235,3185,502.3,-18.9,16.4,-1.25,3.1,3.5,40.6,14.8,43.7,56.3,2.9,13.7,1.8,88.9,6.9,4.3,1086
