depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
402.5,Carbon-14,111175,50,135,gyttja,NA
507.5,Carbon-14,111176,80,2040,gyttja,NA
617.5,Carbon-14,111177,75,3545,gyttja,NA
717.5,Carbon-14,111178,90,4850,gyttja,NA
812.5,Carbon-14,111179,95,5310,gyttja,NA
907.5,Carbon-14,111180,95,5430,gyttja,NA
977.5,Carbon-14,111181,110,6460,gyttja,NA
1072.5,Carbon-14,111182,100,8055,gyttja,NA
1157.5,Carbon-14,111183,120,9400,gyttja,NA
1247.5,Carbon-14,111184,100,10915,organic silt,NA
1305,Carbon-14,111185,325,12860,sand,NA
