age (BP),depth (cm),temperature (degC),salinity (psu),Sea_Ice_months (months/year),Sea_Ice_conc (0-10),productivity (gcm2),B (missing),age (BP),temperature (degC)
753.39,0,10.637,32.919,1.094,0.917,235.607,1,753.39,6.895
1017.9,8,8.233,34.736,0.062,0.099,197.987,1,1017.9,6.415
1082.6,10,6.478,34.051,2.106,1.665,196.777,1,1082.6,4.412
1147.3,12,8.162,33.865,0.728,0.689,203.5,1,1147.3,5.727
1210.8,14,7.149,33.938,1.902,1.51,212.401,1,1210.8,5.04
1273.8,16,7.776,34.601,0.095,0.14,206.694,1,1273.8,5.864
1336.8,18,6.962,34.307,0.718,0.682,211.081,1,1336.8,5.045
1398.8,20,11.486,31.459,3.282,2.521,250.016,1,1398.8,6.271
1460.2,22,8.544,34.544,0.024,0.028,227.288,1,1460.2,6.393
1521.6,24,6.951,33.877,2.297,1.805,205.085,1,1521.6,4.756
1582,26,7.896,33.545,0.948,0.887,203.8,2,1582,5.237
1641.8,28,9.2,32.653,1.438,1.267,231.127,3,1641.8,5.425
1701.7,30,6.901,34.328,0.96,0.86,217.163,1,1701.7,4.78
1760.6,32,8.052,34.371,0.623,0.553,227.45,1,1760.6,6.022
1819,34,7.57,34.368,0.717,0.637,212.714,1,1819,5.659
1877.4,36,8.088,34.393,0.588,0.522,223.371,1,1877.4,6.047
1935,38,8.984,33.091,1.913,1.545,206.548,1,1935,5.862
1992.1,40,6.237,34.153,1.018,0.918,207.542,1,1992.1,4.181
2049.1,42,8.898,33.379,1.925,1.514,211.184,3,2049.1,5.946
2105.6,44,9.037,34.429,0.553,0.491,226.089,2,2105.6,6.635
2161.5,46,6.788,34.055,1.895,1.495,189.235,1,2161.5,4.644
2217.4,48,8.176,34.449,0.525,0.466,215.758,1,2217.4,5.972
2272.8,50,6.657,34.345,0.995,0.935,215.28,1,2272.8,4.659
2327.6,52,8.881,34.701,0,0,227.781,1,2327.6,6.833
2382.4,54,9.74,34.671,0,0,224.342,1,2382.4,7.337
2437.2,56,5.399,32.811,4.563,3.615,150.216,1,2437.2,3.406
2492.1,58,8.238,34.737,0.062,0.098,198.796,1,2492.1,6.428
2546.9,60,12.901,31.003,2.289,1.844,248.744,1,2546.9,6.678
2601.2,62,8.985,34.652,0,0,230.648,1,2601.2,6.946
2655,64,8.512,34.627,0.06,0.095,215.755,1,2655,6.562
2708.7,66,7.984,34.137,1.475,1.102,217.351,2,2708.7,5.84
2762,68,8.967,34.653,0,0,226.129,3,2762,6.896
2814.8,70,7.168,33.593,1.351,1.204,217.065,1,2814.8,4.317
2867.6,72,7.631,34.395,0.633,0.6,211.43,1,2867.6,5.722
2920,74,7.887,34.375,0.676,0.6,218.743,1,2920,5.88
2971.9,76,7.689,34.406,0.601,0.571,211.744,1,2971.9,5.772
3023.8,78,7.517,34.369,0.699,0.661,212.267,1,3023.8,5.633
3075.4,80,10.064,32.826,1.034,0.826,234.256,1,3075.4,5.255
3126.5,82,8.815,34.641,0,0,227.273,3,3126.5,6.674
3177.6,84,8.107,34.289,0.665,0.59,231.04,2,3177.6,6.018
3228.5,86,8.32,33.082,2.175,1.674,231.044,1,3228.5,5.161
3278.9,88,10.912,33.669,0.438,0.348,242.47,1,3278.9,7.314
3329.4,90,7.239,34.612,0.257,0.282,207.509,1,3329.4,4.941
3379.6,92,6.786,34.294,0.226,0.229,223.471,1,3379.6,4.774
3429.4,94,8.837,34.684,0,0,219.319,1,3429.4,6.527
3479.2,96,8.453,34.72,0,0,212.64,1,3479.2,6.04
3578.1,100,11.429,32.112,1.285,1.019,242.854,1,3578.1,6.14
3822.3,110,8.453,33.407,2.315,1.749,219.48,1,3822.3,5.082
