depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (years),thickness (mm),age_type (),material_dated ()
1144.5,11440,11450,1725,55,10,1,1
1184.5,11840,11850,3510,50,10,1,1
1270.5,12700,12710,7575,60,10,1,1
1284.5,12840,12850,8825,60,10,1,1
1312.5,13120,13130,9790,80,10,1,1
1370.5,13700,13710,10245,80,10,1,1
