year (AD),age (BP),temperature (degC)
1995,-45,-20.4
1987,-37,-20.54
1977,-27,-20.51
1966,-16,-20.95
1953,-3,-20.99
1938,12,-19.7
1921,29,-19.28
1900,50,-19.49
1876,74,-19.79
1849,101,-20.09
1816,134,-20.84
1779,171,-21.41
1735,215,-21.65
1684,266,-21.99
1625,325,-22.19
1556,394,-22.25
1476,474,-22.02
1382,568,-21.82
1273,677,-21.74
1147,803,-21.63
999,951,-22.01
827,1123,-22.28
628,1322,-22.24
395,1555,-22.05
124,1826,-22.36
-192,2142,-21.87
-559,2509,-22.21
-986,2936,-21.95
-1484,3434,-21.97
-2064,4014,-22.08
-2738,4688,-21.97
-3524,5474,-21.65
-4438,6388,-21.66
-5502,7452,-21.2
