depth (cm),age (BP),d18O (per mil v smow)
154924,5860,-27.56
155102,5880,-27.49
155286,5900,-27.8
155460,5920,-27.19
155641,5940,-27.81
155836,5960,-27.83
156013,5980,-27.71
156186,6000,-27.97
156358,6020,-27.8
156533,6040,-27.37
156709,6060,-27.65
156875,6080,-27.72
157047,6100,-27.78
157219,6120,-27.28
157385,6140,-27.88
157565,6160,-27.53
157723,6180,-28.15
157878,6200,-27.86
158045,6220,-27.65
158209,6240,-27.68
158364,6260,-27.84
158533,6280,-27.34
158692,6300,-27.35
158862,6320,-27.74
159014,6340,-27.54
159160,6360,-28.03
159318,6380,-27.71
159470,6400,-27.51
159625,6420,-27.94
159777,6440,-27.91
159930,6460,-27.51
160077,6480,-28.01
160216,6500,-27.52
160361,6520,-27.52
160497,6540,-27.78
160632,6560,-27.54
160781,6580,-27.81
160916,6600,-27.57
161052,6620,-27.6
161187,6640,-27.85
161320,6660,-27.96
161463,6680,-27.98
161600,6700,-27.48
161723,6720,-27.7
161857,6740,-27.35
161983,6760,-27.94
162104,6780,-27.62
162233,6800,-27.99
162366,6820,-27.61
162493,6840,-27.79
162632,6860,-28.21
162756,6880,-27.68
162884,6900,-27.74
163004,6920,-27.66
163121,6940,-27.77
163233,6960,-27.94
163353,6980,-28.03
163471,7000,-27.64
163596,7020,-28.2
163711,7040,-27.84
163820,7060,-27.81
163934,7080,-27.82
164045,7100,-27.69
164154,7120,-28.36
164264,7140,-27.77
164371,7160,-27.58
164477,7180,-27.61
164580,7200,-27.71
164690,7220,-27.46
164786,7240,-27.65
164892,7260,-27.67
165003,7280,-27.7
165110,7300,-27.64
165222,7320,-28.03
165332,7340,-27.58
165433,7360,-28.47
165535,7380,-28.14
165636,7400,-27.87
165739,7420,-27.99
165845,7440,-27
165952,7460,-27.59
166040,7480,-28
166140,7500,-27.95
166235,7520,-27.79
166336,7540,-28.04
166437,7560,-27.78
166529,7580,-28.15
166617,7600,-28.09
166711,7620,-27.63
166799,7640,-27.5
166885,7660,-27.78
166969,7680,-27.91
167060,7700,-27.24
167154,7720,-27.8
167254,7740,-27.72
167340,7760,-27.69
167432,7780,-27.84
167523,7800,-28.13
167610,7820,-27.87
167702,7840,-27.76
167793,7860,-27.82
167879,7880,-28.49
167968,7900,-28.32
168056,7920,-27.56
168155,7940,-27.71
168252,7960,-27.57
168342,7980,-27.63
168432,8000,-27.89
168514,8020,-27.64
168600,8040,-28.19
168680,8060,-27.78
168765,8080,-27.83
168840,8100,-28.54
168909,8120,-29.44
168983,8140,-29.39
169055,8160,-29.9
169121,8180,-29.51
169203,8200,-29.45
169278,8220,-28.72
169350,8240,-28.45
169423,8260,-28.2
169511,8280,-28.35
169595,8300,-28.5
169670,8320,-28.38
169749,8340,-27.91
169824,8360,-27.8
169898,8380,-28.29
169978,8400,-28.48
170060,8420,-28.68
170134,8440,-28.09
170224,8460,-28.1
170300,8480,-28.6
170375,8500,-28.73
170446,8520,-27.81
170518,8540,-27.84
170600,8560,-28.44
170676,8580,-27.68
170753,8600,-28.3
170829,8620,-28.09
170904,8640,-28.65
170973,8660,-27.73
171046,8680,-27.81
171116,8700,-28.49
171190,8720,-28.43
171274,8740,-27.96
171348,8760,-29.11
171429,8780,-28.74
171505,8800,-28.4
171576,8820,-28.62
171652,8840,-28.26
171733,8860,-28.45
171808,8880,-28.05
171890,8900,-28.15
171970,8920,-28.25
172051,8940,-28.26
172122,8960,-28.54
172199,8980,-28.52
172268,9000,-28.99
172340,9020,-28.53
172406,9040,-28.26
172482,9060,-28.62
172548,9080,-28.55
172614,9100,-27.74
172691,9120,-28.35
172776,9140,-28.26
172853,9160,-28.89
172928,9180,-28.36
172997,9200,-28.92
173062,9220,-29.18
173122,9240,-29.94
173188,9260,-28.58
173256,9280,-28.59
173327,9300,-28.68
173405,9320,-28.44
173476,9340,-28.08
173546,9360,-29.07
173620,9380,-28.06
173685,9400,-28.54
173751,9420,-28.45
173824,9440,-28.41
173882,9460,-28.86
173960,9480,-28.75
174021,9500,-28.28
174078,9520,-28.83
174141,9540,-28.61
174207,9560,-28.35
174274,9580,-29.04
174330,9600,-28.59
174385,9620,-28.67
174441,9640,-28.9
174505,9660,-28.8
174566,9680,-29.36
174630,9700,-28.89
174697,9720,-28.69
174753,9740,-28.79
174814,9760,-28.92
174867,9780,-28.66
174923,9800,-28.88
174986,9820,-29.17
175044,9840,-28.4
175097,9860,-28.9
175157,9880,-29.03
175210,9900,-29.61
175264,9920,-29.07
175318,9940,-28.98
175376,9960,-28.68
175426,9980,-29.06
175477,10000,-29.44
175526,10020,-29.08
175583,10040,-29.55
175635,10060,-29.39
175685,10080,-29.77
175729,10100,-29.94
175781,10120,-29.63
175826,10140,-29.94
175879,10160,-30.13
175924,10180,-29.99
175972,10200,-29.82
176021,10220,-30.33
176071,10240,-30.45
176118,10260,-29.83
176167,10280,-30.22
176220,10300,-30.15
