depth (cm),age (BP),temperature (degC)
0,0,3.514
5,277.53,4.229
10,553.41,4.321
15,827.56,3.118
20,1099.9,4.153
25,1370.3,4.465
30,1638.7,3.693
35,1904.9,4.814
40,2169,4.655
45,2430.7,5.319
50,2690.1,4.813
55,2947,4.737
60,3201.3,4.782
65,3452.9,5.822
70,3701.7,5.515
75,3947.7,4.406
80,4190.7,6.431
85,4430.6,6.39
90,4667.4,6.946
95,4900.9,6.898
100,5131.1,5.601
105,5357.9,5.95
110,5581.2,6.391
115,5800.8,7.216
120,6016.7,6.707
125,6228.8,6.737
130,6437,6.859
135,6641.1,7.771
140,6841.2,6.572
145,7037.1,5.399
150,7228.7,6.258
155,7416,6.542
160,7598.7,6.592
163,7724,5.805
163.5,7741.7,6.8
164,7759.3,5.867
164.5,7776.9,5.794
165,7794.5,6.694
165.5,7812,5.957
166,7829.5,7.093
166.5,7846.9,7.042
167,7864.3,6.412
167.5,7881.6,5.902
168,7898.9,6.482
168.5,7916.2,6.945
169,7933.3,6.443
169.5,7950.5,6.994
170,7967.6,6.991
170.5,7984.6,5.794
171,8001.6,6.412
171.5,8018.6,6.288
172,8035.5,6.101
172.5,8052.3,6.1
173,8069.1,6.388
173.5,8085.9,6.773
174,8102.6,5.172
174.5,8119.3,5.394
175,8135.9,5.627
175.5,8152.4,5.223
176,8169,4.876
176.5,8185.4,4.545
177,8201.8,5.429
177.5,8218.2,4.98
178,8234.5,5.188
178.5,8250.8,5.384
179,8267,5.55
179.5,8283.2,4.809
180,8315.4,4.218
180.5,8331.4,4.966
181,8347.4,5.825
181.5,8363.3,5.47
182,8379.2,4.744
182.5,8395,6.542
183,8410.8,5.293
183.5,8426.5,6.114
184,8442.2,6.163
184.5,8457.8,5.606
185,8473.4,7.629
185.5,8488.9,6.84
186,8596.1,6.721
186.5,8744.9,5.973
190,8888.5,5.114
