year (AD),age (BP),MAR (g/cm2/yr)
1569,381,0.02
1551,399,0.013
1534,416,0.014
1516,434,0.02
1499,451,0.016
1482,468,0.024
1464,486,0.023
1447,503,0.01
1430,520,0.01
1412,538,0.011
1395,555,0.013
1377,573,0.011
1360,590,0.031
1343,607,0.023
1325,625,0.019
1308,642,0.021
1290,660,0.019
1273,677,0.016
1256,694,0.01
1238,712,0.011
1221,729,0.009
1204,746,0.011
1186,764,0.013
1169,781,0.029
1151,799,0.019
1134,816,0.011
1117,833,0.014
1099,851,0.023
1091,859,0.027
1064,886,0.007
1047,903,0.013
1030,920,0.03
1012,938,0.022
995,955,0.017
978,972,0.017
960,990,0.007
943,1007,0.01
925,1025,0.011
908,1042,0.011
891,1059,0.008
873,1077,0.008
856,1094,0.01
838,1112,0.012
821,1129,0.023
804,1146,0.02
786,1164,0.022
769,1181,0.02
751,1199,0.009
734,1216,0.011
716,1234,0.011
699,1251,0.013
681,1269,0.016
664,1286,0.011
646,1304,0.015
629,1321,0.033
611,1339,0.014
603,1347,0.033
585,1365,0.012
559,1391,0.009
541,1409,0.021
523,1427,0.027
506,1444,0.02
488,1462,0.012
470,1480,0.025
453,1497,0.026
435,1515,0.019
417,1533,0.017
399,1551,0.021
381,1569,0.021
364,1586,0.019
346,1604,0.016
328,1622,0.011
310,1640,0.01
292,1658,0.011
274,1676,0.015
256,1694,0.028
238,1712,0.043
219,1731,0.017
201,1749,0.02
183,1767,0.015
165,1785,0.013
146,1804,0.014
128,1822,0.017
110,1840,0.047
91,1859,0.014
73,1877,0.013
54,1896,0.009
36,1914,0.015
17,1933,0.03
-1,1951,0.055
-20,1970,0.013
-39,1989,0.015
-58,2008,0.014
-76,2026,0.032
-95,2045,0.015
-114,2064,0.028
-133,2083,0.02
-152,2102,0.021
-171,2121,0.019
-190,2140,0.017
-210,2160,0.013
-229,2179,0.011
-248,2198,0.011
-268,2218,0.011
-287,2237,0.036
-307,2257,0.028
-326,2276,0.028
-346,2296,0.014
-365,2315,0.011
-385,2335,0.012
-405,2355,0.028
-425,2375,0.01
-435,2385,0.017
-455,2405,0.015
-475,2425,0.01
-495,2445,0.017
-525,2475,0.011
-545,2495,0.009
-565,2515,0.01
-586,2536,0.015
-606,2556,0.01
-626,2576,0.013
-647,2597,0.01
-667,2617,0.015
-687,2637,0.012
-708,2658,0.019
-728,2678,0.023
-749,2699,0.031
-769,2719,0.043
-790,2740,0.022
