depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
52.5,Carbon-14,109134,70,1280,NA,NA
137.5,Carbon-14,109135,70,4650,NA,NA
251,Carbon-14,109136,90,8230,NA,NA
320,Carbon-14,109137,100,9140,NA,NA
326.5,Carbon-14,109138,110,9000,NA,NA
358.5,Carbon-14,109139,100,10260,NA,NA
390.5,Carbon-14,109140,120,11710,NA,NA
