depth (cm),age (BP),temperature (degC)
2.5,-49.623,5.739
7.5,179.669,6.149
12.5,407.167,5.6
17.5,631.076,5.596
22.5,849.603,5.545
27.5,1061.396,6.625
32.5,1266.874,6.274
37.5,1466.9,6.677
42.5,1662.337,6.236
47.5,1854.045,6.93
52.5,2042.889,7.686
57.5,2229.73,7.016
62.5,2415.43,7.405
67.5,2600.851,7.366
72.5,2786.509,7.72
77.5,2971.525,7.383
82.5,3154.676,7.48
87.5,3334.737,7.019
92.5,3510.482,7.064
97.5,3680.688,6.756
102.5,3844.128,7.893
107.5,3999.579,7.817
112.5,4145.816,7.646
117.5,4281.614,7.879
122.5,4405.747,7.66
127.5,4516.992,8.411
132.5,4614.64,8.242
137.5,4700.047,8.659
142.5,4775.083,8.293
147.5,4841.622,8.115
152.5,4901.534,7.437
157.5,4956.692,8.173
162.5,5008.968,8.066
167.5,5060.233,8.011
172.5,5112.36,7.99
177.5,5167.219,7.055
182.5,5226.683,7.771
187.5,5292.183,7.524
192.5,5363.382,7.818
197.5,5439.505,7.185
202.5,5519.775,7.023
207.5,5603.415,7.546
212.5,5689.649,6.857
217.5,5777.7,7.248
222.5,5866.791,7.598
227.5,5956.145,8.229
232.5,6044.987,8.101
237.5,6132.539,8.266
242.5,6218.141,8.244
247.5,6301.591,7.56
252.5,6382.806,8.498
257.5,6461.7,7.705
262.5,6538.188,8.588
267.5,6612.185,8.692
272.5,6683.607,8.403
277.5,6752.368,8.617
282.5,6818.385,8.807
287.5,6881.571,8.332
292.5,6941.842,8.808
297.5,6999.113,8.672
302.5,7053.414,8.814
307.5,7105.235,8.484
312.5,7155.181,8.672
317.5,7203.856,8.964
322.5,7251.865,8.569
327.5,7299.813,8.611
332.5,7348.305,8.747
337.5,7397.946,8.544
342.5,7449.34,9.397
347.5,7503.091,9.192
352.5,7559.677,8.704
357.5,7619.056,8.723
362.5,7681.059,8.559
367.5,7745.516,7.946
372.5,7812.26,8.23
377.5,7881.119,8.552
382.5,7951.925,8.38
387.5,8024.509,7.804
392.5,8098.701,7.778
397.5,8174.332,7.781
402.5,8251.179,6.482
407.5,8328.804,5.637
412.5,8406.716,7.286
417.5,8484.424,6.734
422.5,8561.435,6.96
427.5,8637.26,7.045
432.5,8711.405,7.279
437.5,8783.381,6.858
442.5,8852.696,7.05
447.5,8918.857,6.66
452.5,8981.785,6.823
